SiteCode,land_type,k,Umed,Usd
BAjuss,cont,0.99,0.015556579999999999,4.639098566651827e-4
BAjuss,cont,0.95,0.01563357,4.1589989460606177e-4
BAjuss,cont,0.8999999999999999,0.01555471,2.9808509392826416e-4
BAjuss,cont,0.85,0.01523853,3.014427015758273e-4
BAjuss,cont,0.7999999999999999,0.040481420000000004,8.183543551950259e-4
BAjuss,cont,0.75,0.04158389,5.964175596379131e-4
BAjuss,cont,0.7,0.04051155,6.303118844402879e-4
BAjuss,cont,0.6499999999999999,0.041198439999999996,0.0013673461670127432
BAjuss,cont,0.5999999999999999,0.04106258,0.0010255800362071524
BAjuss,cont,0.5499999999999999,0.04103187,0.001761004464029929
BAjuss,cont,0.49999999999999994,0.04214879,0.001244635249960584
BAjuss,cont,0.45,0.03802542,0.0014318670715770616
BAjuss,cont,0.3999999999999999,0.03895466,8.093600492570239e-4
BAjuss,cont,0.34999999999999987,0.03738494,0.002286612129184425
BAjuss,cont,0.29999999999999993,0.03213493,0.0016278045992822493
BAjuss,cont,0.2499999999999999,0.03303658,0.0015787290927972563
BAjuss,cont,0.19999999999999996,0.02776065,0.0010174531976678068
BAjuss,cont,0.1499999999999999,0.0265475,0.001682664521921507
BAjuss,cont,0.09999999999999988,0.01735698,0.0013721314545058882
BAjuss,cont,0.05,0.010645194,5.778984665954161e-4
BAjuss,ideal,0.99,0.016013439999999997,5.568584244571411e-4
BAjuss,ideal,0.95,0.01559263,4.391389859714121e-4
BAjuss,ideal,0.8999999999999999,0.01582934,8.852735035004723e-4
BAjuss,ideal,0.85,0.01506336,4.602788941983373e-4
BAjuss,ideal,0.7999999999999999,0.04135342,0.002262371782395142
BAjuss,ideal,0.75,0.04137958,0.0013446723308424763
BAjuss,ideal,0.7,0.0425326,0.002668433702463759
BAjuss,ideal,0.6499999999999999,0.0419676,0.0015877207304112947
BAjuss,ideal,0.5999999999999999,0.04213644,0.001164469258408214
BAjuss,ideal,0.5499999999999999,0.04296018,8.734266041797036e-4
BAjuss,ideal,0.49999999999999994,0.04216569,0.0016839593657343526
BAjuss,ideal,0.45,0.03707242,0.0014103910913880115
BAjuss,ideal,0.3999999999999999,0.036314269999999996,6.935303647121555e-4
BAjuss,ideal,0.34999999999999987,0.03782341,0.0012406514627852237
BAjuss,ideal,0.29999999999999993,0.03250569,0.001277483096169965
BAjuss,ideal,0.2499999999999999,0.03239105,0.0012326284925132768
BAjuss,ideal,0.19999999999999996,0.02725527,0.0011908762208745478
BAjuss,ideal,0.1499999999999999,0.02783724,7.531435368580886e-4
BAjuss,ideal,0.09999999999999988,0.017760849999999998,8.033117317289306e-4
BAjuss,ideal,0.05,0.010625553,5.28491459871081e-4
BAjuss,non_frag,0.99,0.01559642,5.268760149324613e-4
BAjuss,non_frag,0.95,0.01546528,7.711953431740452e-4
BAjuss,non_frag,0.8999999999999999,0.01509669,5.345664067468343e-4
BAjuss,non_frag,0.85,0.01554435,8.360345384279554e-4
BAjuss,non_frag,0.7999999999999999,0.04169053,0.001076613701535204
BAjuss,non_frag,0.75,0.04139878,5.52897697589708e-4
BAjuss,non_frag,0.7,0.0409283,0.0014268269434891774
BAjuss,non_frag,0.6499999999999999,0.0419122,6.404246750746277e-4
BAjuss,non_frag,0.5999999999999999,0.040204500000000004,5.672793276293042e-4
BAjuss,non_frag,0.5499999999999999,0.04104603,9.681766506055496e-4
BAjuss,non_frag,0.49999999999999994,0.04224007,0.0015895403815429025
BAjuss,non_frag,0.45,0.03872631,0.0010885421019265476
BAjuss,non_frag,0.3999999999999999,0.03740948,8.568433382026273e-4
BAjuss,non_frag,0.34999999999999987,0.03940721,0.001796541831439256
BAjuss,non_frag,0.29999999999999993,0.03273908,0.0015745407561853985
BAjuss,non_frag,0.2499999999999999,0.03329679,8.064792474425836e-4
BAjuss,non_frag,0.19999999999999996,0.02757908,0.0015085202770338296
BAjuss,non_frag,0.1499999999999999,0.027551199999999998,0.0015444540998898813
BAjuss,non_frag,0.09999999999999988,0.01911758,0.0013954905698952847
BAjuss,non_frag,0.05,0.01076392,7.091910552798086e-4
BAlenc4,cont,0.99,0.007982258,4.4674663937802105e-4
BAlenc4,cont,0.95,0.008271402,3.9154381025769156e-4
BAlenc4,cont,0.8999999999999999,0.008111454,0.00027443317475196835
BAlenc4,cont,0.85,0.02161851,5.600075742543326e-4
BAlenc4,cont,0.7999999999999999,0.02177153,6.867736632658213e-4
BAlenc4,cont,0.75,0.02161977,8.51256002817797e-4
BAlenc4,cont,0.7,0.02145202,5.625630706369233e-4
BAlenc4,cont,0.6499999999999999,0.02162381,8.634370110848337e-4
BAlenc4,cont,0.5999999999999999,0.0219886,0.0016199511961098641
BAlenc4,cont,0.5499999999999999,0.01903019,9.529002401440907e-4
BAlenc4,cont,0.49999999999999994,0.01876993,9.744245630114221e-4
BAlenc4,cont,0.45,0.01873466,6.953865722667415e-4
BAlenc4,cont,0.3999999999999999,0.01954858,6.799915649803631e-4
BAlenc4,cont,0.34999999999999987,0.01600121,4.996952503498731e-4
BAlenc4,cont,0.29999999999999993,0.01583769,0.0010040823986218579
