contraste,tipo,Uefeito,Q_0.05,Q_0.5,Q_0.95
Área per se,apenas fixo,-0.11049077006554844,-1.012324266466574,-0.47114941892258244,0.09522893138589195
Área per se,apenas fixo,-0.1038849047628311,-0.938447060906688,-0.44449625534773385,0.07195178703138176
Área per se,apenas fixo,-0.09727903946011375,-0.864639225628005,-0.4179984285153994,0.05150477713435986
Área per se,apenas fixo,-0.09067317415739641,-0.7960495111489583,-0.39198042210657785,0.030209435669063874
Área per se,apenas fixo,-0.08406730885467907,-0.7268431943609698,-0.36402386043851165,0.014315288142712462
Área per se,apenas fixo,-0.07746144355196172,-0.6627376857385667,-0.333865543029518,0.0012667530348583734
Área per se,apenas fixo,-0.07085557824924438,-0.5985865795775797,-0.30481300880847606,-0.011357723913441847
Área per se,apenas fixo,-0.06424971294652704,-0.5351178913192841,-0.27561758181137824,-0.017713062130883372
Área per se,apenas fixo,-0.05764384764380969,-0.47257506792748133,-0.2484789421914326,-0.01601017744242564
Área per se,apenas fixo,-0.051037982341092344,-0.4243882616054853,-0.2177114220087329,-0.01805066783109995
Área per se,apenas fixo,-0.044432117038375005,-0.36909227487512675,-0.1876208380227632,-0.01177785912695159
Área per se,apenas fixo,-0.037826251735657665,-0.31571723884399555,-0.16025684662245174,-0.004941521987707822
Área per se,apenas fixo,-0.03122038643294031,-0.26526796310330736,-0.1310406582445705,0.002690352586540368
Área per se,apenas fixo,-0.02461452113022297,-0.21912376283536075,-0.10298536774758187,0.015014777760655833
Área per se,apenas fixo,-0.018008655827505632,-0.17481948433261005,-0.07388459214495441,0.026349415524391986
Área per se,apenas fixo,-0.011402790524788278,-0.13555649138620185,-0.04564339745425035,0.04235235298950471
Área per se,apenas fixo,-0.0047969252220709385,-0.10045197160169429,-0.017639293097329947,0.06218287658770998
Área per se,apenas fixo,0.0018089400806464012,-0.0658890371642734,0.011233552884611073,0.0868224168574428
Área per se,apenas fixo,0.008414805383363755,-0.03472315438518703,0.041071862132319836,0.11395749843242328
Área per se,apenas fixo,0.015020670686081095,-0.004236354023434,0.0710024547809377,0.14699400259934087
Área per se,apenas fixo,0.021626535988798434,0.018753042791684153,0.10068351499333096,0.18026995746290247
Área per se,apenas fixo,0.028232401291515774,0.04172018413662017,0.12972352324206288,0.21732080422905656
Área per se,apenas fixo,0.034838266594233114,0.05638608868542747,0.15730223400666365,0.2546063110598381
Área per se,apenas fixo,0.04144413189695048,0.06852328730754305,0.18010980052419365,0.2904091417272308
Área per se,apenas fixo,0.04804999719966782,0.07865645922168092,0.19901230986810037,0.3178447934514985
Área per se,apenas fixo,0.05465586250238516,0.08271257757447655,0.21289132774338929,0.3398328947140889
Área per se,apenas fixo,0.0612617278051025,0.08201828405035526,0.22573563108779307,0.36531739735625507
Área per se,apenas fixo,0.06786759310781984,0.07706876505329976,0.23339780734990848,0.387721055278104
Área per se,apenas fixo,0.07447345841053718,0.07105099668895841,0.23867933317329454,0.4061517776481164
Área per se,apenas fixo,0.08107932371325455,0.060978775288400226,0.24008626636985178,0.42346944441405304
Área per se,apenas fixo,0.08768518901597189,0.048138217011577195,0.24173211364659908,0.43681840932199456
Área per se,apenas fixo,0.09429105431868923,0.035249244202092335,0.24206441104725965,0.4491169307124409
Área per se,apenas fixo,0.10089691962140657,0.020235777091856515,0.23981855210652891,0.46210996786823577
Área per se,apenas fixo,0.1075027849241239,0.0032398445227895855,0.23489709269745007,0.468230940893028
Área per se,apenas fixo,0.11410865022684125,-0.016920114069933552,0.22818116118857787,0.47192428110434176
Área per se,apenas fixo,0.12071451552955859,-0.03362389310678342,0.22079465046477856,0.47283259873517014
Área per se,apenas fixo,0.12732038083227595,-0.048736112355885944,0.21133569921247009,0.47134627204641566
Área per se,apenas fixo,0.1339262461349933,-0.06709189133475141,0.2014760680380918,0.4711533995409832
Área per se,apenas fixo,0.14053211143771063,-0.08499991445905887,0.1898730208513259,0.4665608676669659
Área per se,apenas fixo,0.14713797674042797,-0.10295683863734867,0.1768953908721349,0.4613539596382121
Área per se,apenas fixo,0.1537438420431453,-0.12454897639063434,0.1630326399107656,0.4555446136238129
Área per se,apenas fixo,0.16034970734586265,-0.1461539973197745,0.14697424834946346,0.44915773968772366
Área per se,apenas fixo,0.16695557264858,-0.17028375913851446,0.13282441734496966,0.44167014862795423
Área per se,apenas fixo,0.17356143795129733,-0.1980323162172291,0.11681898611557093,0.43541073238154676
Área per se,apenas fixo,0.18016730325401467,-0.22213206999827018,0.09927715339735159,0.42599967516921533
Área per se,apenas fixo,0.18677316855673207,-0.24785410052773219,0.08073264242194964,0.42012404081471644
Área per se,apenas fixo,0.1933790338594494,-0.27103377744668483,0.06207571354814449,0.41206185937464856
Área per se,apenas fixo,0.19998489916216675,-0.29644275105854107,0.04477275528603412,0.4013438343733195
Área per se,apenas fixo,0.20659076446488409,-0.32176940334092646,0.028383999246010254,0.3923360240075105
Área per se,apenas fixo,0.21319662976760143,-0.3502664840485783,0.009718293715338782,0.38326685219044776
Área per se,apenas fixo,0.21980249507031877,-0.381289553064007,-0.009273887823623572,0.37258603591025713
Área per se,apenas fixo,0.2264083603730361,-0.4112825866777392,-0.028089046892322674,0.3589996993585766
Área per se,apenas fixo,0.23301422567575344,-0.43879709145486656,-0.04724042672130587,0.3519456578815473
Área per se,apenas fixo,0.23962009097847078,-0.46550836636886767,-0.06277374011336392,0.3441731689048997
Área per se,apenas fixo,0.24622595628118812,-0.49200449884777714,-0.08001809429483732,0.33915490729573444
Área per se,apenas fixo,0.2528318215839055,-0.5171609922394879,-0.09525831001980392,0.33321728873162504
Área per se,apenas fixo,0.25943768688662283,-0.5429827982416824,-0.11183526677042281,0.32691152095024245
Área per se,apenas fixo,0.26604355218934017,-0.5644081901085148,-0.12783281208811578,0.3162769094934528
Área per se,apenas fixo,0.2726494174920575,-0.5874055084784179,-0.14397228422827657,0.3078008101783079
Área per se,apenas fixo,0.27925528279477485,-0.6094097633365945,-0.1613820055480362,0.2989510413719292
Área per se,apenas fixo,0.2858611480974922,-0.6303239521787956,-0.17656956219044642,0.2935084567544876
Área per se,apenas fixo,0.29246701340020953,-0.6508261949154883,-0.19296378951429782,0.28387004694946555
Área per se,apenas fixo,0.29907287870292687,-0.6744257089024626,-0.20847096397498152,0.27612283216450495
Área per se,apenas fixo,0.3056787440056442,-0.6997926283151741,-0.2242443439342196,0.2651051688270792
Área per se,apenas fixo,0.31228460930836155,-0.7206040924318917,-0.23996330922655928,0.2544440383229053
Área per se,apenas fixo,0.3188904746110789,-0.7426835318113633,-0.25587760700290696,0.24403227183919082
Área per se,apenas fixo,0.32549633991379623,-0.7586776885764811,-0.2708469034616072,0.23436610926163232
Área per se,apenas fixo,0.33210220521651357,-0.7807497968713911,-0.2856057569156618,0.2245776243495009
Área per se,apenas fixo,0.3387080705192309,-0.8000413583621928,-0.2994263261512412,0.2141837737814345
Área per se,apenas fixo,0.34531393582194825,-0.8166460407197967,-0.3143656811351118,0.20590733972327285
Área per se,apenas fixo,0.3519198011246656,-0.8345195056361117,-0.3282031977384502,0.195300838995548
Área per se,apenas fixo,0.35852566642738304,-0.8527968997835936,-0.34073636840664107,0.18080248114430048
Área per se,apenas fixo,0.3651315317301004,-0.8697082592958061,-0.3537729232850589,0.1717641037677712
Área per se,apenas fixo,0.3717373970328177,-0.8880276807456873,-0.36821723607634305,0.160928810186586
Área per se,apenas fixo,0.37834326233553506,-0.9066868325794317,-0.38423595347889195,0.15124953971373742
Área per se,apenas fixo,0.3849491276382524,-0.9276820280425643,-0.3970462374708108,0.13906962647557913
Área per se,apenas fixo,0.39155499294096974,-0.9415762837248312,-0.40851334217943924,0.12725498850389214
Área per se,apenas fixo,0.3981608582436871,-0.9566498900674341,-0.4207228909617375,0.12429443139518968
Área per se,apenas fixo,0.4047667235464044,-0.9686155299504834,-0.4296553866692049,0.12135671244720526
Área per se,apenas fixo,0.41137258884912176,-0.9901188449250244,-0.4410965108880472,0.11109990405506526
Área per se,apenas fixo,0.4179784541518391,-1.0079526651503032,-0.4515465154258234,0.10711465322127148
Área per se,apenas fixo,0.42458431945455644,-1.018405536651379,-0.462889491203658,0.10057310691730445
Área per se,apenas fixo,0.4311901847572738,-1.0367439997154415,-0.47778770317690406,0.09570641082447444
Área per se,apenas fixo,0.4377960500599911,-1.0581581165677174,-0.4894076267550586,0.09020042454907339
Área per se,apenas fixo,0.44440191536270846,-1.081067315143852,-0.49960155738540923,0.08407796735327934
Área per se,apenas fixo,0.4510077806654258,-1.110474687924175,-0.511916410061519,0.08754703750716697
Área per se,apenas fixo,0.45761364596814313,-1.1309989397166578,-0.5189863617705257,0.08561262879755924
Área per se,apenas fixo,0.4642195112708605,-1.1472620638083462,-0.5284568104862457,0.08854370029274844
Área per se,apenas fixo,0.4708253765735778,-1.1680405761411474,-0.5388694727417628,0.08630252528942914
Área per se,apenas fixo,0.47743124187629515,-1.1888024469734806,-0.5471803944783844,0.08885658330810685
Área per se,apenas fixo,0.4840371071790126,-1.204653859503569,-0.558113022277009,0.08357326077843995
Área per se,apenas fixo,0.49064297248172994,-1.2234899619326467,-0.5706368335317253,0.09102370215243287
Área per se,apenas fixo,0.4972488377844473,-1.244673691291917,-0.5818831545171794,0.09733969288786763
Área per se,apenas fixo,0.5038547030871646,-1.2771356376622804,-0.5915971815775607,0.11310142527459761
Área per se,apenas fixo,0.510460568389882,-1.2997530694539707,-0.6028175623742678,0.12099077193903593
Área per se,apenas fixo,0.5170664336925993,-1.3267602265170528,-0.6137424273908177,0.12793166411178392
Área per se,apenas fixo,0.5236722989953166,-1.3583891571780895,-0.6263390888241125,0.127220710694577
Área per se,apenas fixo,0.530278164298034,-1.3814053600447076,-0.6365907213720133,0.13496368595648783
Área per se,apenas fixo,0.5368840296007513,-1.405041888225526,-0.6433549356434806,0.14574234899949665
Área per se,apenas fixo,0.5434898949034687,-1.4321943672541486,-0.6507053490094574,0.1552307320059195
Área per se,apenas fixo,0.550095760206186,-1.4677891722432763,-0.6596541463056489,0.1687787986879147
Área per se,apenas fixo,0.5567016255089033,-1.4953916395152456,-0.6662278977744199,0.1782386895154634
Área per se,apenas fixo,0.5633074908116207,-1.5311246007534274,-0.6733134678889104,0.18962645992628835
Área per se,apenas fixo,0.569913356114338,-1.5669388563582667,-0.6771625274649906,0.20220483135596992
Área per se,apenas fixo,0.5765192214170554,-1.5986204448142165,-0.686143589176679,0.2182864802436523
Área per se,apenas fixo,0.5831250867197727,-1.6254773811985794,-0.6900437402639169,0.2269662457210427
Área per se,apenas fixo,0.58973095202249,-1.6585902860159,-0.7009825223682088,0.24797033491722753
Área per se,apenas fixo,0.5963368173252074,-1.6947013472792554,-0.7082795617184728,0.2679109333863338
Área per se,apenas fixo,0.6029426826279247,-1.7241959002149696,-0.7168866623287949,0.28922489775106064
Área per se,apenas fixo,0.6095485479306421,-1.7619337647050435,-0.7238101874215177,0.315419379147063
Área per se,apenas fixo,0.6161544132333594,-1.8008442420710533,-0.7315303768850367,0.3383513344680528
Área per se,apenas fixo,0.6227602785360767,-1.8415919929778763,-0.7370220251689361,0.3633591694765164
Área per se,apenas fixo,0.6293661438387941,-1.8790407392025237,-0.7454468120484006,0.3929831037317774
Área per se,apenas fixo,0.6359720091415114,-1.9181763586117406,-0.752886048085376,0.4115789657481201
Área per se,apenas fixo,0.6425778744442288,-1.961263361030777,-0.7615785103084769,0.437028046323732
Área per se,apenas fixo,0.6491837397469461,-2.001672378193714,-0.7711540369204556,0.46093452163068693
Área per se,apenas fixo,0.6557896050496635,-2.0477942034073293,-0.7792426532421891,0.48894102263511685
Área per se,apenas fixo,0.6623954703523809,-2.086003930948861,-0.785101941782847,0.5099086525217714
Área per se,apenas fixo,0.6690013356550982,-2.124674564101849,-0.7914958306436448,0.5299305525729092
Área per se,apenas fixo,0.6756072009578156,-2.1641966228850222,-0.7972179346221844,0.555525720321732
Área per se,apenas fixo,0.6822130662605329,-2.2010580542544558,-0.8000767351750824,0.5892989043638279
Área per se,apenas fixo,0.6888189315632502,-2.240325111200886,-0.8044898869325452,0.6255216775030211
Área per se,apenas fixo,0.6954247968659676,-2.2807774358188886,-0.806538086589987,0.6529672988420225
Área per se,apenas fixo,0.7020306621686849,-2.3216699892649477,-0.8101194672432904,0.682173249039084
Área per se,apenas fixo,0.7086365274714023,-2.367191527811446,-0.8138157352107157,0.7156405972764411
Área per se,apenas fixo,0.7152423927741196,-2.409896228175949,-0.8214153159639273,0.7476776398653724
Área per se,apenas fixo,0.721848258076837,-2.4502116866796775,-0.8285850329133906,0.7892559342588698
Área per se,apenas fixo,0.7284541233795543,-2.491112192937049,-0.835763384947789,0.8349237236276909
Área per se,apenas fixo,0.7350599886822716,-2.536095609226264,-0.8410044407722254,0.8694050333631709
Área per se,apenas fixo,0.741665853984989,-2.578825687106021,-0.8465102619127557,0.9028531396941393
Área per se,apenas fixo,0.7482717192877063,-2.6241698042590187,-0.8529553383821761,0.9312754540127177
Área per se,apenas fixo,0.7548775845904236,-2.671760648966006,-0.8568193870229814,0.9759385101863218
Área per se,apenas fixo,0.761483449893141,-2.7274753917976327,-0.8624339262283138,1.016551618363715
Área per se,apenas fixo,0.7680893151958583,-2.7767223994511774,-0.8665877994309162,1.0596575544492408
Área per se,apenas fixo,0.7746951804985757,-2.8221987428391335,-0.8717411080994202,1.1005941166170163
Área per se,apenas fixo,0.781301045801293,-2.8777210627442913,-0.875411654666061,1.1379820158898222
Área per se,apenas fixo,0.7879069111040103,-2.9331187689851363,-0.8773396010670454,1.1767974417205178
Área per se,apenas fixo,0.7945127764067277,-2.9861503040547004,-0.8787639592702808,1.2193300637492404
Área per se,apenas fixo,0.801118641709445,-3.0375564235429047,-0.8820581522959784,1.2630363904285977
Área per se,apenas fixo,0.8077245070121624,-3.0880436861544656,-0.8873090091300607,1.3038280259437145
Área per se,apenas fixo,0.8143303723148797,-3.1376343576257604,-0.893979522534041,1.3496944282454675
Área per se,apenas fixo,0.8209362376175972,-3.188015142357963,-0.8948394708243862,1.3927263222426975
Área per se,apenas fixo,0.8275421029203145,-3.2390665375342005,-0.901530782268802,1.4436178272438271
Área per se,apenas fixo,0.8341479682230318,-3.289470248641064,-0.9105433853576217,1.488881736655674
Área per se,apenas fixo,0.8407538335257492,-3.340246858383975,-0.9187514685777948,1.5274782176475006
Área per se,apenas fixo,0.8473596988284665,-3.3848598953944187,-0.9230272556373972,1.5645893606872934
Área per se,apenas fixo,0.8539655641311839,-3.433942967341119,-0.9219491057830843,1.605914608294678
Área per se,apenas fixo,0.8605714294339012,-3.4816575816450195,-0.9242153450718829,1.6516153363772654
Área per se,apenas fixo,0.8671772947366185,-3.5412242615663287,-0.9298291905186483,1.6980863932764454
Área per se,apenas fixo,0.8737831600393359,-3.595910407321581,-0.9338690731487003,1.7476423194965258
Área per se,apenas fixo,-0.0917546838122866,-0.7782799058604691,-0.2984773451360982,0.1932907043737721
Área per se,apenas fixo,-0.08511645060043907,-0.7099138506962093,-0.2818716548634294,0.16505367653167097
Área per se,apenas fixo,-0.07847821738859155,-0.6473444855614651,-0.26049601012299645,0.14576367567686502
Área per se,apenas fixo,-0.07183998417674403,-0.5848613948296119,-0.23948974184389807,0.12438043119154112
Área per se,apenas fixo,-0.0652017509648965,-0.5283884291210378,-0.2177518644041917,0.10619214406136093
Área per se,apenas fixo,-0.05856351775304897,-0.47742238483027716,-0.19606629445363216,0.093680261324526
Área per se,apenas fixo,-0.05192528454120145,-0.42988395465027524,-0.17624073608595547,0.08072883693833716
Área per se,apenas fixo,-0.04528705132935392,-0.38513465600854047,-0.15656856492703292,0.07486850740899681
Área per se,apenas fixo,-0.038648818117506395,-0.3402815100702222,-0.13709095738262048,0.06854916631574162
Área per se,apenas fixo,-0.03201058490565887,-0.292338696667344,-0.11672374826453565,0.06270450398284555
Área per se,apenas fixo,-0.025372351693811343,-0.25007315696273535,-0.0943020094044425,0.06482169673407591
Área per se,apenas fixo,-0.018734118481963824,-0.2106845256838469,-0.07071011165000765,0.06824475703862996
Área per se,apenas fixo,-0.012095885270116291,-0.17474799230758473,-0.04908901603167615,0.07790005911607936
Área per se,apenas fixo,-0.005457652058268758,-0.13988863438158541,-0.02856124947446227,0.08549337825357425
Área per se,apenas fixo,0.0011805811535787608,-0.11664040454005202,-0.01145743571375326,0.09714691436000598
Área per se,apenas fixo,0.00781881436542628,-0.09940685947230657,0.005516017436522052,0.11285590905878948
Área per se,apenas fixo,0.014457047577273813,-0.08479972161582736,0.02248388046313783,0.12666522288429558
Área per se,apenas fixo,0.021095280789121346,-0.07369253053160131,0.03877337687152135,0.14915550405165107
Área per se,apenas fixo,0.027733514000968865,-0.06341023627926037,0.05317343736256594,0.1711115574409164
Área per se,apenas fixo,0.034371747212816384,-0.052599951956272206,0.07044003303239083,0.19799711375642304
Área per se,apenas fixo,0.04100998042466392,-0.04090066928808553,0.09131705293961095,0.2275470481090255
Área per se,apenas fixo,0.04764821363651145,-0.028394589185573346,0.11494195016084315,0.2663472142525256
Área per se,apenas fixo,0.054286446848358955,-0.01102071118366758,0.14332800399072393,0.3059968423880559
Área per se,apenas fixo,0.06092468006020649,0.007275078214048009,0.17354316155624747,0.34527031771198335
Área per se,apenas fixo,0.06756291327205402,0.019556856493735283,0.20147222391578898,0.3871802115131684
Área per se,apenas fixo,0.07420114648390155,0.026497836799242443,0.2280182309199239,0.4238896745992508
Área per se,apenas fixo,0.08083937969574909,0.030678140301286853,0.2487792244349475,0.4551220861590794
Área per se,apenas fixo,0.08747761290759659,0.03239057172921683,0.26215768087158753,0.48386687972004894
Área per se,apenas fixo,0.09411584611944412,0.02877818610526105,0.2712460834130792,0.5026077051206003
Área per se,apenas fixo,0.10075407933129166,0.02172406046022834,0.27569638996785667,0.5233437652787384
Área per se,apenas fixo,0.10739231254313916,0.008033143237381067,0.2763950543904484,0.5343140061618039
Área per se,apenas fixo,0.1140305457549867,-0.007852068494861402,0.271519956590203,0.5374440407316313
Área per se,apenas fixo,0.12066877896683423,-0.025861247106725455,0.26259834690574485,0.5357605242838602
Área per se,apenas fixo,0.12730701217868176,-0.04484612521592326,0.2485779134346945,0.532277385391545
Área per se,apenas fixo,0.1339452453905293,-0.07044388540641758,0.23330721567567114,0.5247108231200934
Área per se,apenas fixo,0.1405834786023768,-0.09730581154853325,0.21214722210318665,0.5112105442394944
Área per se,apenas fixo,0.14722171181422433,-0.1269779097457292,0.18666850382913575,0.49095371889938494
Área per se,apenas fixo,0.15385994502607186,-0.16106889326066307,0.1601518984244517,0.4722707344410889
Área per se,apenas fixo,0.16049817823791937,-0.19753688229233657,0.13123534476147836,0.45128724508548507
Área per se,apenas fixo,0.1671364114497669,-0.23338881445288362,0.09996955430602165,0.4265308537658943
Área per se,apenas fixo,0.17377464466161444,-0.2738157319410403,0.06437197580791977,0.3952816662270636
Área per se,apenas fixo,0.18041287787346197,-0.315868905817126,0.027002227923014252,0.3618407611995512
Área per se,apenas fixo,0.1870511110853095,-0.3603450195721941,-0.013062331433769486,0.3261249206552799
Área per se,apenas fixo,0.19368934429715703,-0.4084697058211979,-0.05227187218066166,0.28940731657482943
Área per se,apenas fixo,0.2003275775090045,-0.45936881480971536,-0.09440379343441564,0.2560969210701293
Área per se,apenas fixo,0.20696581072085204,-0.5065115752562681,-0.13821132437355882,0.22180979215184812
Área per se,apenas fixo,0.21360404393269958,-0.5554288083707009,-0.1823043335363216,0.1807395020841574
Área per se,apenas fixo,0.2202422771445471,-0.6098506305515061,-0.2282370380972083,0.14026756160286188
Área per se,apenas fixo,0.22688051035639464,-0.6631124043060838,-0.2761934327602895,0.10054460540872978
Área per se,apenas fixo,0.23351874356824218,-0.7105141557977105,-0.32405472379305766,0.06039465232929726
Área per se,apenas fixo,0.2401569767800897,-0.7608092191651457,-0.37138799378837273,0.018169811283882474
Área per se,apenas fixo,0.24679520999193724,-0.8111621376713466,-0.41956725625065744,-0.022723093101407323
Área per se,apenas fixo,0.2534334432037848,-0.8633632517202593,-0.46690706787026504,-0.061207530745653604
Área per se,apenas fixo,0.2600716764156322,-0.915434699340132,-0.512699252226508,-0.10554978165493419
Área per se,apenas fixo,0.26670990962747976,-0.9643418754858485,-0.5588165881274507,-0.145026262891954
Área per se,apenas fixo,0.2733481428393273,-1.0163618257475149,-0.6071914345039414,-0.18755377069892104
Área per se,apenas fixo,0.2799863760511748,-1.0666675580588074,-0.6541186146347487,-0.23120422433885915
Área per se,apenas fixo,0.28662460926302236,-1.1180142749653479,-0.7029484936153038,-0.27433857370557446
Área per se,apenas fixo,0.2932628424748699,-1.1681487326646787,-0.7504782675339619,-0.3194254837229689
Área per se,apenas fixo,0.2999010756867174,-1.21947678252775,-0.7991042531951404,-0.36400190741556915
Área per se,apenas fixo,0.30653930889856496,-1.270227443900539,-0.8474057341315863,-0.40835635146278493
Área per se,apenas fixo,0.3131775421104125,-1.3223161675309614,-0.8989662046306364,-0.45446028423008
Área per se,apenas fixo,0.31981577532226,-1.3741059055344211,-0.9494310721008322,-0.5009142859781429
Área per se,apenas fixo,0.32645400853410755,-1.4287759822234551,-0.9966080900199639,-0.5467230859456385
Área per se,apenas fixo,0.3330922417459551,-1.4800786159718056,-1.0454735987390553,-0.5920508194597232
Área per se,apenas fixo,0.3397304749578026,-1.5330516987631895,-1.0928141275732552,-0.6399947633670545
Área per se,apenas fixo,0.34636870816965015,-1.5841057963362561,-1.1415487074272066,-0.6843520711754126
Área per se,apenas fixo,0.3530069413814977,-1.6355247420029333,-1.188085995224122,-0.7306944046513911
Área per se,apenas fixo,0.3596451745933452,-1.6851397129789454,-1.2365199750463038,-0.7784096801745948
Área per se,apenas fixo,0.36628340780519264,-1.734751158293052,-1.2878984570786234,-0.8257491817438063
Área per se,apenas fixo,0.3729216410170402,-1.7845867602479077,-1.340285093630666,-0.8735831024652478
