modelo,dAICc,df,weight,dev.expl,Moran I statistic (res),p-value,contraste
cheio,0,157.69238972327483,0.5225615222660216,0.4270693765134752,-0.06849715633465275,0.8272841808942106,Área per se
- coord,1.3242671043126393,156.35526589501092,0.26951099053266986,0.4258540342928433,7.687372696891069e-4,0.4338876458196957,Área per se
- ano,2.8247153526435795,154.5440978973473,0.1272794479267188,0.42428600506011477,-0.03882480437934506,0.6809439531358479,Área per se
- cov,3.7372964602636785,153.0949036591611,0.08064803927458974,0.423108950033588,0.01453319159622164,0.34887170693369324,Área per se
- cov,0,194.6463581260824,0.3657653343084295,0.5574309462554919,0.017027570389080676,0.3334486534828791,Frag. per se
- pert e coord,1.1217305329291776,195.27792611200937,0.2087477735848097,0.5575181986601668,0.019614356593712693,0.31827985542360926,Frag. per se
- pert e ano,2.230914506892077,195.80214558049406,0.1198852111508689,0.5575532452800104,0.015749915206655817,0.3410104730047641,Frag. per se
- ano e coord,2.3499828804297067,195.7414033330327,0.11295624422342007,0.5574970085803506,0.019295295719316586,0.3202303209533911,Frag. per se
- pert,3.4020767652491486,196.41513191858888,0.06674995225853168,0.557620920837724,0.017835642373144146,0.3286352500122171,Frag. per se
- coord,3.438292743643615,196.38606916335723,0.06555212271676039,0.5575983810752763,0.0220428527746332,0.30437218482724315,Frag. per se
- ano,4.503817891739345,196.92511821767675,0.03847786030249754,0.5576505428347208,0.018364367153524522,0.32564331090489307,Frag. per se
cheio,5.634163691895992,197.55488330767494,0.02186550145468228,0.5577357873149882,0.020544816774418447,0.3129203846831289,Frag. per se
- ano,0,211.4250928493871,0.30768515980031785,0.6974743269376894,-0.03793200720386948,0.6757791508741343,Frag. total
- pert e ano,0.011824972729300498,210.6778782010316,0.3058713428562398,0.6972062669098438,-0.0798473439126145,0.8707115496361719,Frag. total
- pert,1.141767892898315,211.43713230296837,0.1738500429094294,0.6973140930810228,-0.07930167391146124,0.8688377727866823,Frag. total
cheio,1.265736332178676,212.17511973436586,0.1634012587087816,0.6975594251025351,-0.03913540733070513,0.6827144377698676,Frag. total
- cov,5.22998876947986,208.7111347292299,0.022512769171858054,0.6957500038013064,-0.0015322345680737295,0.4483505831873455,Frag. total
- pert e coord,6.601821816083429,209.37816131125507,0.011338070610765269,0.695789762291343,-0.0012878068830976341,0.4467987942904822,Frag. total
- ano e coord,6.804615461537651,209.27854155468776,0.010244790381883665,0.695724750445931,0.04371292838285349,0.19602368098463754,Frag. total
- coord,8.201020316611903,209.9468547828561,0.00509656556072439,0.6957615561690592,0.043859831953290004,0.1953744351246109,Frag. total
