contraste,modelo,dAICc,df,weight,dev.expl,Moran I statistic (res),p-value
Área per se,s(land)|Site : gs,0,153.14601594476284,1,0.4209077078677865,-0.016812060548159986,0.5460669037413778
Área per se,s(land)|Site : gi,91.27393971471975,219.45547621137763,1.5139649475295348e-20,0.43950893171159916,-0.040103361019836144,0.6886295759982246
Área per se,s(land) + 1|Site,446.7669922215764,69.16546644443726,9.677881292868708e-98,0.21673843899338097,-0.10359090748165943,0.9356148188713228
Área per se,1 + 1|Site,743.9686259568471,64.07903665231149,2.813620495558809e-162,0.09298339021348234,-0.028871066727290735,0.6233773423611892
Frag. per se,s(land)|Site : gs,0,194.6442046778148,0.9999999999915743,0.557432518712353,0.017016570578870894,0.33351316556359667
Frag. per se,s(land)|Site : gi,50.99948978125394,226.33218808695673,8.425612933080947e-12,0.5631557340102815,-0.07137888338314646,0.851247963669151
Frag. per se,s(land) + 1|Site,783.5788651732091,91.8816019804172,7.047115015194278e-171,0.2804759097254221,0.017840767705808058,0.3239151432617194
Frag. per se,1 + 1|Site,1023.9129639552866,84.21075225017559,4.5721966646394805e-223,0.18678304011347527,0.016349078868289565,0.33310042696248093
Frag. total,s(land)|Site : gs,0,208.7131679956048,0.999999999999996,0.6957506448897941,-0.0015351350205425802,0.4483690213808419
Frag. total,s(land)|Site : gi,66.32895366348566,260.33101254087177,3.9523074114869486e-15,0.704967217473633,-0.002692433054959651,0.45333481406289755
Frag. total,s(land) + 1|Site,1276.9824527919664,97.79857457458147,5.0907718338308434e-278,0.3679164306302383,0.0020988704549506332,0.4231143459277433
Frag. total,1 + 1|Site,1596.1934005933126,91.25662778565437,0,0.25910270219823794,-0.0059900031012329776,0.47611654364393885
