Contraste log(U/U),Grau de preservação,Q: 0.05,exp(Q: 0.05),Q: 0.25,exp(Q: 0.25),Q: 0.5,exp(Q: 0.5),Q: 0.75,exp(Q: 0.75),Q: 0.95,exp(Q: 0.95)
Área per se,1a,-0.03716314336539195,0.9635189308049725,-0.008966330155464962,0.9910737475101218,0.00914627655158259,1.009188231552089,0.03664732190176455,1.0373271137645137,0.22894752840725793,1.2572760660013003
Área per se,1a-2a,-0.03995841166252379,0.9608293976186596,-0.002434603480240477,0.9975683577631739,0.02568181067796592,1.0260144296930211,0.13052455694102175,1.139425920365127,0.40541246071541925,1.499921030989657
Área per se,2a,-0.037661786138404645,0.9630385988204547,-0.007377198475004978,0.9926499462619449,0.018391303644359754,1.0185614652329908,0.09023994071973115,1.0944368521695274,0.49833748197079347,1.6459825191052229
Área per se,todos,-0.03849064312689715,0.9622407082618967,-0.00759484142480031,0.9924339265079672,0.015026208785753845,1.0151396698451893,0.06165016504745158,1.0635901986103076,0.3969007181998401,1.4872082700071914
Frag. per se,1a,-0.04454770568863649,0.9564299718548263,-0.010066140938183438,0.9899843530898155,0.012177761466654644,1.0122522123117612,0.06730284620809314,1.0696193592961059,0.5902704862895631,1.8044764355291547
Frag. per se,1a-2a,-0.03754395344844614,0.9631520829350256,0.0020976191393772847,1.0020998206814673,0.05461929454654023,1.0561384604576947,0.22378758727082976,1.2508053042403828,0.5086818852856843,1.6630975961432386
Frag. per se,2a,-0.03252859895353506,0.9679947657981115,0.0011373487845305515,1.0011379958109343,0.04022743980357069,1.0410475229124454,0.20676687346077846,1.2296958636214297,0.7649195753953791,2.1488215495820935
Frag. per se,todos,-0.039931469674641167,0.9608552846213696,-0.004623035347553375,0.9953876344317708,0.024039949628555695,1.024331238725735,0.14915839508855222,1.160856848670825,0.6145393167896416,1.848804690063249
Frag. total,1a,-0.03057050452951916,0.9698920478740214,-0.0045459361367417225,0.9954643809913488,0.016459422368756492,1.0165956249067183,0.09351883212206437,1.098031281405715,0.8108006908386051,2.249708586773233
Frag. total,1a-2a,-0.02431413740623447,0.975979070063323,0.011727814893076147,1.0117968553480694,0.09252999618928703,1.09694604526802,0.35903792648152977,1.4319511094091022,0.8187194871942266,2.267594294104744
Frag. total,2a,-0.027470410075564514,0.972903470267707,0.004149240117615978,1.0041578601324397,0.05045915443589187,1.0517539029961684,0.39966820908959566,1.4913298058715116,1.0398907659680592,2.8289079844484446
Frag. total,todos,-0.028724652937241295,0.971683977964649,2.60456609292236e-4,1.00026049053106,0.032639952953222466,1.0331784794054981,0.24639137230476532,1.27940019737416,0.9051539564211591,2.4723125221467797
