pair,modelo,dAICc,df,weight,dev.expl,Moran I statistic (res),p-value
contemp-ideal,com efeito por paisagem 2,0,259.57575957322405,0.9247472128793008,0.7071321761791836,-0.04717591824875924,0.7327788200067102
contemp-ideal,com efeito por paisagem,5.017334951396151,212.77336879584217,0.07525278712069909,0.689751838381793,-0.07598765920328752,0.8600221222276845
contemp-ideal,com efeito de paisagem,1274.5534753890995,100.13034697001866,1.585814574762261e-277,0.3651969957253678,-0.01315506161749482,0.5248448463499027
contemp-ideal,sem efeito de paisagem,1600.3311583992754,93.71913670213183,0,0.2559379416738405,-0.03148505118305132,0.6438985505780779
contemp-non_frag,com efeito por paisagem 2,0,230.85170084788336,1,0.5845237482976408,-0.04590121097976847,0.7301610042752942
contemp-non_frag,com efeito por paisagem,98.4900870581123,197.0491945012546,4.1034517789273055e-22,0.5476421634275273,0.02563356304250707,0.2835490624402963
contemp-non_frag,com efeito de paisagem,868.3079721768117,94.78284353062328,2.8139705341315237e-189,0.2762773075552658,0.01024238550266455,0.37045075418815154
contemp-non_frag,sem efeito de paisagem,1109.1332475811623,85.97147206898109,1.4281553135364683e-241,0.18276617768078865,-0.00763259611878007,0.487912136299037
non_frag-ideal,com efeito por paisagem,0,158.58037270841575,0.9999999999999962,0.4115512328422604,-0.07771802861799737,0.8661449421655356
non_frag-ideal,com efeito por paisagem 2,66.40556874249614,238.44871674231737,3.8037675027431955e-15,0.44567956807680703,-0.12370632870282797,0.969153820441058
non_frag-ideal,com efeito de paisagem,438.9665431639787,70.31558779657621,4.782183997698392e-96,0.2078254952509853,-0.13952073702758433,0.9831161733284138
non_frag-ideal,sem efeito de paisagem,727.1067286597354,65.06070046065582,1.2905653306544507e-158,0.08888744687494679,-0.14097117276946777,0.9845821373806122
