pair,modelo,dAICc,df,weight,dev.expl,Moran I statistic (res),p-value
contemp-ideal,sem cov,0,258.6333224119816,0.42530312705015383,0.7071469714049554,-0.03659762119833629,0.6731889489083086
contemp-ideal,sem coord,1.062013713369197,258.4985390800884,0.2500836090430097,0.7069538200449242,-0.04010827047932202,0.6931504056352579
contemp-ideal,sem ano,1.4523620386444236,259.6045262570132,0.20574162530766657,0.7072924860437518,-0.04659281404199161,0.7303999115823399
contemp-ideal,cheio,2.549515822220201,259.57575957322405,0.11887163859916992,0.7071321761791836,-0.04717591824875924,0.7327788200067102
contemp-non_frag,sem coord,0,228.0823796804852,0.6386558674288667,0.5838698180526485,-0.03924949239207469,0.6916626729028955
contemp-non_frag,sem cov,2.4553231242853144,230.93486983424137,0.18711140694800865,0.5847840709721356,-0.04195013765458851,0.7085786147442978
contemp-non_frag,cheio,3.5874641596410584,230.85170084788336,0.1062328816416128,0.5845237482976408,-0.04590121097976847,0.7301610042752942
contemp-non_frag,sem ano,4.479720699799145,231.84367278307687,0.06799984398151185,0.5848348956015412,-0.04892881202048482,0.7476327262882042
non_frag-ideal,cheio,0,158.58037270841575,0.34584147918093705,0.4115512328422604,-0.07771802861799737,0.8661449421655356
non_frag-ideal,sem coord,0.08809814913911396,156.78044198082478,0.3309381311156876,0.4103715867936183,-0.03079736404096722,0.6355251944012635
non_frag-ideal,sem ano,1.4128639651926278,154.85318371442813,0.17063871349154255,0.4087683590817161,-0.04893099110581246,0.739579865729415
non_frag-ideal,sem cov,1.6365609660515474,153.01825861291462,0.15258167621183272,0.40752746682335905,-0.00840956527653783,0.4933662457049236
