taxaU,SiteCode,k,land_type,nCongKS,Smed,Ssd,Smin,Smax
contemp,BAjuss,0.05,contemp,81,264.99,11.566666666666666,237,301
contemp,BAjuss,0.05,ideal,90,264.97,11.273868058927292,236,295
contemp,BAjuss,0.05,non_frag,85,263.28,12.522367865930827,233,296
contemp,BAjuss,0.09999999999999988,contemp,88,265.2,12.324730824605862,237,295
contemp,BAjuss,0.09999999999999988,ideal,96,264.25,11.414482206407964,242,301
contemp,BAjuss,0.09999999999999988,non_frag,93,263.18,12.488685788635758,230,290
contemp,BAjuss,0.1499999999999999,contemp,97,263.7,11.924425319147216,228,290
contemp,BAjuss,0.1499999999999999,ideal,97,263.49,12.099332146190482,226,289
contemp,BAjuss,0.1499999999999999,non_frag,94,266.55,12.649410095240638,234,296
contemp,BAjuss,0.19999999999999996,contemp,98,266.78,12.009743519073977,238,295
contemp,BAjuss,0.19999999999999996,ideal,97,267.12,13.06957296064938,243,301
contemp,BAjuss,0.19999999999999996,non_frag,96,267.98,11.151826411993344,240,298
contemp,BAjuss,0.2499999999999999,contemp,94,265.04,13.35749326268317,229,296
contemp,BAjuss,0.2499999999999999,ideal,98,266.03,12.822372336008353,235,298
contemp,BAjuss,0.2499999999999999,non_frag,99,263.19,12.551868145395487,232,304
contemp,BAjuss,0.29999999999999993,contemp,98,266.52,12.944699785056915,236,300
contemp,BAjuss,0.29999999999999993,ideal,96,265.58,12.773220091862173,239,298
contemp,BAjuss,0.29999999999999993,non_frag,98,263.02,10.570570925781148,239,289
contemp,BAjuss,0.34999999999999987,contemp,96,261.75,12.526638282742368,232,299
contemp,BAjuss,0.34999999999999987,ideal,96,263.6,11.776538909495807,233,290
contemp,BAjuss,0.34999999999999987,non_frag,98,262.22,12.695008165544138,226,287
contemp,BAjuss,0.3999999999999999,contemp,94,262.72,13.223853562040947,235,307
contemp,BAjuss,0.3999999999999999,ideal,97,263.69,11.490615406680464,243,302
contemp,BAjuss,0.3999999999999999,non_frag,97,263.77,12.201055592683675,234,286
contemp,BAjuss,0.45,contemp,95,262.38,14.322250824743598,229,300
contemp,BAjuss,0.45,ideal,94,264.34,11.937734079359238,241,286
contemp,BAjuss,0.45,non_frag,96,265.07,12.544269084673163,235,297
contemp,BAjuss,0.49999999999999994,contemp,93,267.93,11.292488788141569,240,293
contemp,BAjuss,0.49999999999999994,ideal,93,267.15,13.211851887719234,233,304
contemp,BAjuss,0.49999999999999994,non_frag,96,268.24,12.327287625508712,237,300
contemp,BAjuss,0.5499999999999999,contemp,91,264.17,12.088106685181234,234,286
contemp,BAjuss,0.5499999999999999,ideal,90,263.43,11.894532314887332,232,289
contemp,BAjuss,0.5499999999999999,non_frag,91,263.98,11.731835303820098,233,294
contemp,BAjuss,0.5999999999999999,contemp,96,264.05,12.336506553291088,239,300
contemp,BAjuss,0.5999999999999999,ideal,89,264.89,12.188664215308227,234,302
contemp,BAjuss,0.5999999999999999,non_frag,94,263.51,12.824766916581622,234,287
contemp,BAjuss,0.6499999999999999,contemp,95,266.13,14.928553753519367,222,302
contemp,BAjuss,0.6499999999999999,ideal,93,267.77,11.10905991167624,238,299
contemp,BAjuss,0.6499999999999999,non_frag,89,267.55,11.97841071396048,237,299
contemp,BAjuss,0.7,contemp,92,264.63,11.811358169921942,236,305
contemp,BAjuss,0.7,ideal,96,266.24,10.52281791963051,240,287
contemp,BAjuss,0.7,non_frag,90,267.35,10.784739498968255,242,288
contemp,BAjuss,0.75,contemp,93,264.46,11.027440521011412,237,294
contemp,BAjuss,0.75,ideal,95,265.52,13.049617820171028,231,297
