SiteCode,d,k,1,2,3,4
MGlavr3,0.6147933131828445,0.99,0.00565155,0.00571827,0.00553337,0.00562588
MGlavr3,0.8776815669980117,0.95,0.00568155,0.00579747,0.00571956,0.00550582
MGlavr3,1.0766846508616144,0.8999999999999999,0.00547873,0.00562562,0.00572014,0.00542468
MGlavr3,1.246588580118237,0.85,0.00561616,0.00571955,0.00565401,0.00531669
MGlavr3,1.399995090735643,0.7999999999999999,0.0056567,0.00551398,0.00576221,0.00575317
MGlavr3,1.561332204298518,0.75,0.0147494,0.0149123,0.0150483,0.0147053
MGlavr3,1.7357669667907305,0.7,0.0149195,0.0149578,0.0143749,0.0152602
MGlavr3,1.9010663218944468,0.6499999999999999,0.0149659,0.0150635,0.0144364,0.0151846
MGlavr3,2.0975419123569337,0.5999999999999999,0.0152485,0.0153755,0.0153625,0.0155803
MGlavr3,2.3099591129993953,0.5499999999999999,0.0151069,0.0148352,0.0154878,0.015032
MGlavr3,2.523960790752981,0.49999999999999994,0.0154865,0.015161000000000001,0.0150529,0.0149143
MGlavr3,2.79671360200601,0.45,0.0155461,0.015086,0.0147872,0.0148831
MGlavr3,3.071335470274801,0.3999999999999999,0.0140289,0.0141656,0.0140994,0.0147944
MGlavr3,3.438174031855412,0.34999999999999987,0.0145682,0.0145699,0.0135689,0.0145867
MGlavr3,3.8680290783149616,0.29999999999999993,0.0143878,0.0138166,0.0149347,0.0148984
MGlavr3,4.397027695047268,0.2499999999999999,0.0125144,0.0132284,0.0129741,0.0128511
MGlavr3,5.148260335465849,0.19999999999999996,0.0127635,0.0118025,0.0129365,0.0129029
MGlavr3,6.228047420325877,0.1499999999999999,0.0107384,0.0110439,0.010704,0.010859
MGlavr3,8.092275116035536,0.09999999999999988,0.00967051,0.00895651,0.00886852,0.00924048
MGlavr3,11.856843638203966,0.05,0.00503632,0.00529888,0.00523097,0.0049966
