SiteCode,d,k,1,2,3,4
MGuberl3,0.8303414717075861,0.99,0.0034485,0.00369205,0.00357084,0.00349602
MGuberl3,1.1692335917329555,0.95,0.00405495,0.00416901,0.00354274,0.00337905
MGuberl3,1.426513407281251,0.8999999999999999,0.010219,0.00947837,0.0118199,0.0102448
MGuberl3,1.6525629533973605,0.85,0.00955543,0.0107167,0.0115548,0.0113973
MGuberl3,1.855633041474793,0.7999999999999999,0.0106272,0.00954774,0.00930294,0.0101588
MGuberl3,2.0755045289348426,0.75,0.00913185,0.0107802,0.00953145,0.0105612
MGuberl3,2.2989539253399407,0.7,0.010501,0.01051,0.00965709,0.00948277
MGuberl3,2.5280524888348492,0.6499999999999999,0.0111235,0.0101838,0.0117211,0.00998313
MGuberl3,2.7625103164452636,0.5999999999999999,0.0101379,0.010561,0.0100156,0.0108149
MGuberl3,3.0301807045157583,0.5499999999999999,0.00709866,0.00837587,0.00808758,0.00874404
MGuberl3,3.3414882424337984,0.49999999999999994,0.00857216,0.00972537,0.00835882,0.00826835
MGuberl3,3.697294856937498,0.45,0.00759482,0.00830628,0.00719314,0.00908821
MGuberl3,4.086107257961603,0.3999999999999999,0.00696384,0.00798855,0.00775793,0.00828469
MGuberl3,4.564411988868255,0.34999999999999987,0.00492468,0.00572778,0.00557611,0.0061409
MGuberl3,5.130753757351241,0.29999999999999993,0.0048909,0.00531202,0.00514345,0.00569543
MGuberl3,5.8590469441235165,0.2499999999999999,0.0033884,0.00432979,0.00378259,0.00363698
MGuberl3,6.830110028268839,0.19999999999999996,0.00401197,0.00375077,0.00378821,0.00329928
MGuberl3,8.206502345753162,0.1499999999999999,0.00265583,0.00201881,0.00215145,0.00235656
MGuberl3,10.563353077068962,0.09999999999999988,0.00149737,0.00160543,0.0016273,0.00183975
MGuberl3,15.912301433433289,0.05,0.00108397,0.00109283,0.00109576,0.00110624
