SiteCode,d,k,1,2,3,4
MGvico3,0.6396780483353515,0.99,0.00309709,0.00318236,0.00323882,0.00319979
MGvico3,0.8983194958258319,0.95,0.00324572,0.00299952,0.00310438,0.00315459
MGvico3,1.0981382503795496,0.8999999999999999,0.00308062,0.0030936,0.00284116,0.00327969
MGvico3,1.2738568015320155,0.85,0.00312737,0.00306708,0.00319769,0.00315581
MGvico3,1.4327634413067325,0.7999999999999999,0.00863611,0.00966579,0.00916837,0.00863049
MGvico3,1.60516452067195,0.75,0.00841651,0.00910899,0.00960196,0.00823856
MGvico3,1.7651396692184855,0.7,0.00925245,0.00884222,0.00822964,0.00853661
MGvico3,1.9477217140212943,0.6499999999999999,0.00943758,0.00847177,0.00973389,0.00889887
MGvico3,2.133022946433612,0.5999999999999999,0.00902162,0.00859104,0.00812107,0.00827669
MGvico3,2.3481987947912972,0.5499999999999999,0.00818701,0.00842754,0.00931666,0.00890047
MGvico3,2.581544890531338,0.49999999999999994,0.00855519,0.00894176,0.00843938,0.00866728
MGvico3,2.840152672818286,0.45,0.00796394,0.00805415,0.0079519,0.00756057
MGvico3,3.1480268499170703,0.3999999999999999,0.00796382,0.00771692,0.00708548,0.00663636
MGvico3,3.5344918453473277,0.34999999999999987,0.00805328,0.00720821,0.00740707,0.00745968
MGvico3,3.9573019555039903,0.29999999999999993,0.00708562,0.00737717,0.00847171,0.00704445
MGvico3,4.517709752496104,0.2499999999999999,0.00547338,0.00548117,0.00600568,0.00627765
MGvico3,5.333256635885602,0.19999999999999996,0.00562419,0.00573298,0.00632631,0.00588531
MGvico3,6.38155650166578,0.1499999999999999,0.00405791,0.0035676,0.00387173,0.00377594
MGvico3,8.221144547537167,0.09999999999999988,0.00263409,0.00288258,0.0029549,0.002918
MGvico3,12.245785842420473,0.05,0.00124212,0.00119434,0.00144887,0.00137972
