SiteCode,d,k,1,2,3,4
MSdour,0.7922083470729404,0.99,0.00594247,0.00643476,0.00669228,0.00657255
MSdour,1.121101504705751,0.95,0.00619776,0.006373,0.00630763,0.00621588
MSdour,1.3782059284658823,0.8999999999999999,0.00630649,0.00638651,0.00580083,0.00627714
MSdour,1.5953014792764022,0.85,0.0178235,0.0175204,0.0167831,0.0163703
MSdour,1.805549093600857,0.7999999999999999,0.0169029,0.0163862,0.0180612,0.017305
MSdour,2.010292566345302,0.75,0.0186231,0.0184364,0.0174628,0.0208966
MSdour,2.201366038644344,0.7,0.0158419,0.0184272,0.0192102,0.0164244
MSdour,2.438108222983529,0.6499999999999999,0.0159587,0.0176589,0.0181014,0.0169733
MSdour,2.6812680951312458,0.5999999999999999,0.0175438,0.0192136,0.0173181,0.017117
MSdour,2.937803819479297,0.5499999999999999,0.0135393,0.0161453,0.0161029,0.0154385
MSdour,3.228381917801237,0.49999999999999994,0.0132357,0.0150172,0.0157123,0.0139421
MSdour,3.5541532467448276,0.45,0.0156173,0.0134531,0.0153053,0.0144239
MSdour,3.954577490596061,0.3999999999999999,0.0156182,0.0147673,0.0133429,0.0145427
MSdour,4.418021042532311,0.34999999999999987,0.0109384,0.0112584,0.0109722,0.0113955
MSdour,5.010099232952212,0.29999999999999993,0.0124018,0.0119244,0.0118502,0.0112778
MSdour,5.678540736967803,0.2499999999999999,0.00973326,0.00769941,0.00826065,0.00840063
MSdour,6.640053070014297,0.19999999999999996,0.00946936,0.00744953,0.0093826,0.00881181
MSdour,7.970655895001484,0.1499999999999999,0.00553554,0.00519939,0.0044062,0.00663472
MSdour,10.261104948869352,0.09999999999999988,0.00277311,0.00282645,0.00287011,0.00314237
MSdour,15.409610497880603,0.05,0.00172273,0.00173619,0.00166409,0.00173074
