SiteCode,d,k,1,2,3,4
PEmata2,0.7616915912809717,0.99,0.00244815,0.0030565,0.00302438,0.00276318
PEmata2,1.0762111241089138,0.95,0.00300714,0.00272193,0.00305693,0.00334297
PEmata2,1.3137262716376328,0.8999999999999999,0.00305813,0.00274211,0.00288764,0.00316479
PEmata2,1.5249343602863026,0.85,0.0079981,0.00943652,0.00853555,0.00842353
PEmata2,1.72248155386514,0.7999999999999999,0.0085853,0.00843923,0.00790272,0.0081498
PEmata2,1.9219356563415824,0.75,0.00791303,0.00796781,0.00805495,0.00848173
PEmata2,2.1188452296664204,0.7,0.00867391,0.00963704,0.00884967,0.00961097
PEmata2,2.3331950301325963,0.6499999999999999,0.00893985,0.00837608,0.00776955,0.00825071
PEmata2,2.5635836703244,0.5999999999999999,0.00795833,0.00760999,0.00850436,0.00773899
PEmata2,2.8197852625567412,0.5499999999999999,0.00978301,0.00769698,0.00825945,0.00788555
PEmata2,3.09353537675365,0.49999999999999994,0.00785564,0.00634902,0.00698051,0.00585812
PEmata2,3.4001017903211688,0.45,0.00703547,0.00796863,0.00733339,0.00747532
PEmata2,3.7794651709471423,0.3999999999999999,0.00584952,0.00738443,0.00653959,0.00876794
PEmata2,4.221842490219405,0.34999999999999987,0.00674018,0.006998,0.00587157,0.00725527
PEmata2,4.744930994204066,0.29999999999999993,0.00434945,0.00422013,0.00467432,0.0044764
PEmata2,5.403643776199587,0.2499999999999999,0.00514097,0.00434656,0.00533197,0.00407353
PEmata2,6.336547129632884,0.19999999999999996,0.00316552,0.00343537,0.00331744,0.00339771
PEmata2,7.594006993489891,0.1499999999999999,0.00249355,0.00230095,0.00223709,0.00190513
PEmata2,9.715965302298164,0.09999999999999988,0.00177374,0.00141543,0.00163456,0.00138444
PEmata2,14.64077846162154,0.05,0.00106713,9.5295e-4,0.00105111,0.00102921
