SiteCode,d,k,1,2,3,4
PRanto11,0.617852619099649,0.99,0.0021579,0.00218659,0.00212539,0.00230358
PRanto11,0.8645301687243061,0.95,0.00221554,0.00223612,0.00231286,0.00213071
PRanto11,1.0627382932527154,0.8999999999999999,0.00239151,0.00235479,0.00207413,0.002403
PRanto11,1.2323186134387882,0.85,0.00197071,0.00219772,0.00195189,0.00226949
PRanto11,1.3884778656217722,0.7999999999999999,0.00212874,0.00203166,0.00216467,0.00220835
PRanto11,1.549240079834871,0.75,0.00549352,0.00645589,0.00591428,0.00599
PRanto11,1.7181738419027357,0.7,0.00560896,0.00595519,0.00606727,0.00622274
PRanto11,1.8888218091407716,0.6499999999999999,0.0060592,0.00558732,0.0058175,0.00628165
PRanto11,2.079468470527193,0.5999999999999999,0.00596212,0.00661901,0.00617512,0.00599853
PRanto11,2.2697238311016443,0.5499999999999999,0.00680969,0.00583003,0.00563055,0.00583314
PRanto11,2.499007673185261,0.49999999999999994,0.00632039,0.00609942,0.00558502,0.00594653
PRanto11,2.752262100078798,0.45,0.00585638,0.00646525,0.00593125,0.00639143
PRanto11,3.0649361080352944,0.3999999999999999,0.0045894,0.00551671,0.00400262,0.00503814
PRanto11,3.4303540658152625,0.34999999999999987,0.0049525,0.00525059,0.00520327,0.00477988
PRanto11,3.85787128748453,0.29999999999999993,0.00495987,0.00493643,0.0049047199999999996,0.00479866
PRanto11,4.406224355562154,0.2499999999999999,0.00401226,0.00382441,0.0035336,0.00336079
PRanto11,5.107619049774573,0.19999999999999996,0.00339857,0.00446278,0.00322476,0.00326755
PRanto11,6.199741506403241,0.1499999999999999,0.00339048,0.00285949,0.00227497,0.00238193
PRanto11,7.983298818095712,0.09999999999999988,0.00190243,0.00172003,0.00161833,0.00201956
PRanto11,11.762489899310816,0.05,9.53876e-4,9.67017e-4,9.96717e-4,9.88256e-4
