SiteCode,d,k,1,2,3,4
PRdiam4,0.7303459202174639,0.99,0.00133401,0.00147384,0.00124941,0.00174016
PRdiam4,1.0280468242847018,0.95,0.00150927,0.00146822,0.00131069,0.00126129
PRdiam4,1.271013459681657,0.8999999999999999,0.00163166,0.0013914,0.0012579,0.00136906
PRdiam4,1.4719559861649456,0.85,0.00383994,0.00431775,0.00380304,0.00397383
PRdiam4,1.6532266719951647,0.7999999999999999,0.00451834,0.0045169,0.00384771,0.00405248
PRdiam4,1.835682572162804,0.75,0.00464677,0.00415635,0.0042182,0.00418155
PRdiam4,2.0304498752191424,0.7,0.00408409,0.00459571,0.00427216,0.00448745
PRdiam4,2.237914336135601,0.6499999999999999,0.00428051,0.0045618,0.00425519,0.00400864
PRdiam4,2.459968507033875,0.5999999999999999,0.00444445,0.00395298,0.00377057,0.00446461
PRdiam4,2.7030869250165988,0.5499999999999999,0.00399517,0.0034956,0.00403711,0.00432749
PRdiam4,2.96934432156793,0.49999999999999994,0.00336058,0.00293821,0.00318081,0.00334409
PRdiam4,3.280062269756418,0.45,0.00297159,0.00337698,0.00299338,0.00268088
PRdiam4,3.625049797900825,0.3999999999999999,0.00336605,0.00355689,0.00302423,0.00310221
PRdiam4,4.0567384429568625,0.34999999999999987,0.00324126,0.00342301,0.00353317,0.00337637
PRdiam4,4.569964986420886,0.29999999999999993,0.00231469,0.00210686,0.00225064,0.00251626
PRdiam4,5.213341567059699,0.2499999999999999,0.0018489,0.00210628,0.00240258,0.00225963
PRdiam4,6.1249100291904925,0.19999999999999996,0.00138451,0.00105447,0.00129879,0.00131625
PRdiam4,7.308997301681473,0.1499999999999999,0.00105988,0.00111977,0.001144,0.00120855
PRdiam4,9.50397606798774,0.09999999999999988,0.00106527,9.16626e-4,9.17707e-4,8.78338e-4
PRdiam4,13.975897714235945,0.05,7.03077e-4,7.38409e-4,7.05362e-4,7.73313e-4
