SiteCode,d,k,1,2,3,4
PRrico3,0.7555849494799887,0.99,9.20724e-4,8.66382e-4,8.54926e-4,0.00102788
PRrico3,1.067442665121068,0.95,8.82881e-4,7.89046e-4,9.94329e-4,7.60291e-4
PRrico3,1.3099661648831753,0.8999999999999999,0.00097333300000000005,8.25363e-4,8.05317e-4,8.01352e-4
PRrico3,1.511104196824062,0.85,0.0024218,0.00234399,0.0022053,0.00257103
PRrico3,1.706863779489417,0.7999999999999999,0.00256734,0.00250825,0.00310239,0.00257744
PRrico3,1.9026059830013156,0.75,0.00219842,0.00250783,0.00282032,0.00223024
PRrico3,2.1153842215876213,0.7,0.00260328,0.00237625,0.00262891,0.00269493
PRrico3,2.3094867812384363,0.6499999999999999,0.00201187,0.00295336,0.00290361,0.00222125
PRrico3,2.5228562137208055,0.5999999999999999,0.00271428,0.00248999,0.00285163,0.00229886
PRrico3,2.7909673975462783,0.5499999999999999,0.00238624,0.00274637,0.00264111,0.0028712
PRrico3,3.0661524424189524,0.49999999999999994,0.00173057,0.00169916,0.00170099,0.00158127
PRrico3,3.407292536004242,0.45,0.00189016,0.00172573,0.001417,0.00185039
PRrico3,3.769806304425732,0.3999999999999999,0.00233608,0.00149008,0.00149573,0.00238292
PRrico3,4.214690876445985,0.34999999999999987,0.00166115,0.0016259,0.00183366,0.00137058
PRrico3,4.722747757339449,0.29999999999999993,8.95129e-4,0.00122565,0.00127362,0.00129556
PRrico3,5.367684672330924,0.2499999999999999,8.90579e-4,8.37422e-4,0.00102972,0.00102978
PRrico3,6.26374002136503,0.19999999999999996,8.30606e-4,7.16674e-4,7.5828e-4,0.00107348
PRrico3,7.574523141906377,0.1499999999999999,6.58532e-4,7.29742e-4,7.66382e-4,7.46794e-4
PRrico3,9.687112012280355,0.09999999999999988,6.1837e-4,6.18146e-4,6.13095e-4,6.70327e-4
PRrico3,14.647479822479529,0.05,4.34367e-4,4.72355e-4,4.74539e-4,5.12049e-4
