SiteCode,d,k,1,2,3,4
PRsapo,0.6667958494335976,0.99,0.00397717,0.00384226,0.00363339,0.00364037
PRsapo,0.9473990585560974,0.95,0.00392299,0.00370222,0.00383821,0.00395106
PRsapo,1.154102462317924,0.8999999999999999,0.0035796,0.00392862,0.00390221,0.00400154
PRsapo,1.3340642938361835,0.85,0.0041146,0.00362056,0.00389516,0.0040883
PRsapo,1.5087227619604404,0.7999999999999999,0.0107993,0.0111581,0.010663,0.0108469
PRsapo,1.6838978232762376,0.75,0.0107149,0.0113647,0.0102299,0.0107277
PRsapo,1.8552732470615207,0.7,0.0109009,0.0112979,0.0112698,0.0105443
PRsapo,2.059645987222648,0.6499999999999999,0.0115167,0.010772,0.0102634,0.00904975
PRsapo,2.2409620416451084,0.5999999999999999,0.0108291,0.0105979,0.011091,0.0102053
PRsapo,2.471886066232395,0.5499999999999999,0.00965041,0.00902297,0.00971274,0.0102332
PRsapo,2.7199221477193687,0.49999999999999994,0.0101838,0.010675,0.0106011,0.010547
PRsapo,2.9865138334975536,0.45,0.0087855,0.0087422,0.00989841,0.00901121
PRsapo,3.3293299752946828,0.3999999999999999,0.00928836,0.00818679,0.00849816,0.0090361
PRsapo,3.701912408013574,0.34999999999999987,0.00938635,0.00921663,0.00904531,0.00909785
PRsapo,4.18372466815709,0.29999999999999993,0.0086483,0.00963894,0.00832631,0.00873875
PRsapo,4.770617034670904,0.2499999999999999,0.00618851,0.0071703,0.00616444,0.00669643
PRsapo,5.538660507812281,0.19999999999999996,0.00712565,0.00700963,0.00642516,0.0069023
PRsapo,6.693586438885975,0.1499999999999999,0.0050734,0.00445662,0.00518601,0.00594331
PRsapo,8.598130143691744,0.09999999999999988,0.00245305,0.00281767,0.00230454,0.0021446
PRsapo,12.877072059458069,0.05,0.00136929,0.00133998,0.00142516,0.00137645
