SiteCode,d,k,1,2,3,4
PRtele,0.7950918993225125,0.99,0.005368,0.00506958,0.00507556,0.00501745
PRtele,1.1239034458450636,0.95,0.00490533,0.004977,0.00492212,0.00557501
PRtele,1.3810295056059745,0.8999999999999999,0.00487008,0.00526109,0.00507773,0.00497068
PRtele,1.6040275828177295,0.85,0.0155007,0.0144511,0.0142043,0.0148883
PRtele,1.810848265150114,0.7999999999999999,0.0141135,0.0130533,0.0140278,0.0133151
PRtele,2.0092445627522246,0.75,0.013646,0.0153884,0.013468,0.0119778
PRtele,2.2342821608436787,0.7,0.0127345,0.0145062,0.0147808,0.0132556
PRtele,2.431924438615509,0.6499999999999999,0.0126,0.0145492,0.0136351,0.0149077
PRtele,2.6807746242858927,0.5999999999999999,0.013551,0.0164784,0.0136739,0.0138774
PRtele,2.9575263983529374,0.5499999999999999,0.0121842,0.0114592,0.0109179,0.0113989
PRtele,3.236528251299273,0.49999999999999994,0.0121108,0.012243800000000001,0.0107187,0.011302
PRtele,3.583229514677654,0.45,0.0109352,0.0108355,0.0135782,0.0115523
PRtele,3.954295622789457,0.3999999999999999,0.0128415,0.0116564,0.0112829,0.0126674
PRtele,4.428454144345905,0.34999999999999987,0.00941961,0.00758359,0.00876286,0.0081836
PRtele,4.956549937966118,0.29999999999999993,0.00894082,0.0079972,0.00870569,0.00817495
PRtele,5.714718163202063,0.2499999999999999,0.00625197,0.00665866,0.00610347,0.00520911
PRtele,6.600893558378843,0.19999999999999996,0.00616826,0.00583732,0.00631519,0.0059704
PRtele,8.085876427152796,0.1499999999999999,0.00323788,0.00421049,0.00367698,0.00325527
PRtele,10.310659113760574,0.09999999999999988,0.00238519,0.00255923,0.00232899,0.00201188
PRtele,15.333674358864725,0.05,0.0015936,0.0013288,0.00144652,0.00151089
