SiteCode,d,k,1,2,3,4
RScach3,0.7356957305311664,0.99,0.00186002,0.00190914,0.00168989,0.0017185
RScach3,1.0400104461363295,0.95,0.00169646,0.00194504,0.00197935,0.0016476800000000001
RScach3,1.2689462668595406,0.8999999999999999,0.00170865,0.00179906,0.00186212,0.00181934
RScach3,1.475388417717565,0.85,0.0058985,0.00583808,0.00573574,0.00466713
RScach3,1.6544209181305274,0.7999999999999999,0.00563023,0.00477281,0.00538117,0.00466518
RScach3,1.848827222969802,0.75,0.00491858,0.00644071,0.00529585,0.00610001
RScach3,2.04984153993206,0.7,0.00517696,0.00451942,0.00521539,0.00558777
RScach3,2.257306593691642,0.6499999999999999,0.00568308,0.00521523,0.00528346,0.00479097
RScach3,2.47280681535463,0.5999999999999999,0.00530459,0.00498888,0.00441176,0.00502287
RScach3,2.7246096100083004,0.5499999999999999,0.00612843,0.00555489,0.00620791,0.00527309
RScach3,2.9825739164424276,0.49999999999999994,0.00455472,0.00457938,0.00384861,0.0045559
RScach3,3.275589262759626,0.45,0.00409736,0.00431239,0.00464166,0.00439208
RScach3,3.632545070956255,0.3999999999999999,0.00424968,0.00430149,0.00353255,0.00434649
RScach3,4.072339919953522,0.34999999999999987,0.00402641,0.00466616,0.00318966,0.00342197
RScach3,4.572429444786131,0.29999999999999993,0.00243159,0.00214866,0.00262102,0.00271855
RScach3,5.2237433492705545,0.2499999999999999,0.00215495,0.00270449,0.00311007,0.00250099
RScach3,6.110634036349869,0.19999999999999996,0.00143846,0.00156228,0.00132331,0.00215062
RScach3,7.415865637867843,0.1499999999999999,0.00134064,0.00129882,0.00166099,0.00120687
RScach3,9.47223887853954,0.09999999999999988,0.00123322,0.00117754,0.00107025,0.00110881
RScach3,14.248201816388224,0.05,8.17333e-4,7.61754e-4,7.05293e-4,6.94095e-4
