SiteCode,d,k,1,2,3,4
RSfaxi,0.7363135920320611,0.99,0.00209111,0.00190393,0.00212898,0.00207429
RSfaxi,1.0466153375664582,0.95,0.00181381,0.00204628,0.00205026,0.00185124
RSfaxi,1.287432241314579,0.8999999999999999,0.00229066,0.00193398,0.00239256,0.00193302
RSfaxi,1.477830413795798,0.85,0.00566003,0.00516698,0.00613381,0.00653754
RSfaxi,1.675845400781142,0.7999999999999999,0.00492925,0.00560558,0.00576164,0.00559812
RSfaxi,1.8704243184258709,0.75,0.00560211,0.00554868,0.00661534,0.00587082
RSfaxi,2.0578214942325124,0.7,0.00562112,0.00538337,0.00627001,0.00606418
RSfaxi,2.264088164453943,0.6499999999999999,0.00551401,0.00532302,0.00616635,0.00550551
RSfaxi,2.4846426462646605,0.5999999999999999,0.00545513,0.00672716,0.00572387,0.0061805
RSfaxi,2.7433477097334733,0.5499999999999999,0.00635044,0.00508008,0.00505535,0.00563662
RSfaxi,3.012411305016232,0.49999999999999994,0.00448125,0.00476013,0.00399197,0.00508681
RSfaxi,3.329024916135975,0.45,0.00402969,0.00436065,0.00397087,0.00374095
RSfaxi,3.680746972629437,0.3999999999999999,0.00419915,0.00445766,0.00519637,0.00490509
RSfaxi,4.083736923453388,0.34999999999999987,0.00427058,0.00392862,0.00465912,0.00439041
RSfaxi,4.6344947116665285,0.29999999999999993,0.00316195,0.00321723,0.003117,0.0027776
RSfaxi,5.255338193434196,0.2499999999999999,0.00314302,0.00314778,0.00265999,0.0032952
RSfaxi,6.155707064907488,0.19999999999999996,0.00172994,0.00164971,0.00251953,0.00179509
RSfaxi,7.370873490349777,0.1499999999999999,0.00133587,0.00153248,0.00143531,0.00132523
RSfaxi,9.521169575144656,0.09999999999999988,0.00100671,0.00112134,0.00111607,0.00116126
RSfaxi,14.493673045606714,0.05,8.23404e-4,7.69349e-4,7.46221e-4,7.86597e-4
