SiteCode,d,k,1,2,3,4
RSsetape,0.6141242890780182,0.99,3.72123e-4,4.14262e-4,5.67911e-4,4.9373e-4
RSsetape,0.8680538012900523,0.95,4.05328e-4,4.31046e-4,4.39516e-4,4.23362e-4
RSsetape,1.074151424049406,0.8999999999999999,4.82337e-4,4.45229e-4,3.60608e-4,4.36577e-4
RSsetape,1.235826775668308,0.85,3.67377e-4,4.41959e-4,5.08167e-4,4.89629e-4
RSsetape,1.3923113953736312,0.7999999999999999,5.71685e-4,4.91692e-4,4.41863e-4,5.30064e-4
RSsetape,1.55466861117629,0.75,0.00171831,0.00138909,0.00162254,0.00116411
RSsetape,1.717870069635946,0.7,0.00122596,0.00137768,0.00147504,0.00121705
RSsetape,1.8969103018951443,0.6499999999999999,0.0014166,0.00163154,0.00159911,0.00122874
RSsetape,2.07936366468537,0.5999999999999999,0.00156357,0.00150087,0.00112733,0.00161059
RSsetape,2.2955253566438,0.5499999999999999,0.00124512,0.00127347,0.00124745,0.00119324
RSsetape,2.5226207629861115,0.49999999999999994,0.001429,0.00135247,0.00153583,0.0013957
RSsetape,2.765198863167113,0.45,0.00137845,0.00137194,0.00146497,0.00140364
RSsetape,3.049278890599615,0.3999999999999999,0.0010189,9.35106e-4,8.29767e-4,0.00135102
RSsetape,3.4223742453199986,0.34999999999999987,8.62386e-4,0.00101457,0.00100318,8.63091e-4
RSsetape,3.8491747757327177,0.29999999999999993,7.54442e-4,0.00108712,7.94505e-4,0.00129242
RSsetape,4.396852543644361,0.2499999999999999,6.03824e-4,5.4592e-4,6.13996e-4,5.95525e-4
RSsetape,5.1134263239417574,0.19999999999999996,7.27228e-4,6.67051e-4,6.2659e-4,7.8166e-4
RSsetape,6.2009913885409285,0.1499999999999999,5.62755e-4,4.72827e-4,4.90665e-4,5.60017e-4
RSsetape,8.017188780146608,0.09999999999999988,4.64872e-4,5.07505e-4,4.97885e-4,4.44033e-4
RSsetape,11.888645011437104,0.05,3.56249e-4,3.69392e-4,3.38662e-4,3.59456e-4
