SiteCode,d,k,1,2,3,4
SCarar,0.563104160461148,0.99,1.2463e-4,1.2624e-4,1.45807e-4,1.42912e-4
SCarar,0.8117125040616715,0.95,1.22808e-4,1.19061e-4,1.32981e-4,1.34105e-4
SCarar,0.9884588102423612,0.8999999999999999,1.16368e-4,1.37557e-4,1.81864e-4,1.59639e-4
SCarar,1.146846059408352,0.85,1.169e-4,1.18832e-4,1.31354e-4,1.36375e-4
SCarar,1.2967430984338075,0.7999999999999999,1.84311e-4,1.60431e-4,1.45065e-4,1.15966e-4
SCarar,1.4380369486715192,0.75,3.47438e-4,3.47291e-4,3.38023e-4,3.46205e-4
SCarar,1.5951727229700925,0.7,3.53097e-4,2.90407e-4,3.12725e-4,3.40713e-4
SCarar,1.749824760684915,0.6499999999999999,5.14723e-4,3.0119e-4,3.93334e-4,4.46581e-4
SCarar,1.921441294403187,0.5999999999999999,2.8725e-4,3.56966e-4,3.17189e-4,3.63e-4
SCarar,2.1155868197497134,0.5499999999999999,3.69284e-4,4.67657e-4,3.6024e-4,3.92061e-4
SCarar,2.321505074231737,0.49999999999999994,2.92206e-4,4.58197e-4,3.62772e-4,4.20532e-4
SCarar,2.5514584033430343,0.45,2.64214e-4,3.01843e-4,2.35286e-4,2.99008e-4
SCarar,2.8170223673192893,0.3999999999999999,3.0489e-4,4.06021e-4,2.04786e-4,3.56254e-4
SCarar,3.162430850204963,0.34999999999999987,2.80689e-4,2.85656e-4,2.85966e-4,2.55708e-4
SCarar,3.552706792787375,0.29999999999999993,3.25537e-4,3.19843e-4,2.74263e-4,2.51633e-4
SCarar,4.0566252703427335,0.2499999999999999,3.05288e-4,3.02913e-4,3.07916e-4,3.80565e-4
SCarar,4.763862609710139,0.19999999999999996,0.00026628999999999997,2.20796e-4,2.71551e-4,2.87623e-4
SCarar,5.749352826277891,0.1499999999999999,2.23442e-4,2.22216e-4,2.32056e-4,2.29471e-4
SCarar,7.346102290662131,0.09999999999999988,1.95917e-4,2.15257e-4,2.0239e-4,2.03341e-4
SCarar,11.134583350973516,0.05,1.52151e-4,1.88723e-4,1.79448e-4,1.77057e-4
