SiteCode,d,k,1,2,3,4
SCilho2,0.6022048851838689,0.99,0.00504817,0.00493663,0.005468,0.00507839
SCilho2,0.8471884206232158,0.95,0.00561405,0.00549908,0.00553862,0.0053946
SCilho2,1.046160740050489,0.8999999999999999,0.00561491,0.00534831,0.0048937,0.00513969
SCilho2,1.210242800958706,0.85,0.00505159,0.0056574,0.0053068,0.00501406
SCilho2,1.3635995508700447,0.7999999999999999,0.00505436,0.00557307,0.00550321,0.00615056
SCilho2,1.511098513948237,0.75,0.0138416,0.0145663,0.0140142,0.0137184
SCilho2,1.6749157402385717,0.7,0.014871,0.0144551,0.0151224,0.0146603
SCilho2,1.8374851558907328,0.6499999999999999,0.0154272,0.0141877,0.0151026,0.0143536
SCilho2,2.0241664990884973,0.5999999999999999,0.0143209,0.0136906,0.0157829,0.0144668
SCilho2,2.2306659327648335,0.5499999999999999,0.0145146,0.0150987,0.0145773,0.0139238
SCilho2,2.4360068345078085,0.49999999999999994,0.0151851,0.0155584,0.0147286,0.0157936
SCilho2,2.6892731272365373,0.45,0.0151767,0.0153704,0.0144125,0.0148252
SCilho2,2.981459587006083,0.3999999999999999,0.0124225,0.0128106,0.0119124,0.0130066
SCilho2,3.3576000864823454,0.34999999999999987,0.0135363,0.0129052,0.0128824,0.0131938
SCilho2,3.760835640923889,0.29999999999999993,0.0132121,0.0124985,0.0127953,0.0143142
SCilho2,4.28911275535509,0.2499999999999999,0.0103281,0.00991565,0.00989135,0.00984683
SCilho2,5.003206781499848,0.19999999999999996,0.0114836,0.0106942,0.0103917,0.0117376
SCilho2,6.056077010082554,0.1499999999999999,0.00867062,0.00889995,0.00833571,0.00881127
SCilho2,7.740603738729059,0.09999999999999988,0.00604084,0.00693489,0.00637426,0.00620833
SCilho2,11.65589569295276,0.05,0.00249052,0.00272078,0.00241641,0.00245281
