SiteCode,d,k,1,2,3,4
SCside4,0.6841182784207699,0.99,0.00539844,0.0051683400000000004,0.00545384,0.00537018
SCside4,0.96250530941901,0.95,0.00514454,0.0053464,0.00535528,0.00475538
SCside4,1.17583939122266,0.8999999999999999,0.00544347,0.00489375,0.00479329,0.00522089
SCside4,1.3644461205129357,0.85,0.00524577,0.00500144,0.00517084,0.00511106
SCside4,1.5402017098119904,0.7999999999999999,0.0158696,0.0142108,0.0144407,0.013646
SCside4,1.7194185776041857,0.75,0.0146778,0.0140528,0.0162428,0.0140171
SCside4,1.8978256154108235,0.7,0.0133578,0.014528,0.0139757,0.0140027
SCside4,2.113213464450208,0.6499999999999999,0.0145782,0.0150012,0.0148387,0.0134979
SCside4,2.295825464410475,0.5999999999999999,0.0147097,0.014928,0.014407,0.013262
SCside4,2.528194715405089,0.5499999999999999,0.0132419,0.0129698,0.0143009,0.0140292
SCside4,2.7754711621210593,0.49999999999999994,0.0150157,0.0147859,0.0144916,0.0148059
SCside4,3.0759538573941185,0.45,0.0115173,0.012377,0.0114948,0.0126485
SCside4,3.3928432962700867,0.3999999999999999,0.012374,0.012744,0.0110822,0.0129025
SCside4,3.7710669278615874,0.34999999999999987,0.0128009,0.0132294,0.0128847,0.0123567
SCside4,4.237147826006202,0.29999999999999993,0.0120121,0.0137814,0.0125186,0.0120367
SCside4,4.866706046932277,0.2499999999999999,0.00980978,0.00995961,0.00910784,0.00949864
SCside4,5.705869398874434,0.19999999999999996,0.0066248,0.00701454,0.00742881,0.00706011
SCside4,6.89875755021215,0.1499999999999999,0.0077974,0.0062213,0.00799553,0.0070338
SCside4,8.738701423136265,0.09999999999999988,0.00313163,0.00381884,0.00415674,0.00399489
SCside4,13.17236392007581,0.05,0.00173705,0.00187917,0.00183662,0.00184352
