SiteCode,d,k,1,2,3,4
SCsjo1,0.6742239178061266,0.99,0.00170455,0.0018738,0.00177736,0.00196125
SCsjo1,0.95304755450055,0.95,0.001737,0.00160383,0.0017832,0.00205945
SCsjo1,1.1705374050877082,0.8999999999999999,0.00175697,0.00180216,0.00180911,0.00132679
SCsjo1,1.3595292022092906,0.85,0.00193098,0.00172413,0.00167648,0.00173562
SCsjo1,1.5358372684053625,0.7999999999999999,0.00515886,0.00509788,0.00492015,0.00520037
SCsjo1,1.7029108768547707,0.75,0.00543779,0.00500137,0.0045228,0.00434379
SCsjo1,1.8894901864113507,0.7,0.0054966,0.0048694,0.00523471,0.00571957
SCsjo1,2.078709790590372,0.6499999999999999,0.00573737,0.00482693,0.00510817,0.00520969
SCsjo1,2.278172024932916,0.5999999999999999,0.00508406,0.00470345,0.0051429,0.00493327
SCsjo1,2.502297893582269,0.5499999999999999,0.00492141,0.00457191,0.00445435,0.00529673
SCsjo1,2.7587727395758046,0.49999999999999994,0.00472394,0.00519813,0.00487778,0.0055563
SCsjo1,3.063135871446649,0.45,0.00408786,0.00437902,0.00401698,0.00433328
SCsjo1,3.3451386153087896,0.3999999999999999,0.00333743,0.00395128,0.00425629,0.00409255
SCsjo1,3.7606413387689,0.34999999999999987,0.00380238,0.0040774,0.00390083,0.0041931
SCsjo1,4.218384788421972,0.29999999999999993,0.00401093,0.00377796,0.0036531,0.00351609
SCsjo1,4.814573297365378,0.2499999999999999,0.0028907,0.00253405,0.00252898,0.00276926
SCsjo1,5.624087549727025,0.19999999999999996,0.00285987,0.00278348,0.00312442,0.00283336
SCsjo1,6.831872275938239,0.1499999999999999,0.00183554,0.0014518,0.00218698,0.00160041
SCsjo1,8.714694104270968,0.09999999999999988,0.00111353,0.00113623,0.00114309,0.00121507
SCsjo1,13.13632014212607,0.05,7.8908e-4,9.06142e-4,7.68905e-4,7.69881e-4
