SiteCode,d,k,1,2,3,4
SCtimbe1,0.4558443752445247,0.99,0.00190477,0.00173122,0.00184831,0.00158241
SCtimbe1,0.6528725099916338,0.95,0.00173693,0.00197688,0.00178309,0.00179563
SCtimbe1,0.7927832697996473,0.8999999999999999,0.00169551,0.00174533,0.00183101,0.0017538
SCtimbe1,0.9202947747981616,0.85,0.00192824,0.00168669,0.00170497,0.00186803
SCtimbe1,1.0362575176043478,0.7999999999999999,0.00172853,0.00178713,0.00183541,0.00162192
SCtimbe1,1.1508322832918705,0.75,0.00171509,0.00173463,0.00186904,0.00185197
SCtimbe1,1.2744223173589209,0.7,0.00173327,0.00168755,0.00193431,0.00168871
SCtimbe1,1.4004471091168311,0.6499999999999999,0.00187854,0.00187384,0.0017581,0.00176421
SCtimbe1,1.5389736167622106,0.5999999999999999,0.00469695,0.0048999,0.00505305,0.00481812
SCtimbe1,1.68986041346138,0.5499999999999999,0.00520424,0.00487278,0.00495338,0.00492285
SCtimbe1,1.8693962033312763,0.49999999999999994,0.00502726,0.00456871,0.00473423,0.00525567
SCtimbe1,2.048550782715424,0.45,0.00484956,0.00481034,0.00459594,0.00489981
SCtimbe1,2.2772701736346868,0.3999999999999999,0.0052881,0.00448931,0.00505834,0.00491119
SCtimbe1,2.5352534953542127,0.34999999999999987,0.00475633,0.00473026,0.00463461,0.00520975
SCtimbe1,2.8511008110240024,0.29999999999999993,0.00418083,0.00424593,0.0043059,0.00448233
SCtimbe1,3.2657635721323848,0.2499999999999999,0.00470392,0.00472376,0.00455504,0.00452929
SCtimbe1,3.815622036724783,0.19999999999999996,0.00435187,0.00442271,0.00465862,0.00416137
SCtimbe1,4.59946867699967,0.1499999999999999,0.00317487,0.00382537,0.00336999,0.00373553
SCtimbe1,5.915141464660547,0.09999999999999988,0.00262247,0.00243066,0.00267639,0.00276197
SCtimbe1,8.959917332240275,0.05,0.00143785,0.0014969,0.00125957,0.00139242
