SiteCode,d,k,1,2,3,4
SPcara3,0.6149687929648862,0.99,0.00384746,0.00370911,0.00404296,0.00366663
SPcara3,0.8718629825394538,0.95,0.00351826,0.00386577,0.00390493,0.00377228
SPcara3,1.0715428814219194,0.8999999999999999,0.00402875,0.00447645,0.00375875,0.00405651
SPcara3,1.2470514770882544,0.85,0.00387619,0.00375805,0.00355855,0.00405146
SPcara3,1.3995430825940594,0.7999999999999999,0.0041134,0.00367847,0.00373232,0.00381118
SPcara3,1.5600575658260605,0.75,0.0119741,0.0103495,0.0107595,0.0107183
SPcara3,1.728263380408336,0.7,0.0108228,0.010336,0.0104814,0.0106317
SPcara3,1.8978090573859483,0.6499999999999999,0.0107833,0.0107019,0.0100994,0.0118612
SPcara3,2.0779726343195737,0.5999999999999999,0.0103366,0.0107484,0.0107733,0.0103259
SPcara3,2.2751159563666503,0.5499999999999999,0.0116923,0.0108924,0.0111578,0.0112558
SPcara3,2.5209859327464703,0.49999999999999994,0.0110355,0.0104893,0.0107226,0.0100476
SPcara3,2.7648124550190287,0.45,0.011232,0.0105296,0.011231,0.0101991
SPcara3,3.0593913349590216,0.3999999999999999,0.00858504,0.00900448,0.00961657,0.0102645
SPcara3,3.431002877979298,0.34999999999999987,0.00816386,0.00898062,0.00849519,0.00828909
SPcara3,3.8555377361491625,0.29999999999999993,0.0092474399999999991,0.00929246,0.0100784,0.00995654
SPcara3,4.378984770234617,0.2499999999999999,0.00803903,0.00807363,0.00695802,0.00774129
SPcara3,5.114898361574059,0.19999999999999996,0.00684468,0.00738405,0.00684299,0.00714678
SPcara3,6.187858929100962,0.1499999999999999,0.004908,0.0056057,0.00503285,0.00528965
SPcara3,7.995774130144443,0.09999999999999988,0.00422767,0.00369453,0.00457048,0.0035029
SPcara3,11.847533345141066,0.05,0.00192007,0.00155392,0.00175612,0.00176673
