SiteCode,d,k,1,2,3,4
SPeec4,0.732970662295798,0.99,0.00270285,0.00257213,0.00274167,0.00271304
SPeec4,1.046370072797084,0.95,0.00256196,0.00252684,0.0025896,0.00268604
SPeec4,1.2799435085369175,0.8999999999999999,0.00261542,0.00271417,0.00222297,0.00235083
SPeec4,1.4789543501211269,0.85,0.00728882,0.00708331,0.00775502,0.00775546
SPeec4,1.666553064239994,0.7999999999999999,0.00707753,0.00838804,0.00701119,0.00747338
SPeec4,1.8504629831966273,0.75,0.00827841,0.00660213,0.00706501,0.00759886
SPeec4,2.061433733230525,0.7,0.00764836,0.00745035,0.00758689,0.00747272
SPeec4,2.2696007696876337,0.6499999999999999,0.00683061,0.00705517,0.00769474,0.00736985
SPeec4,2.481411082456604,0.5999999999999999,0.00722198,0.00746509,0.00749737,0.00774362
SPeec4,2.7216094026690674,0.5499999999999999,0.00745612,0.007691,0.0076369,0.00662868
SPeec4,2.9971850944477336,0.49999999999999994,0.00598038,0.0053784,0.00603652,0.0060019
SPeec4,3.30089821512989,0.45,0.0058346,0.0062893,0.00549105,0.00567226
SPeec4,3.6640588202255673,0.3999999999999999,0.00685713,0.00643818,0.00574491,0.00561798
SPeec4,4.077960871582263,0.34999999999999987,0.00567506,0.00644922,0.0058413,0.00553493
SPeec4,4.563019169399968,0.29999999999999993,0.00458957,0.00444982,0.00388921,0.00346708
SPeec4,5.217257606723597,0.2499999999999999,0.0046641,0.00486199,0.00465343,0.00468657
SPeec4,6.112487853307172,0.19999999999999996,0.0024423,0.00267497,0.0029968,0.00302901
SPeec4,7.438942990353489,0.1499999999999999,0.00181439,0.00154254,0.00222787,0.00202761
SPeec4,9.537013884233414,0.09999999999999988,0.00156546,0.00145565,0.00142611,0.00151862
SPeec4,14.395965647072824,0.05,9.88577e-4,9.22066e-4,0.00104092,9.93688e-4
