SiteCode,d,k,1,2,3,4
SPigua1,0.6008204580631719,0.99,0.00481495,0.00501055,0.00466073,0.00494862
SPigua1,0.8545113838475141,0.95,0.00502653,0.00521689,0.0044734,0.00502512
SPigua1,1.0418764000204452,0.8999999999999999,0.00488642,0.0047353,0.00492997,0.00507807
SPigua1,1.2110949350020874,0.85,0.00488853,0.00480866,0.00493849,0.00497025
SPigua1,1.36499102210258,0.7999999999999999,0.00497421,0.00502603,0.00504798,0.00562757
SPigua1,1.5165402954312854,0.75,0.0134792,0.0138294,0.0147621,0.0134294
SPigua1,1.6841226409285122,0.7,0.0136559,0.0139276,0.0128994,0.0138762
SPigua1,1.8416903118398869,0.6499999999999999,0.0136559,0.0130088,0.0139853,0.0134879
SPigua1,2.0249215262198357,0.5999999999999999,0.0135018,0.012763,0.012704,0.0135974
SPigua1,2.228358703630836,0.5499999999999999,0.0145001,0.0129707,0.0138692,0.0139381
SPigua1,2.453647857239011,0.49999999999999994,0.0141756,0.0135114,0.0135112,0.0136589
SPigua1,2.704138557906325,0.45,0.0128645,0.0140127,0.0145321,0.0148413
SPigua1,2.994089691172449,0.3999999999999999,0.0115541,0.0120508,0.0128191,0.0124823
SPigua1,3.3348077926435864,0.34999999999999987,0.0131702,0.0117394,0.0128188,0.0123856
SPigua1,3.74326189341994,0.29999999999999993,0.0117633,0.0117749,0.0111164,0.0126556
SPigua1,4.287673512971245,0.2499999999999999,0.00941079,0.00965081,0.009437,0.0104661
SPigua1,4.991589037934883,0.19999999999999996,0.010123,0.00933752,0.0101355,0.00910316
SPigua1,6.036403167354297,0.1499999999999999,0.00811167,0.00749054,0.00721925,0.00701636
SPigua1,7.75636454949706,0.09999999999999988,0.00617126,0.00594028,0.00643509,0.00524518
SPigua1,11.700602697509307,0.05,0.00241816,0.00228606,0.00214274,0.00221543
