SiteCode,d,k,1,2,3,4
SPpecb1,0.7599431638464004,0.99,6.23459e-4,6.62299e-4,6.36607e-4,6.61244e-4
SPpecb1,1.089115139176558,0.95,6.28853e-4,6.15369e-4,5.87893e-4,6.14853e-4
SPpecb1,1.33155694848164,0.8999999999999999,6.27211e-4,6.56438e-4,6.14723e-4,5.97875e-4
SPpecb1,1.5273216674604635,0.85,0.0016175,0.00161655,0.00169792,0.00170513
SPpecb1,1.7330643579777325,0.7999999999999999,0.00169401,0.0016859,0.0015716,0.00170907
SPpecb1,1.9366947873085103,0.75,0.00157175,0.00164602,0.00171962,0.0016582
SPpecb1,2.1339168603758445,0.7,0.00173496,0.00161888,0.00157777,0.00168512
SPpecb1,2.3509560384880483,0.6499999999999999,0.00160418,0.00177356,0.00164441,0.00165775
SPpecb1,2.5803718855291704,0.5999999999999999,0.00167368,0.00172444,0.00159716,0.00178046
SPpecb1,2.84658070727242,0.5499999999999999,0.00155375,0.00151904,0.00161135,0.00157811
SPpecb1,3.1192448585109425,0.49999999999999994,0.00154052,0.0015643,0.00153036,0.0015083
SPpecb1,3.428593991504039,0.45,0.00156501,0.00157588,0.00157585,0.0015693
SPpecb1,3.794104827889055,0.3999999999999999,0.00155548,0.0016725,0.0016789,0.00154006
SPpecb1,4.225514812046686,0.34999999999999987,0.00163045,0.0016342,0.00163771,0.00147132
SPpecb1,4.764970914719864,0.29999999999999993,0.0013396,0.0013646,0.00133841,0.00137942
SPpecb1,5.475212011855183,0.2499999999999999,0.00136744,0.00149473,0.00139436,0.00134468
SPpecb1,6.376533679274556,0.19999999999999996,0.0011981,0.0012177,0.00118076,0.00116855
SPpecb1,7.644868563225479,0.1499999999999999,0.00112175,0.00110947,0.00112378,0.00116857
SPpecb1,9.858643096250502,0.09999999999999988,0.00100471,9.91831e-4,0.00103269,9.77101e-4
SPpecb1,15.049159766280468,0.05,8.43412e-4,8.1623e-4,8.56222e-4,8.55477e-4
