SiteCode,d,k,1,2,3,4
SPpei1,0.6478663597362359,0.99,0.00217242,0.00244955,0.00247588,0.00239997
SPpei1,0.9269854004539402,0.95,0.0023999,0.00226369,0.00239357,0.00241287
SPpei1,1.1340286638685295,0.8999999999999999,0.00216568,0.00229268,0.00235479,0.00236928
SPpei1,1.308211101526066,0.85,0.00240566,0.00234101,0.00212214,0.0023234
SPpei1,1.4791630194136096,0.7999999999999999,0.00683615,0.00686009,0.00642467,0.00718529
SPpei1,1.6506474205942885,0.75,0.00722349,0.00678355,0.00635044,0.00619261
SPpei1,1.81876279965805,0.7,0.00604803,0.00634848,0.00633318,0.00669733
SPpei1,2.007880038238176,0.6499999999999999,0.00641723,0.00672778,0.00605207,0.00656031
SPpei1,2.202308140996177,0.5999999999999999,0.00618532,0.00649317,0.0063545,0.00644683
SPpei1,2.41437994876317,0.5499999999999999,0.0067662,0.00658049,0.00616992,0.00593381
SPpei1,2.6582414059970025,0.49999999999999994,0.00655109,0.00632841,0.00628376,0.00621804
SPpei1,2.9247453556638434,0.45,0.00571777,0.00593516,0.00590353,0.00561677
SPpei1,3.2460217637446003,0.3999999999999999,0.00537397,0.00615294,0.00598278,0.00596632
SPpei1,3.6190560246729975,0.34999999999999987,0.00575515,0.00595272,0.00580684,0.00612498
SPpei1,4.075323749020616,0.29999999999999993,0.005574,0.0060689,0.0060798,0.00584842
SPpei1,4.645021828601308,0.2499999999999999,0.00493679,0.00461008,0.00433395,0.00441736
SPpei1,5.41173585173415,0.19999999999999996,0.00464135,0.00430249,0.00504136,0.00449029
SPpei1,6.580850301654081,0.1499999999999999,0.00390327,0.00365009,0.00333597,0.00309428
SPpei1,8.390582372119084,0.09999999999999988,0.00268724,0.00238151,0.00280213,0.00241781
SPpei1,12.636719388536685,0.05,0.00147802,0.00161002,0.00153817,0.00139021
