SiteCode,d,k,1,2,3,4
SPpesmD,0.7209066296159362,0.99,0.00729004,0.00708002,0.0070151,0.00673402
SPpesmD,1.0119444997878788,0.95,0.00695885,0.00750447,0.00715387,0.00709714
SPpesmD,1.2473085660343513,0.8999999999999999,0.00699788,0.00636384,0.00628041,0.00701715
SPpesmD,1.4474053380592071,0.85,0.0203679,0.0181175,0.0183773,0.0185706
SPpesmD,1.6250486769824737,0.7999999999999999,0.0199294,0.0195619,0.01923,0.0192798
SPpesmD,1.803162157580848,0.75,0.0182212,0.0206711,0.017926,0.0189543
SPpesmD,2.0058815468092615,0.7,0.0207282,0.0191255,0.0184933,0.0195872
SPpesmD,2.203580571609502,0.6499999999999999,0.0194668,0.0202044,0.0176105,0.0190769
SPpesmD,2.4180442736772334,0.5999999999999999,0.0195002,0.0195403,0.0193286,0.0197563
SPpesmD,2.6685544933044505,0.5499999999999999,0.0212233,0.0200592,0.0195693,0.0184386
SPpesmD,2.921268464807206,0.49999999999999994,0.0173434,0.0169583,0.0171323,0.0178915
SPpesmD,3.2127869971837253,0.45,0.0174305,0.0154716,0.0159122,0.0179479
SPpesmD,3.576883483065641,0.3999999999999999,0.0184827,0.0174105,0.0173548,0.01636
SPpesmD,3.982041885107766,0.34999999999999987,0.0158966,0.0173368,0.0173962,0.0178823
SPpesmD,4.49566948196951,0.29999999999999993,0.014545,0.0135115,0.013312,0.013075
SPpesmD,5.105799875107936,0.2499999999999999,0.013586,0.0127409,0.0118628,0.0126704
SPpesmD,5.982372915648754,0.19999999999999996,0.00951696,0.0101201,0.00962462,0.00907556
SPpesmD,7.245772337106206,0.1499999999999999,0.00877888,0.0072458,0.0076072,0.00594847
SPpesmD,9.241622298209984,0.09999999999999988,0.00510744,0.00485979,0.00437247,0.00471886
SPpesmD,14.001702050359558,0.05,0.00240098,0.00248328,0.00190682,0.00246385
