SiteCode,d,k,1,2,3,4
SPpesmI,0.5763997472042658,0.99,0.00577934,0.0053772,0.00624085,0.00545011
SPpesmI,0.8179091237371896,0.95,0.00597672,0.00572285,0.00578602,0.00591677
SPpesmI,1.0000192576014042,0.8999999999999999,0.00540938,0.00598625,0.00552606,0.00581649
SPpesmI,1.1518427657607908,0.85,0.00537581,0.00615801,0.0054769,0.00575016
SPpesmI,1.301441614449952,0.7999999999999999,0.00625179,0.00595126,0.00561193,0.00561287
SPpesmI,1.4529971496777814,0.75,0.0165625,0.0160554,0.0149765,0.0153019
SPpesmI,1.6034657334513371,0.7,0.0158884,0.0165297,0.0157913,0.015691
SPpesmI,1.7636525765491666,0.6499999999999999,0.015088,0.0160766,0.0167582,0.0170035
SPpesmI,1.946362356744553,0.5999999999999999,0.0159577,0.0152513,0.0149634,0.014958
SPpesmI,2.1335232230272125,0.5499999999999999,0.0155204,0.0161428,0.0151272,0.0157011
SPpesmI,2.330164145152993,0.49999999999999994,0.0156265,0.0149348,0.0150362,0.0153203
SPpesmI,2.599327725191814,0.45,0.0157167,0.0157986,0.0161174,0.0162
SPpesmI,2.858047196199607,0.3999999999999999,0.0134082,0.01459,0.0133815,0.0143436
SPpesmI,3.1976954160012534,0.34999999999999987,0.0144453,0.0139025,0.014811,0.0142541
SPpesmI,3.611466873670039,0.29999999999999993,0.0145969,0.0137787,0.0144065,0.0147374
SPpesmI,4.119650831584234,0.2499999999999999,0.0139235,0.0129633,0.0136427,0.0144161
SPpesmI,4.804375921505735,0.19999999999999996,0.0120221,0.0129059,0.0115089,0.0116911
SPpesmI,5.817076632916207,0.1499999999999999,0.0104782,0.00917957,0.0101466,0.00953777
SPpesmI,7.407882924762756,0.09999999999999988,0.00697665,0.00762464,0.00646658,0.00756806
SPpesmI,11.180803601780228,0.05,0.00396581,0.00336348,0.00440856,0.00347149
