SiteCode,k,d,1,2,3,4,5,6,7,8,9,10
BAjuss,0.99,0.6961112873486168,0.0150843,0.015183,0.0150942,0.0154097,0.0160753,0.014503,0.014136,0.0161123,0.0143885,0.0144218
BAjuss,0.95,0.9695896393617502,0.0155028,0.016472,0.0151241,0.0161313,0.0154719,0.0162687,0.016986,0.0153072,0.0150622,0.0158902
BAjuss,0.8999999999999999,1.184605916700802,0.0150126,0.0154942,0.0169066,0.0153763,0.0151516,0.0151962,0.0152207,0.0151175,0.0149486,0.0156281
BAjuss,0.85,1.3732175027781643,0.0157626,0.0150152,0.0162314,0.0153567,0.0164238,0.0164256,0.0156591,0.0154988,0.0151669,0.0160623
BAjuss,0.7999999999999999,1.5583613899206807,0.0421292,0.0412065,0.0420619,0.0396323,0.0402279,0.0435831,0.042158,0.0406138,0.0406089,0.04019
BAjuss,0.75,1.7373258957930016,0.0420098,0.0418579,0.041226,0.0411541,0.0394171,0.0419193,0.0431292,0.0442611,0.0409182,0.0407526
BAjuss,0.7,1.9158289075897477,0.0423493,0.0433073,0.0420503,0.0423566,0.04114,0.0419867,0.0420274,0.0435567,0.0396068,0.0429309
BAjuss,0.6499999999999999,2.099194903471706,0.0457989,0.0409672,0.0406135,0.0440774,0.0413349,0.0423572,0.0407032,0.0431285,0.0421387,0.0412019
BAjuss,0.5999999999999999,2.3136543825719573,0.0415681,0.0422045,0.0409195,0.0427147,0.0406898,0.0427824,0.0413568,0.0412748,0.0405187,0.0419837
BAjuss,0.5499999999999999,2.5409784357965863,0.0400021,0.0417768,0.0422322,0.0410651,0.0433037,0.0412089,0.0451958,0.0416234,0.0389097,0.0410257
BAjuss,0.49999999999999994,2.8141256552011655,0.0412375,0.0413794,0.0418101,0.0424359,0.0420681,0.042242,0.0445902,0.0412595,0.044109,0.0441831
BAjuss,0.45,3.0939444551060444,0.0374343,0.0388483,0.0368401,0.0383881,0.0368566,0.0386983,0.0383757,0.0386249,0.0361493,0.0400746
BAjuss,0.3999999999999999,3.418657554189717,0.0373349,0.0384113,0.0386856,0.0370735,0.03674,0.0350927,0.0378793,0.0351216,0.0383369,0.0390824
BAjuss,0.34999999999999987,3.8096605946373816,0.0392341,0.037123,0.0369814,0.0374009,0.03709,0.0377339,0.0382168,0.0374802,0.0370895,0.0355643
BAjuss,0.29999999999999993,4.276073822761839,0.0325352,0.0336092,0.0322643,0.032928,0.0307844,0.034242,0.0341062,0.0313745,0.0327911,0.0346362
BAjuss,0.2499999999999999,4.919003267603724,0.0335392,0.0325878,0.0363498,0.0354165,0.0320931,0.0313419,0.0321525,0.032119,0.0324588,0.0311552
BAjuss,0.19999999999999996,5.729058512291443,0.025835,0.0285629,0.0271034,0.0288964,0.0279519,0.0265726,0.0313033,0.0275545,0.0281634,0.0291138
BAjuss,0.1499999999999999,6.9240843494958035,0.0275341,0.0258462,0.028213,0.0263024,0.0275888,0.0273581,0.0259668,0.02775,0.0271929,0.0320723
BAjuss,0.09999999999999988,8.853981128770199,0.0168171,0.0183939,0.0182011,0.0179195,0.0170345,0.0170148,0.0188846,0.0174676,0.0198368,0.019422
BAjuss,0.05,13.395505457610636,0.0101906,0.00986997,0.0111521,0.0110283,0.0116322,0.00974614,0.0103368,0.0107193,0.0105407,0.010274
BAlenc4,0.99,0.7723918011619948,0.00804712,0.00815932,0.00805429,0.00810461,0.00807907,0.00898608,0.00770288,0.00831095,0.00795467,0.00830467
BAlenc4,0.95,1.0992599667924066,0.00819292,0.00820296,0.00839623,0.00785174,0.00789982,0.00893034,0.00769948,0.00813838,0.00841969,0.00832757
BAlenc4,0.8999999999999999,1.3545268762767089,0.00783017,0.00777276,0.00748339,0.00766243,0.00817524,0.00780439,0.00809049,0.00809915,0.00878315,0.00770525
BAlenc4,0.85,1.5617328910334365,0.0221949,0.0223661,0.0218775,0.0228652,0.0225295,0.0233394,0.0216694,0.0220959,0.0197035,0.0202712
BAlenc4,0.7999999999999999,1.758926996524699,0.020668,0.0218343,0.0228768,0.0224162,0.0216331,0.0222721,0.0235753,0.0220039,0.0235072,0.0225808
BAlenc4,0.75,1.9636479501043955,0.0216329,0.0217403,0.0231742,0.0231259,0.0227809,0.0222589,0.021413,0.021302,0.0227376,0.0216161
BAlenc4,0.7,2.161207520617985,0.0220053,0.0229847,0.0220366,0.0230412,0.0219932,0.0240372,0.0224274,0.0215984,0.0197814,0.0216148
BAlenc4,0.6499999999999999,2.3830431761122517,0.0205765,0.0209383,0.0212107,0.023883,0.0220694,0.0218751,0.0226823,0.0217981,0.0219321,0.0221443
BAlenc4,0.5999999999999999,2.6361255474221994,0.0217412,0.0205305,0.0204725,0.0230844,0.0241638,0.0208039,0.0231136,0.0226838,0.021417,0.0234462
BAlenc4,0.5499999999999999,2.8672067155019447,0.0190035,0.0200347,0.0194044,0.0200004,0.0201335,0.0197153,0.0172549,0.0212232,0.0188758,0.0178253
BAlenc4,0.49999999999999994,3.156079890260296,0.0171513,0.0187267,0.016933,0.0181997,0.0182288,0.0176901,0.0199174,0.0197869,0.0185396,0.0180972
BAlenc4,0.45,3.4659635932794424,0.0185424,0.0173038,0.0195273,0.019999,0.0181572,0.0200839,0.0190461,0.0195325,0.0202941,0.0191635
BAlenc4,0.3999999999999999,3.8600785012634566,0.0183782,0.0186002,0.018161,0.0194263,0.0199895,0.020614,0.0189298,0.0206098,0.0204152,0.018759
BAlenc4,0.34999999999999987,4.328215781901317,0.0157644,0.0144268,0.0156496,0.0156232,0.01489,0.0142667,0.0151774,0.0189149,0.0154016,0.0162314
BAlenc4,0.29999999999999993,4.867275531722965,0.0159243,0.0149828,0.0166456,0.0165535,0.0157246,0.015954,0.0157542,0.0147961,0.0160797,0.0149576
BAlenc4,0.2499999999999999,5.595087084370281,0.0155881,0.0149273,0.0160979,0.016685,0.0155068,0.0148043,0.0155723,0.0177563,0.0168686,0.0156503
BAlenc4,0.19999999999999996,6.5050628759168445,0.0132549,0.0120961,0.0118445,0.0125731,0.0128483,0.0133423,0.0128543,0.0136983,0.0132528,0.0132828
BAlenc4,0.1499999999999999,7.866166163792478,0.010465,0.00987606,0.010851,0.011301,0.0095258,0.0102849,0.0104599,0.0104074,0.0103772,0.0101626
BAlenc4,0.09999999999999988,10.038222759103354,0.00723487,0.00749042,0.00765443,0.00810605,0.00784465,0.00767305,0.007838,0.00818688,0.00777936,0.00826001
BAlenc4,0.05,15.137615792443988,0.00598955,0.00622688,0.00632371,0.00611001,0.00618797,0.00570283,0.00573782,0.00586504,0.0060143,0.00588968
BAuruc,0.99,0.5067321402008264,0.0160904,0.0156254,0.0149857,0.0151962,0.01524,0.0155661,0.0157372,0.0160879,0.0160047,0.0156488
BAuruc,0.95,0.7244995511967235,0.0158755,0.0156307,0.0155489,0.0148461,0.0156503,0.0151267,0.0156433,0.0154471,0.0157612,0.0150026
BAuruc,0.8999999999999999,0.8842469574622771,0.0154757,0.0157602,0.0159311,0.0152191,0.0149241,0.0165037,0.0170381,0.0162311,0.0161887,0.0154584
BAuruc,0.85,1.027667701153799,0.0159405,0.0159876,0.0158561,0.0150981,0.0162167,0.0158,0.0155694,0.0154885,0.0162007,0.0153934
BAuruc,0.7999999999999999,1.1622859926620701,0.0149791,0.0157765,0.0155141,0.0155664,0.0146967,0.0154896,0.0159674,0.0155749,0.0149503,0.0155478
BAuruc,0.75,1.288987385919092,0.0153337,0.015208,0.0157286,0.0157296,0.0152284,0.0157882,0.0149272,0.0155222,0.014924,0.0159694
BAuruc,0.7,1.429935226669368,0.0424096,0.0415174,0.0404423,0.0416791,0.0407922,0.0440062,0.0419427,0.0412758,0.0409985,0.0412682
BAuruc,0.6499999999999999,1.56834958849032,0.0421279,0.0413645,0.0403969,0.0402175,0.0393353,0.0420932,0.0419999,0.0415918,0.0402278,0.0411792
BAuruc,0.5999999999999999,1.7289713009695744,0.0397238,0.0409943,0.0405915,0.0410218,0.0409502,0.0430439,0.0412607,0.0392836,0.0403166,0.0418234
BAuruc,0.5499999999999999,1.898210178336277,0.0430427,0.0411148,0.041408,0.0429688,0.0397494,0.0406064,0.0415018,0.0418181,0.0411769,0.0430889
BAuruc,0.49999999999999994,2.0935569230751225,0.0395047,0.0423943,0.0400889,0.0415179,0.0395765,0.040054,0.0424525,0.0406447,0.0421146,0.0410724
BAuruc,0.45,2.2891224146512883,0.0410478,0.0422076,0.0425535,0.0396684,0.0426314,0.0417628,0.0402844,0.0407873,0.0414203,0.0401106
BAuruc,0.3999999999999999,2.526737550903588,0.0418718,0.0421735,0.0417624,0.0411934,0.0391121,0.0405369,0.0403486,0.0437568,0.0411561,0.0427969
BAuruc,0.34999999999999987,2.841625095457407,0.0379912,0.0370771,0.0384099,0.0376838,0.0383022,0.0404442,0.0377275,0.0403734,0.0397365,0.038313
BAuruc,0.29999999999999993,3.1876664316180436,0.0401664,0.0401031,0.0393843,0.0376481,0.0399513,0.0380069,0.0403422,0.0401245,0.0382809,0.0408321
BAuruc,0.2499999999999999,3.653109726285702,0.0404794,0.0368202,0.0387552,0.0391338,0.0393254,0.0390392,0.0384453,0.0381335,0.0388767,0.0402318
BAuruc,0.19999999999999996,4.299725840927788,0.0329868,0.034177,0.0357199,0.0358021,0.0362021,0.0346249,0.0341338,0.0323527,0.0340695,0.0342083
BAuruc,0.1499999999999999,5.145043358371614,0.0367565,0.0361778,0.0342507,0.0335941,0.0364657,0.0350502,0.0354677,0.0340869,0.0344691,0.0341346
BAuruc,0.09999999999999988,6.621680926643469,0.0318861,0.0316849,0.0309574,0.0302468,0.0301359,0.0315504,0.0323547,0.030389,0.0326712,0.0307542
BAuruc,0.05,9.945092495936148,0.0233846,0.0226842,0.023113,0.0220151,0.0222056,0.0218128,0.0227016,0.0217561,0.0218729,0.0229573
ESsoor,0.99,0.6607883305216757,0.0140557,0.0143002,0.0129605,0.0140345,0.013778,0.014131,0.0141989,0.0131901,0.013574,0.0133767
ESsoor,0.95,0.939710711951376,0.0138686,0.0137657,0.0146533,0.0139105,0.0140928,0.0140616,0.013212,0.0138453,0.0138065,0.0142949
ESsoor,0.8999999999999999,1.1447304517983468,0.0126265,0.0140624,0.0139477,0.0136459,0.0130922,0.0135036,0.014478,0.0133134,0.0131978,0.0140983
ESsoor,0.85,1.3205991527131289,0.0137833,0.0132996,0.0132048,0.0142358,0.0131885,0.0140958,0.0133988,0.0136593,0.0137738,0.0142207
ESsoor,0.7999999999999999,1.488069837238789,0.0376928,0.0361627,0.0386065,0.0347413,0.038224,0.0375316,0.0379123,0.0369687,0.0358134,0.0386546
ESsoor,0.75,1.670810117162385,0.0374098,0.0369234,0.0363188,0.0388076,0.0354068,0.035748,0.0354512,0.0374178,0.0361324,0.03788
ESsoor,0.7,1.8392713457148573,0.0369102,0.0360584,0.0381779,0.0354493,0.0357366,0.0360151,0.0361103,0.0366154,0.0374656,0.0372263
ESsoor,0.6499999999999999,2.022066232063231,0.0362266,0.0336951,0.0357561,0.036419,0.0377171,0.0363861,0.034254,0.037384,0.0375104,0.0372257
ESsoor,0.5999999999999999,2.2225993286414307,0.0350162,0.0353525,0.035148,0.0356631,0.0370205,0.0357292,0.0378158,0.0372205,0.0366496,0.039013
ESsoor,0.5499999999999999,2.4399998275687915,0.0378836,0.0346809,0.0338244,0.0360431,0.0382328,0.0365679,0.0357794,0.0343246,0.0372533,0.0371471
ESsoor,0.49999999999999994,2.6712972055064137,0.0377367,0.0371639,0.0383943,0.0369587,0.0377619,0.0377049,0.0372103,0.0360318,0.0370593,0.0369972
