SiteCode,lado_km,k,1,2,3,4,5,6,7,8,9,10
MGipia1,16.02,0.09999999999999988,7.15235e-4,8.34168e-4,7.52045e-4,7.37677e-4,7.75213e-4,7.25969e-4,8.14822e-4,7.81198e-4,7.96705e-4,7.69647e-4
MGipia1,8.01,0.09999999999999988,0.00130934,0.00120092,0.00137271,0.00120284,0.00128612,0.00121985,0.00120716,0.00114018,0.0012222,0.00123984
MGipia1,4.005,0.09999999999999988,0.00199275,0.00205422,0.00203896,0.00181321,0.00217326,0.00197047,0.00210913,0.00202719,0.00188278,0.0020923
MGipia1,2.0025,0.09999999999999988,0.00298376,0.00298376,0.00313606,0.00313606,0.00308639,0.00308639,0.00325933,0.00325933,0.00307409,0.00307409
MGipia1,1.00125,0.09999999999999988,0.00451689,0.00487869,0.00487869,0.00487869,0.00487869,0.0047725,0.0047725,0.0047725,0.0047725,0.0047725
MGipia1,0.500625,0.09999999999999988,0.00731409,0.00731409,0.00731409,0.00731409,0.00731409,0.00731409,0.00731409,0.00731409,0.00734826,0.00734826
MGipia1,16.02,0.1499999999999999,9.79478e-4,8.72442e-4,9.3642e-4,8.84247e-4,9.05266e-4,9.27905e-4,9.45994e-4,8.93957e-4,9.97626e-4,8.43718e-4
MGipia1,8.01,0.1499999999999999,0.00152029,0.00143616,0.00156881,0.00142936,0.00130664,0.00163404,0.00138381,0.00132184,0.00139084,0.00158557
MGipia1,4.005,0.1499999999999999,0.00210109,0.00218193,0.00226387,0.0022698,0.00212373,0.00208254,0.00224386,0.00197929,0.00199845,0.00218396
MGipia1,2.0025,0.1499999999999999,0.00320843,0.00320843,0.00322669,0.00322669,0.00331058,0.00331058,0.00324629,0.00324629,0.00323524,0.00319914
MGipia1,1.00125,0.1499999999999999,0.00483029,0.00483029,0.00483029,0.00483029,0.00476882,0.00476882,0.00476882,0.00476882,0.00469218,0.00469218
