SiteCode,k,d,1,2,3,4,5,6,7,8,9,10
BAjuss,0.99,0.6807385473686035,0.0145193,0.0154422,0.0153462,0.015754,0.0147826,0.0158448,0.0145559,0.0155195,0.0157329,0.0154492
BAjuss,0.95,0.9721006050135405,0.0152017,0.0161695,0.0157568,0.0154691,0.0158893,0.0158275,0.0169385,0.0164162,0.0171689,0.01371
BAjuss,0.8999999999999999,1.191279150422475,0.0161779,0.0164828,0.0158073,0.0149015,0.0145881,0.0151697,0.0154939,0.0168322,0.0156281,0.0148664
BAjuss,0.85,1.3752197950049356,0.0144475,0.0154067,0.0148015,0.0152037,0.01631,0.0153183,0.0153186,0.0157497,0.0154754,0.0151042
BAjuss,0.7999999999999999,1.5570875975459344,0.0405808,0.045325,0.0415833,0.0413746,0.0413649,0.0428164,0.041253,0.0446506,0.0426722,0.0415863
BAjuss,0.75,1.7320079563483082,0.0425551,0.0421224,0.0410436,0.0425192,0.0431705,0.0412464,0.0417616,0.0441167,0.0434395,0.0430219
BAjuss,0.7,1.9066033357383447,0.0392742,0.042295,0.0424788,0.0414044,0.0405414,0.0423191,0.039933,0.0425514,0.042868,0.0432352
BAjuss,0.6499999999999999,2.105370384911614,0.0395388,0.0422772,0.0402608,0.041724,0.0422868,0.0426326,0.0421322,0.0413525,0.0410845,0.0413414
BAjuss,0.5999999999999999,2.3149199750934635,0.0410625,0.0400777,0.0400708,0.0413842,0.0440036,0.0386503,0.0409162,0.0412417,0.0387807,0.0446828
BAjuss,0.5499999999999999,2.549180054581548,0.0396571,0.0397782,0.0417263,0.0403068,0.0431087,0.0428714,0.0414591,0.0415438,0.0413584,0.0426284
BAjuss,0.49999999999999994,2.7983324749152643,0.0432572,0.0406532,0.0390576,0.0434048,0.0400571,0.0420944,0.044482,0.042321,0.0400338,0.0390167
BAjuss,0.45,3.088166946247581,0.0395227,0.0389303,0.0394064,0.0395402,0.0362612,0.0372252,0.0398757,0.0389537,0.042916,0.0380688
BAjuss,0.3999999999999999,3.4225511395592663,0.0370241,0.0370839,0.0387603,0.0356365,0.0377903,0.036141,0.036715,0.0380079,0.0387753,0.0369357
BAjuss,0.34999999999999987,3.7859008460951182,0.0362184,0.0382641,0.0374417,0.037055,0.0407084,0.0363564,0.0364488,0.0404532,0.0356568,0.0387024
BAjuss,0.29999999999999993,4.294988580681746,0.0310037,0.0332795,0.0338232,0.0323175,0.0342824,0.0317849,0.0321537,0.0332474,0.0328391,0.0347957
BAjuss,0.2499999999999999,4.897094250209467,0.0312007,0.0325292,0.0354505,0.0357265,0.03301,0.0320524,0.033287,0.0309545,0.0314846,0.0316785
BAjuss,0.19999999999999996,5.682809144777385,0.0267522,0.0277008,0.0279715,0.0297324,0.0294254,0.0283698,0.0250759,0.0278175,0.0262439,0.0305545
BAjuss,0.1499999999999999,6.902495242982257,0.0272042,0.0282512,0.0316421,0.0271955,0.0301232,0.0284148,0.0293553,0.0281623,0.0277844,0.0273458
BAjuss,0.09999999999999988,8.862564662299636,0.017717,0.0180634,0.0185809,0.0178673,0.018163,0.0192176,0.0159567,0.0196357,0.0171107,0.0193542
BAjuss,0.05,13.275260300801776,0.0106098,0.0108452,0.0102181,0.011829,0.0112593,0.0108954,0.01076,0.0101909,0.0101086,0.0101402
