SiteCode,k,d,1,2,3,4,5,6,7,8,9,10
BAlenc4,0.99,0.7806285288254643,0.00802642,0.00833019,0.00790518,0.00762023,0.00797099,0.00823152,0.00817852,0.00854281,0.00825662,0.00777271
BAlenc4,0.95,1.0993013529028708,0.0081104,0.0081136,0.00891031,0.00795979,0.00767574,0.00819991,0.00777065,0.00750462,0.00740628,0.00781209
BAlenc4,0.8999999999999999,1.3427395587206803,0.00810966,0.00768938,0.00844201,0.00833501,0.00791543,0.00745115,0.00790663,0.0081469,0.00819441,0.00786057
BAlenc4,0.85,1.5592106322893966,0.0227096,0.0224545,0.0237441,0.0235488,0.0216029,0.0230135,0.0214453,0.0217496,0.021715,0.0217545
BAlenc4,0.7999999999999999,1.7651723864411466,0.0200732,0.0213997,0.021473,0.0202245,0.0230413,0.0215534,0.0218801,0.022598,0.0219755,0.0225225
BAlenc4,0.75,1.9559530327545591,0.0226563,0.0207495,0.0242914,0.0238738,0.0225357,0.020367,0.0222313,0.0208869,0.0225244,0.0221046
BAlenc4,0.7,2.1798290997269896,0.021965,0.0205596,0.02125,0.0231247,0.0222263,0.0203485,0.0232245,0.0234588,0.0217887,0.020084
BAlenc4,0.6499999999999999,2.377289478655154,0.0228926,0.022161,0.0221469,0.0210903,0.0215133,0.0220916,0.0217276,0.0239908,0.021622099999999998,0.0221572
BAlenc4,0.5999999999999999,2.6312610586347973,0.0223359,0.0215402,0.0217484,0.0207301,0.0212703,0.0231442,0.0230465,0.0210922,0.0216409,0.0245496
BAlenc4,0.5499999999999999,2.888642166816161,0.0199203,0.0195063,0.0192014,0.0184866,0.0191588,0.0193974,0.0179436,0.0201832,0.0188798,0.0186017
BAlenc4,0.49999999999999994,3.167935884251983,0.0189323,0.0193197,0.0196113,0.0205253,0.0198105,0.0198322,0.0192865,0.0201326,0.0177603,0.0187306
BAlenc4,0.45,3.4667718333227477,0.0186292,0.0202609,0.0198636,0.0198921,0.0195715,0.0196337,0.0190752,0.0187579,0.0183766,0.019824
BAlenc4,0.3999999999999999,3.873703836803832,0.0215185,0.0164684,0.018819,0.0181312,0.0202214,0.0204349,0.0187736,0.0198255,0.0194889,0.0206339
BAlenc4,0.34999999999999987,4.3092880136424565,0.0164812,0.0155906,0.0151869,0.0158961,0.0148917,0.0166761,0.0160298,0.0172626,0.0181509,0.0163691
BAlenc4,0.29999999999999993,4.81914667517954,0.0155922,0.0144573,0.0155544,0.0150558,0.0155974,0.0177643,0.0148331,0.0142087,0.0159804,0.0152329
BAlenc4,0.2499999999999999,5.579076230024668,0.0149552,0.0152375,0.0160956,0.0142494,0.0154119,0.0163515,0.0167758,0.0154606,0.015291,0.0159181
BAlenc4,0.19999999999999996,6.492219090346807,0.0130405,0.0126411,0.0139436,0.0133493,0.0122266,0.0146028,0.0137043,0.012476,0.0142591,0.0117284
BAlenc4,0.1499999999999999,7.860214793040904,0.0104178,0.0106912,0.0104878,0.0114208,0.0112756,0.0107151,0.00974741,0.0113695,0.0106053,0.00941032
BAlenc4,0.09999999999999988,10.02530263563424,0.0078021,0.00720422,0.00870104,0.00799717,0.00712971,0.00783882,0.00738746,0.00816494,0.00765649,0.00805496
BAlenc4,0.05,15.237888974486042,0.00583869,0.00583855,0.00588023,0.00653453,0.00575455,0.00574566,0.00627391,0.00616753,0.00572799,0.00606317
