SiteCode,k,d,1,2,3,4,5,6,7,8,9,10
ESsoor,0.99,0.6566769012292066,0.0135425,0.0134995,0.013662,0.0140589,0.0128746,0.0128102,0.014456,0.0140025,0.013498,0.0141024
ESsoor,0.95,0.937645489596201,0.0138197,0.012336,0.0133887,0.0142237,0.0140069,0.0135916,0.0134129,0.0140032,0.01408,0.0144129
ESsoor,0.8999999999999999,1.1435043831678289,0.0143789,0.0140492,0.0143333,0.0126606,0.0125928,0.0137071,0.0144704,0.0129055,0.0137649,0.0133223
ESsoor,0.85,1.3282308002848602,0.0131719,0.0133865,0.0133873,0.0141874,0.0135637,0.0133899,0.0132551,0.0130234,0.0135725,0.0124517
ESsoor,0.7999999999999999,1.494976536750363,0.0348907,0.0370769,0.0384488,0.0382958,0.037253,0.0367345,0.0355531,0.0379308,0.0359892,0.0374621
ESsoor,0.75,1.666189927044099,0.0378014,0.0361817,0.0356811,0.0366513,0.0375305,0.0382175,0.0381756,0.037334,0.0370865,0.0384522
ESsoor,0.7,1.8425720792929337,0.0374009,0.0375215,0.0379872,0.0354423,0.0367898,0.0352693,0.0360446,0.037513,0.0371889,0.0380026
ESsoor,0.6499999999999999,2.032305501112306,0.0359618,0.036504,0.0337973,0.0358254,0.0372476,0.0357739,0.0366903,0.0364205,0.0377227,0.0380866
ESsoor,0.5999999999999999,2.2249226685997967,0.0355449,0.0366854,0.0358658,0.0359253,0.0366948,0.0379478,0.037394,0.0376627,0.038599,0.0367859
ESsoor,0.5499999999999999,2.4486696588797217,0.0359054,0.0374359,0.0372863,0.0353048,0.0383462,0.0367765,0.0390432,0.0366377,0.0367234,0.0360346
ESsoor,0.49999999999999994,2.6865277545018458,0.0353421,0.0369489,0.0377282,0.0372083,0.0385619,0.0393741,0.0386101,0.0378675,0.0361879,0.0365995
ESsoor,0.45,2.9615400003053733,0.0327036,0.0331286,0.0330924,0.0333972,0.034185,0.0319438,0.0349066,0.0332963,0.0319651,0.0327677
ESsoor,0.3999999999999999,3.284162680533828,0.0336927,0.03383,0.0335248,0.0374821,0.0344852,0.0308318,0.0322428,0.034242,0.0326899,0.032486
ESsoor,0.34999999999999987,3.64695700471336,0.0320803,0.0326105,0.0320928,0.0316515,0.0326257,0.0346883,0.032258,0.035033,0.0337734,0.0326844
ESsoor,0.29999999999999993,4.1237160659319185,0.0315377,0.035378,0.0357377,0.0321931,0.0353419,0.0314735,0.0346448,0.0315893,0.0346619,0.0336554
ESsoor,0.2499999999999999,4.703293667559875,0.027942,0.0315744,0.0303953,0.0295298,0.0302917,0.029049,0.027018,0.0309715,0.0267292,0.0268926
ESsoor,0.19999999999999996,5.513216522495234,0.0272623,0.0295525,0.0280641,0.0286094,0.0306311,0.0281811,0.0262895,0.0283821,0.0298699,0.0291101
ESsoor,0.1499999999999999,6.641309696960064,0.0245089,0.0263309,0.023684,0.0229832,0.0227138,0.0229998,0.0248704,0.0252015,0.0221228,0.0226104
ESsoor,0.09999999999999988,8.510097124017815,0.0156474,0.0169418,0.0168833,0.0156966,0.0141654,0.0159351,0.0155431,0.015907,0.016603,0.0175202
ESsoor,0.05,12.786654585872023,0.00945283,0.00987811,0.00887626,0.00923005,0.0100867,0.0100483,0.00979644,0.00968958,0.00938886,0.00941117
