SiteCode,k,d,1,2,3,4,5,6,7,8,9,10
MGipia1,0.99,0.8773939920158997,0.00165908,0.00180639,0.00178469,0.00159403,0.00161258,0.0015719,0.00168535,0.0014788,0.00164052,0.00154186
MGipia1,0.95,1.2613873603417405,0.00157678,0.00171615,0.0014747,0.00188084,0.00140361,0.00177827,0.00139868,0.00131911,0.00172889,0.00169231
MGipia1,0.8999999999999999,1.5426236991898037,0.00471761,0.00487598,0.00482316,0.00571835,0.00540801,0.00597402,0.00475874,0.00456442,0.00480004,0.0043975
MGipia1,0.85,1.783880311923995,0.00450954,0.00488023,0.0050097,0.00454799,0.00404407,0.00477523,0.00529338,0.00440251,0.0051053,0.00474521
MGipia1,0.7999999999999999,2.0177163123192257,0.00467092,0.00401227,0.00549508,0.00485272,0.00437153,0.00495641,0.00492009,0.00478999,0.00504378,0.00504378
MGipia1,0.75,2.239441528542134,0.00533627,0.00486708,0.00496562,0.0052124,0.00453559,0.00466111,0.00464436,0.005746,0.00455764,0.00498588
MGipia1,0.7,2.4746681542369187,0.00530583,0.00515703,0.00394436,0.00483241,0.00549196,0.00456982,0.00451586,0.00403874,0.0046476,0.00473078
MGipia1,0.6499999999999999,2.7223734402838256,0.00555725,0.00489657,0.00489657,0.0054658,0.00488954,0.00457102,0.00551846,0.00554675,0.00454211,0.00452805
MGipia1,0.5999999999999999,3.0119324199378994,0.0053332,0.00544701,0.00491841,0.00527194,0.00474456,0.00535236,0.00535236,0.0050434,0.00510874,0.00596696
MGipia1,0.5499999999999999,3.2872063448994115,0.00542353,0.00552544,0.00526158,0.00502847,0.00537334,0.00488205,0.00557898,0.00550571,0.0048581,0.00527601
MGipia1,0.49999999999999994,3.59215672576212,0.00536051,0.00531059,0.00564526,0.00540027,0.00540027,0.00524502,0.00578833,0.00578833,0.00534731,0.00536232
MGipia1,0.45,3.997947126630658,0.00539827,0.00567661,0.00573948,0.00529954,0.0050662,0.00473958,0.00588383,0.00505919,0.0051517,0.00578525
MGipia1,0.3999999999999999,4.414366742080126,0.00553668,0.00544065,0.00535298,0.00545671,0.00527619,0.00482772,0.00505064,0.00565059,0.00569498,0.00544654
MGipia1,0.34999999999999987,4.928729498133458,0.00553599,0.00553869,0.00533227,0.00519542,0.0051795,0.00574844,0.0055068,0.00519951,0.00570716,0.00525947
MGipia1,0.29999999999999993,5.544236678719388,0.0050684,0.00539179,0.00598418,0.00597369,0.00560837,0.00519531,0.00521775,0.005164,0.00502817,0.00569837
MGipia1,0.2499999999999999,6.354644495099489,0.00538915,0.0051154700000000004,0.00545167,0.00530452,0.00522169,0.00528823,0.00519751,0.00541371,0.00529613,0.00574213
MGipia1,0.19999999999999996,7.425190378242902,0.00524669,0.00522682,0.00524048,0.00536945,0.00510214,0.00527899,0.00534343,0.00515342,0.00531635,0.00516502
MGipia1,0.1499999999999999,8.892286911632443,0.0052068,0.00549073,0.00527685,0.00507039,0.00522739,0.00517691,0.00534244,0.00489284,0.0049264,0.00517698
MGipia1,0.09999999999999988,11.496728470740662,0.00531399,0.00495718,0.00496963,0.0049858,0.00490356,0.00507175,0.00498642,0.00484698,0.00491916,0.00504305
MGipia1,0.05,17.394704123602974,0.00440798,0.00451328,0.00481174,0.00470942,0.00463788,0.00450142,0.00462592,0.00490997,0.00435089,0.00471727
