SiteCode,k,d,1,2,3,4,5,6,7,8,9,10
MGlavr6,0.99,0.6646567995046233,0.00651137,0.00666304,0.00692695,0.00676076,0.00699586,0.00716301,0.00713813,0.00676298,0.00705056,0.00712334
MGlavr6,0.95,0.9437391718517532,0.00733814,0.00699881,0.00697258,0.00720224,0.00696978,0.00679873,0.00654981,0.00705842,0.00727855,0.00696099
MGlavr6,0.8999999999999999,1.1573038889720286,0.00712256,0.00683687,0.00690854,0.00696702,0.00728764,0.0069811,0.00717698,0.00698896,0.0069483,0.00703389
MGlavr6,0.85,1.3349616125056938,0.00699469,0.00718995,0.00689897,0.00679898,0.00707545,0.00709258,0.00689674,0.00694087,0.00720937,0.00696845
MGlavr6,0.7999999999999999,1.507763408675195,0.0164683,0.0149241,0.015026,0.0156667,0.0155358,0.0152774,0.015841,0.0137059,0.0160708,0.0149077
MGlavr6,0.75,1.679665397409246,0.0152172,0.0146826,0.0154384,0.0157475,0.0163432,0.0149406,0.0160197,0.0154474,0.0147452,0.0146969
MGlavr6,0.7,1.848702323716672,0.0157065,0.0153965,0.0150083,0.0147135,0.0150536,0.0154421,0.0148334,0.0147609,0.01572,0.0147059
MGlavr6,0.6499999999999999,2.051328124323176,0.0159026,0.0150276,0.0157993,0.0154384,0.015846,0.015051,0.0151506,0.0149273,0.0160748,0.0158964
MGlavr6,0.5999999999999999,2.257807870107621,0.0154644,0.0150375,0.0153004,0.0165492,0.0161039,0.0145678,0.0155346,0.0164162,0.0150879,0.0150217
MGlavr6,0.5499999999999999,2.4682915290662293,0.0155451,0.0146653,0.0150904,0.0153482,0.015454,0.0166867,0.0152074,0.0136221,0.0157581,0.0155893
MGlavr6,0.49999999999999994,2.7038943378493694,0.0152483,0.014749,0.0156733,0.0157093,0.0156521,0.0155067,0.0141582,0.0153536,0.0152323,0.0158515
MGlavr6,0.45,2.9918812904681036,0.0185664,0.0188015,0.0186353,0.0188054,0.0180363,0.0190696,0.0190318,0.0176476,0.0182278,0.0177966
MGlavr6,0.3999999999999999,3.301838803286056,0.0188298,0.0185804,0.01825,0.018789,0.0187311,0.0183427,0.0187262,0.0198653,0.0176511,0.0188358
MGlavr6,0.34999999999999987,3.67679670556021,0.01859,0.0187488,0.0182643,0.0185956,0.0185191,0.0185068,0.0187031,0.0181943,0.018103,0.0180415
MGlavr6,0.29999999999999993,4.182188382405548,0.0191847,0.0188726,0.0190555,0.0184454,0.017667,0.0182231,0.0173483,0.0184957,0.0185069,0.0195806
MGlavr6,0.2499999999999999,4.752272552830931,0.020536,0.0195783,0.020134,0.0208934,0.0191668,0.0202852,0.0205729,0.0199969,0.0207862,0.020465
MGlavr6,0.19999999999999996,5.536052918344743,0.0199847,0.0191119,0.0200011,0.0199486,0.0206862,0.0204,0.0203609,0.0204233,0.0203766,0.020818
MGlavr6,0.1499999999999999,6.7475808072114605,0.020958,0.0211899,0.0210896,0.0213568,0.0218116,0.0208043,0.020891,0.0210301,0.0212849,0.0208954
MGlavr6,0.09999999999999988,8.581677317667946,0.0219754,0.0228779,0.0227688,0.0222288,0.0219405,0.021880899999999998,0.0221401,0.0211089,0.0212491,0.0221896
MGlavr6,0.05,12.99970919067953,0.0225557,0.022353,0.0224425,0.0211124,0.0216154,0.0222942,0.0218869,0.0219601,0.0224221,0.0229047
