SiteCode,k,d,1,2,3,4,5,6,7,8,9,10
MGubera,0.99,0.9063071110600353,0.00548533,0.0053425,0.00605027,0.00515744,0.00506889,0.00554379,0.00536558,0.00603565,0.00526646,0.00595561
MGubera,0.95,1.2822426433897527,0.00454926,0.0047346,0.00485864,0.00495022,0.00524272,0.00514937,0.00539321,0.0055567,0.00515861,0.00501406
MGubera,0.8999999999999999,1.5706335271582097,0.0144773,0.0145313,0.0165632,0.0144888,0.0143086,0.0131508,0.0162469,0.0158932,0.015605,0.016411
MGubera,0.85,1.8129635566880056,0.0136388,0.0152874,0.013758,0.0138393,0.0153493,0.0156463,0.0148786,0.0160676,0.0138209,0.0140606
MGubera,0.7999999999999999,2.045548430480198,0.0146444,0.0150681,0.0143942,0.0175214,0.0151656,0.0142714,0.0161728,0.0144602,0.013755,0.0133199
MGubera,0.75,2.2857664378889546,0.0161967,0.0157848,0.0157848,0.0147072,0.0173325,0.0132078,0.013911,0.0146198,0.0133829,0.0155526
MGubera,0.7,2.533297500284194,0.0136661,0.0142592,0.0163422,0.0139287,0.0149355,0.0159803,0.0125106,0.0138147,0.0160619,0.0160619
MGubera,0.6499999999999999,2.7673633203211394,0.0148017,0.0152325,0.0152079,0.0142218,0.0152082,0.0151741,0.0138745,0.0153811,0.0126924,0.0148334
MGubera,0.5999999999999999,3.0659598997637953,0.0125388,0.0119224,0.0128886,0.0126143,0.012854,0.011928,0.012335,0.0137112,0.0127215,0.0120618
MGubera,0.5499999999999999,3.3726906500213025,0.0133276,0.0137474,0.0137453,0.0123514,0.0127886,0.0123257,0.0122505,0.0128404,0.0101107,0.0127086
MGubera,0.49999999999999994,3.6763480443497047,0.0127839,0.0139198,0.0128086,0.0125332,0.0124027,0.0122392,0.0123274,0.0122158,0.0142908,0.0141973
MGubera,0.45,4.0542673946447385,0.014163,0.0128368,0.0132667,0.012453,0.0127398,0.0122282,0.0130009,0.0121189,0.0104725,0.0137371
MGubera,0.3999999999999999,4.514884170305193,0.0110411,0.0115518,0.0112194,0.0110128,0.0120527,0.0113033,0.0123391,0.0104934,0.0111052,0.0110504
MGubera,0.34999999999999987,5.029597444212037,0.0123965,0.0116631,0.0118165,0.0117499,0.0110478,0.011759,0.0118889,0.010886,0.010738,0.0112995
MGubera,0.29999999999999993,5.657370312507035,0.0105676,0.0105631,0.00976035,0.0107712,0.0111923,0.0112438,0.0102614,0.0104043,0.0108354,0.0104242
MGubera,0.2499999999999999,6.444816543049418,0.00978846,0.0112764,0.0117465,0.0104241,0.0114233,0.0102073,0.0109219,0.0109219,0.0104994,0.010917
MGubera,0.19999999999999996,7.524156005366274,0.010498,0.00943105,0.0099398,0.0104315,0.0101633,0.00912291,0.00983841,0.0102469,0.0101835,0.0104824
MGubera,0.1499999999999999,9.111065798964312,0.0094448,0.0094448,0.00961533,0.00907286,0.0102216,0.00979713,0.00955437,0.00981639,0.00935942,0.00970312
MGubera,0.09999999999999988,11.668422610356425,0.00865153,0.00839406,0.00845496,0.00899739,0.00870069,0.00842748,0.008858,0.0089779,0.00856151,0.00939428
MGubera,0.05,17.626644850328763,0.00747542,0.00776772,0.00767863,0.00794877,0.00812265,0.00781647,0.00759942,0.00791107,0.00799061,0.00832157
