SiteCode,k,d,1,2,3,4,5,6,7,8,9,10
MGuberl3,0.99,0.8212852921282427,0.00401111,0.00369162,0.00358689,0.00421231,0.00367295,0.00389204,0.00390152,0.00420875,0.00373344,0.00404262
MGuberl3,0.95,1.161394971136083,0.004042,0.00423489,0.00383276,0.00417995,0.00389708,0.00416631,0.00399996,0.0039978,0.00421367,0.00398765
MGuberl3,0.8999999999999999,1.4218208320343997,0.0115226,0.0108335,0.00955634,0.0106819,0.0106717,0.00998445,0.0104988,0.0104264,0.0112806,0.0105384
MGuberl3,0.85,1.6496148371794626,0.0106014,0.0103876,0.0103995,0.0104757,0.0103736,0.0115253,0.0103599,0.010293,0.00980394,0.0112732
MGuberl3,0.7999999999999999,1.8714139079027896,0.0102018,0.0110934,0.0101135,0.0112667,0.00960664,0.00942628,0.0101634,0.0102049,0.0106275,0.0108028
MGuberl3,0.75,2.0848788659294444,0.0106428,0.00991336,0.0102281,0.00985053,0.0106221,0.00931761,0.0112035,0.0126717,0.00997201,0.0103462
MGuberl3,0.7,2.2900305004262695,0.00980311,0.0112218,0.00998677,0.00953145,0.00947242,0.0108629,0.0118414,0.0113291,0.00955286,0.00889993
MGuberl3,0.6499999999999999,2.5264600395046104,0.0114968,0.0100413,0.0092354,0.0109536,0.00967062,0.0108641,0.0102164,0.00991093,0.0100465,0.010893
MGuberl3,0.5999999999999999,2.7824315104728874,0.0115043,0.01001,0.0103022,0.00989987,0.010299,0.0106348,0.0097752,0.00915425,0.00993364,0.0107761
MGuberl3,0.5499999999999999,3.0539079805474274,0.0112808,0.0114812,0.0113232,0.0107929,0.0108447,0.010692,0.011429,0.0111228,0.011162,0.0115666
MGuberl3,0.49999999999999994,3.350027080553464,0.0114284,0.012502,0.0117769,0.0115011,0.011057,0.0108289,0.00983924,0.0119898,0.011406,0.0112006
MGuberl3,0.45,3.714882016243617,0.0107769,0.010662,0.0108785,0.0108415,0.0124428,0.0117618,0.0117903,0.0121242,0.0107811,0.0115623
MGuberl3,0.3999999999999999,4.099121785000394,0.0112978,0.0112941,0.010988,0.0114145,0.0113639,0.0112777,0.0107488,0.0121769,0.0114518,0.0109188
MGuberl3,0.34999999999999987,4.574145634516972,0.0122925,0.0121823,0.0114524,0.0116003,0.0117346,0.0125521,0.0114209,0.0119013,0.0117678,0.0130183
MGuberl3,0.29999999999999993,5.140280147613766,0.0114465,0.0115059,0.012308,0.011651,0.0116402,0.0120941,0.0120461,0.0118376,0.0116706,0.0119595
MGuberl3,0.2499999999999999,5.834227620561979,0.0124749,0.0123852,0.0117961,0.0120459,0.0112164,0.0121132,0.0116343,0.0117873,0.0120793,0.0120161
MGuberl3,0.19999999999999996,6.863561764672424,0.0122191,0.0127678,0.0125829,0.0116271,0.0123121,0.0111557,0.0121944,0.0124426,0.012414,0.0128832
MGuberl3,0.1499999999999999,8.302205985478624,0.0120605,0.0113855,0.0117123,0.0121625,0.0122691,0.0125768,0.0120771,0.0121416,0.0121126,0.0122698
MGuberl3,0.09999999999999988,10.641703702289435,0.0115206,0.0118361,0.012133,0.0118227,0.0118622,0.0119433,0.0118822,0.0119855,0.0117132,0.0121446
MGuberl3,0.05,15.748656165237598,0.0107308,0.0112562,0.0104283,0.0115346,0.0114603,0.0118872,0.0108547,0.0109086,0.0117644,0.0107485
