SiteCode,k,d,1,2,3,4,5,6,7,8,9,10
MGvico16,0.99,0.6331594709879149,0.00184184,0.00206918,0.00210648,0.00190568,0.00218634,0.00234556,0.0019049,0.00205846,0.00214428,0.00198316
MGvico16,0.95,0.8966393397008287,0.00208087,0.00211269,0.00220172,0.00224299,0.00216787,0.00208652,0.00233536,0.00206763,0.00205585,0.00220523
MGvico16,0.8999999999999999,1.097166505907133,0.00231759,0.00198213,0.00217568,0.00202948,0.00219697,0.00212764,0.00208873,0.00180134,0.00194402,0.00206117
MGvico16,0.85,1.2683767800294667,0.00188879,0.00220763,0.00197323,0.00192729,0.0020812,0.00222993,0.00210921,0.0018822,0.00199895,0.00230041
MGvico16,0.7999999999999999,1.4290498268230678,0.00538819,0.00565848,0.00487362,0.00565131,0.00558216,0.00546746,0.0054218,0.00599827,0.00539106,0.00540953
MGvico16,0.75,1.58684913037779,0.00557672,0.00572053,0.00552007,0.00546836,0.00499566,0.00551351,0.00534322,0.00493714,0.00495114,0.00592566
MGvico16,0.7,1.765459637125408,0.00541903,0.00532079,0.00545991,0.00548927,0.00569507,0.00522057,0.00537471,0.00601311,0.00550024,0.00494435
MGvico16,0.6499999999999999,1.9444182626264308,0.00554563,0.00497966,0.00517497,0.00612392,0.00570069,0.00511742,0.00555502,0.00485567,0.00514846,0.00522834
MGvico16,0.5999999999999999,2.1360771303102206,0.00535913,0.00490737,0.00565078,0.00558713,0.00565656,0.0055543500000000004,0.00596922,0.00573663,0.00593736,0.00562207
MGvico16,0.5499999999999999,2.3401338239302816,0.0056312,0.00526465,0.00514773,0.00520118,0.00572331,0.00606035,0.00551698,0.00509004,0.00539629,0.00482427
MGvico16,0.49999999999999994,2.5664258480682114,0.00510068,0.00560416,0.00535085,0.00495037,0.00532695,0.00589931,0.00519919,0.00514255,0.00503016,0.00530793
MGvico16,0.45,2.82783454070861,0.0052279,0.00514288,0.00541919,0.00511405,0.00579293,0.0052847,0.00530863,0.00587496,0.00538844,0.00529084
MGvico16,0.3999999999999999,3.135167901774985,0.00625089,0.00621569,0.00576549,0.00676001,0.00654659,0.00611005,0.00618822,0.00573672,0.00622801,0.00605571
MGvico16,0.34999999999999987,3.4931217011334232,0.00597531,0.00550544,0.00617567,0.00627707,0.00646389,0.00619836,0.00602332,0.00573005,0.00600675,0.00611071
MGvico16,0.29999999999999993,3.951562122668254,0.00631576,0.00637944,0.00559253,0.0062711,0.0067871,0.00649058,0.00628767,0.0060882,0.00603716,0.00654001
MGvico16,0.2499999999999999,4.502722920144598,0.006643,0.00635718,0.00633667,0.00666333,0.0063974,0.00638403,0.00596285,0.00653511,0.00657121,0.0066565
MGvico16,0.19999999999999996,5.254736410827449,0.00647105,0.00665624,0.00674596,0.00654228,0.00666956,0.00647861,0.00674991,0.00643324,0.00639931,0.00660134
MGvico16,0.1499999999999999,6.311791980688656,0.00671955,0.0067177,0.00662305,0.00609716,0.00614867,0.0066643,0.00649478,0.00621424,0.00666941,0.00677664
MGvico16,0.09999999999999988,8.133970272865337,0.00654432,0.00640662,0.00682262,0.00676871,0.00671571,0.00665038,0.0065836,0.00683872,0.00649833,0.00642953
MGvico16,0.05,12.387251272826555,0.0062651,0.0061237,0.00633242,0.0062551,0.00653308,0.00603255,0.00621027,0.00622343,0.00621901,0.00630147
