SiteCode,k,d,1,2,3,4,5,6,7,8,9,10
MSdour,0.99,0.7993228107713246,0.00682796,0.00618736,0.00637972,0.00702636,0.00654143,0.00630005,0.0066254,0.00635,0.00635727,0.00615537
MSdour,0.95,1.1267186673711007,0.00639897,0.00711159,0.00654739,0.00629919,0.00620629,0.00657015,0.00675629,0.00661133,0.00604882,0.00627629
MSdour,0.8999999999999999,1.3804559743184446,0.00623069,0.00631606,0.00702217,0.00616268,0.00650285,0.00634907,0.00705621,0.00612749,0.00581117,0.00600907
MSdour,0.85,1.5946515549924989,0.0181023,0.0176583,0.0175103,0.0178486,0.0170266,0.0175274,0.0168456,0.0182382,0.0176488,0.0179678
MSdour,0.7999999999999999,1.8015424539046616,0.0202126,0.0176617,0.0174126,0.0178716,0.0168056,0.0168251,0.0167912,0.0181864,0.0170733,0.0173668
MSdour,0.75,1.9921929870810984,0.0173344,0.0162771,0.0166123,0.0168576,0.0178932,0.0177915,0.0169625,0.0192602,0.0191457,0.0161248
MSdour,0.7,2.2058916719783204,0.0181863,0.0171049,0.0172743,0.0173054,0.0147077,0.0179777,0.0170468,0.0179548,0.018057,0.0185013
MSdour,0.6499999999999999,2.4423567560109114,0.0206272,0.0166684,0.0176278,0.0169468,0.0180809,0.0172399,0.017588,0.0172412,0.0189897,0.017605
MSdour,0.5999999999999999,2.684202985100172,0.0169648,0.0180298,0.0175565,0.0171245,0.0163713,0.0164764,0.0175652,0.0163737,0.0175741,0.017914
MSdour,0.5499999999999999,2.9352859342295012,0.0140038,0.0137195,0.0153323,0.0154226,0.0161586,0.0144323,0.0146855,0.0152297,0.0143084,0.015877
MSdour,0.49999999999999994,3.229779941591961,0.014783,0.0154301,0.0138475,0.0134495,0.0152427,0.0162395,0.0150057,0.0135829,0.0152211,0.0142887
MSdour,0.45,3.579680230858579,0.0160601,0.0137302,0.0155251,0.01599,0.0146991,0.0160137,0.0142718,0.0157211,0.0159839,0.0141569
MSdour,0.3999999999999999,3.97082157461315,0.0158995,0.0158814,0.0146603,0.0149543,0.0157496,0.0153162,0.0158991,0.0156735,0.0161358,0.0141356
MSdour,0.34999999999999987,4.392188591016981,0.0120741,0.0123384,0.0125979,0.0116237,0.0140204,0.0127247,0.0117923,0.0120967,0.0115792,0.0112645
MSdour,0.29999999999999993,4.993962250649787,0.0124353,0.0113154,0.0120032,0.0138521,0.0128756,0.0120261,0.0129201,0.0129345,0.0123406,0.0122143
MSdour,0.2499999999999999,5.681301957424996,0.0102805,0.010251,0.0101035,0.0105867,0.0104143,0.0107762,0.0106514,0.010933,0.00993322,0.0106289
MSdour,0.19999999999999996,6.652368465706774,0.0103428,0.00986176,0.010158,0.0100983,0.0113195,0.0100381,0.0106895,0.011252,0.0107337,0.0106509
MSdour,0.1499999999999999,7.989310435018594,0.0101486,0.00993827,0.0100263,0.010147,0.0101018,0.0100611,0.0109581,0.00995489,0.00936278,0.00931344
MSdour,0.09999999999999988,10.233030503966404,0.00890226,0.0087845,0.00915284,0.00841882,0.00840413,0.00836878,0.00924464,0.00792562,0.00882154,0.00909811
MSdour,0.05,15.562110821155908,0.00726857,0.00755018,0.00707134,0.00711733,0.00714856,0.00705576,0.00707238,0.0073911,0.00739997,0.00761349
