SiteCode,k,d,1,2,3,4,5,6,7,8,9,10
MSjatei,0.99,0.908738341024318,0.00348644,0.00382735,0.00348651,0.00358217,0.00378186,0.00337491,0.00326305,0.00307482,0.002857,0.00351533
MSjatei,0.95,1.2849597289916546,0.00332091,0.0033701,0.00293859,0.00363505,0.0031222,0.00353217,0.00360281,0.00333825,0.00376253,0.00334186
MSjatei,0.8999999999999999,1.5661186687424271,0.00834219,0.00823237,0.00856962,0.00760415,0.00920145,0.00867769,0.00963612,0.00866988,0.00827361,0.00827361
MSjatei,0.85,1.8151916973318103,0.00781448,0.00889283,0.00736721,0.00858007,0.00858007,0.00857908,0.00827735,0.00819776,0.00834729,0.0091528000000000009
MSjatei,0.7999999999999999,2.0585588555496286,0.00892899,0.00863936,0.00982643,0.00886642,0.0104954,0.00907994,0.00907994,0.00768405,0.00854338,0.00870939
MSjatei,0.75,2.2979825244323653,0.00832688,0.00828519,0.0103697,0.0102195,0.00920248,0.00791428,0.00861217,0.00869597,0.00872676,0.00915189
MSjatei,0.7,2.5306182196271023,0.00959269,0.00840827,0.00711315,0.00889431,0.00889431,0.00852148,0.00804246,0.00755137,0.00882246,0.00744445
MSjatei,0.6499999999999999,2.7920377795565945,0.00897396,0.00827309,0.0089528,0.00919606,0.00828061,0.00854957,0.00878258,0.00878258,0.0104311,0.00954829
MSjatei,0.5999999999999999,3.0552025776567597,0.00816104,0.00824405,0.00906876,0.00834374,0.00834374,0.00755378,0.00948964,0.00767664,0.00902085,0.00807205
MSjatei,0.5499999999999999,3.3480564352754487,0.00746001,0.00802175,0.00818651,0.00818651,0.00798266,0.00804133,0.00837231,0.00841532,0.00818093,0.00895373
MSjatei,0.49999999999999994,3.684668608699234,0.00753836,0.00766757,0.00909847,0.00760486,0.00790896,0.00833075,0.00865048,0.00873851,0.0084596,0.00754968
MSjatei,0.45,4.06709027263595,0.00750435,0.00786251,0.00839902,0.00857888,0.00835281,0.00835281,0.00881374,0.00839421,0.0087730700000000009,0.00728516
MSjatei,0.3999999999999999,4.493266274313445,0.00856108,0.00792241,0.00792241,0.00882427,0.00870262,0.00820001,0.0078174,0.00792164,0.00792164,0.00774838
MSjatei,0.34999999999999987,5.024975927498288,0.00852656,0.0083441,0.00851028,0.00854614,0.00851473,0.00812053,0.00872404,0.00828784,0.00825226,0.00815954
MSjatei,0.29999999999999993,5.710110981695007,0.00830591,0.00755291,0.00755146,0.00770659,0.00828999,0.00785179,0.00761694,0.00774206,0.00748817,0.00823813
MSjatei,0.2499999999999999,6.502503724140698,0.00733588,0.00782104,0.00841168,0.00829375,0.00714271,0.00772109,0.00788161,0.00776096,0.00812031,0.00811091
MSjatei,0.19999999999999996,7.592023331954293,0.00818572,0.00818572,0.00774285,0.0070887500000000004,0.00767472,0.0074959,0.0075213,0.00744204,0.00779772,0.00780116
MSjatei,0.1499999999999999,9.061817752160474,0.00733423,0.00732573,0.00742551,0.00675757,0.00748576,0.0073263,0.00687454,0.00710927,0.00776958,0.00799252
MSjatei,0.09999999999999988,11.737344622254438,0.00654203,0.00650653,0.00633835,0.00642305,0.00694358,0.00694358,0.00646017,0.00643623,0.00658366,0.00677733
MSjatei,0.05,17.669772146881908,0.00571804,0.00585988,0.00590237,0.00594123,0.00592308,0.00591618,0.00591418,0.00593009,0.00571755,0.00579408
