SiteCode,k,d,1,2,3,4,5,6,7,8,9,10
PEalia,0.99,1.0046667026939284,0.00586838,0.00690833,0.00611836,0.00634337,0.00600203,0.00604079,0.00648187,0.00657342,0.00648417,0.00636101
PEalia,0.95,1.4250403240776075,0.0140132,0.0156311,0.0166371,0.0172005,0.0172005,0.0178542,0.0157144,0.0157144,0.0162732,0.0153773
PEalia,0.8999999999999999,1.7577185536678932,0.0185346,0.0185346,0.0170692,0.0163432,0.0163432,0.0169433,0.0173976,0.0137715,0.0176438,0.0176438
PEalia,0.85,2.0277709770350594,0.0168977,0.014184,0.014184,0.0158524,0.0154675,0.0183606,0.0183606,0.0164208,0.0147898,0.0158006
PEalia,0.7999999999999999,2.2763986485912224,0.0172045,0.0172045,0.0164685,0.0143425,0.0173057,0.0173871,0.0145147,0.0157762,0.0157762,0.0183633
PEalia,0.75,2.545282303921404,0.0156693,0.0142746,0.0169161,0.0169161,0.0168706,0.0189391,0.0151048,0.0151048,0.0159056,0.0174701
PEalia,0.7,2.826441804369182,0.0166143,0.0170868,0.01582,0.01582,0.0174892,0.0139493,0.0165054,0.0169839,0.0169839,0.0157338
PEalia,0.6499999999999999,3.0832978035760767,0.0176811,0.016118,0.0163087,0.0163087,0.016055,0.0147962,0.0164785,0.015791,0.015791,0.0141304
PEalia,0.5999999999999999,3.391392717764551,0.0154936,0.0163087,0.0163087,0.0144718,0.0145391,0.0147127,0.0163754,0.0149369,0.0149369,0.0149364
PEalia,0.5499999999999999,3.72052864091264,0.0149558,0.0157947,0.0150309,0.0150309,0.0142414,0.015587,0.0161405,0.0166205,0.0156032,0.0156032
PEalia,0.49999999999999994,4.112953498985003,0.0146636,0.0157939,0.0142787,0.0145395,0.0145395,0.0161613,0.0148871,0.0135475,0.0135475,0.0156985
PEalia,0.45,4.503517684479583,0.0158151,0.0143759,0.0143759,0.0160053,0.0149829,0.0147487,0.0147487,0.0151962,0.0161584,0.0161584
PEalia,0.3999999999999999,5.003331100523807,0.0152271,0.0145459,0.014439,0.014439,0.0152673,0.0144323,0.0144853,0.0144853,0.0132717,0.0138461
PEalia,0.34999999999999987,5.5710170969669,0.0138461,0.0147777,0.0141487,0.0146861,0.0146861,0.0144338,0.0142698,0.0142698,0.0146541,0.0160824
PEalia,0.29999999999999993,6.297006100589923,0.0131532,0.0131532,0.0130767,0.0138308,0.0142989,0.0142603,0.0142603,0.0144528,0.014318000000000001,0.0153683
PEalia,0.2499999999999999,7.183507128107769,0.0133513,0.0120338,0.0129071,0.0122868,0.0122868,0.0128312,0.0139183,0.012779,0.0137863,0.0133442
PEalia,0.19999999999999996,8.463360059594173,0.0133442,0.0131195,0.0144061,0.0126301,0.0132591,0.0130473,0.0130473,0.0137672,0.0134144,0.0129728
PEalia,0.1499999999999999,10.189545081299336,0.0130317,0.0120367,0.0120367,0.0120241,0.0120226,0.0114711,0.0125555,0.0125555,0.0120175,0.0117113
PEalia,0.09999999999999988,13.04803144733424,0.0116835,0.0119312,0.0110175,0.0110175,0.0114709,0.011344,0.0113062,0.0108919,0.0108919,0.0109182
PEalia,0.05,19.671890418792632,0.00987595,0.0099222,0.0100505,0.00995139,0.00936597,0.00946743,0.00968255,0.00974509,0.00948126,0.00949276
