SiteCode,k,d,1,2,3,4,5,6,7,8,9,10
PEbrejo,0.99,0.6522505878160879,0.0011085,0.00108708,0.00120333,0.00130202,0.00116652,0.00119951,9.88256e-4,0.0011269,0.00100829,0.00106748
PEbrejo,0.95,0.9214154044574886,0.00101848,0.00104871,0.00111017,0.00120003,0.0011059,0.00111471,0.00118752,0.0010567,0.00120808,0.00105122
PEbrejo,0.8999999999999999,1.1293537351790313,0.00102617,0.00107817,0.00112369,0.00122818,0.00121384,0.00111325,0.00109975,9.53221e-4,0.00107847,0.00115422
PEbrejo,0.85,1.3081909642294405,0.00102662,0.00115742,0.00115595,0.00109405,0.00134909,0.00126816,0.00137253,0.00102088,0.00105149,0.0010207
PEbrejo,0.7999999999999999,1.4760755725376895,0.00294116,0.00362108,0.00283993,0.00262812,0.0030039,0.00308024,0.00318358,0.00272933,0.00324432,0.00303114
PEbrejo,0.75,1.6505096248503943,0.00338788,0.00302664,0.00317175,0.00276864,0.00310315,0.00342283,0.00330813,0.00275013,0.00284808,0.00335206
PEbrejo,0.7,1.8070031496485703,0.00305128,0.00318035,0.00339056,0.00282454,0.00310547,0.00317488,0.00300817,0.00327586,0.00318774,0.00345429
PEbrejo,0.6499999999999999,2.0041635782803264,0.00348201,0.00314093,0.00308044,0.00296791,0.00260179,0.00289816,0.00236235,0.00269933,0.00295159,0.00330186
PEbrejo,0.5999999999999999,2.196965457312126,0.00263288,0.00282488,0.00320151,0.00288854,0.00301807,0.00277923,0.00332703,0.00303588,0.00277308,0.00275806
PEbrejo,0.5499999999999999,2.421096038800602,0.00300435,0.00313277,0.00226084,0.00261668,0.00327735,0.00261731,0.0027794,0.00251349,0.00280327,0.00339052
PEbrejo,0.49999999999999994,2.659104789541592,0.00312894,0.00286655,0.00345467,0.00297872,0.00330981,0.00304137,0.003322,0.00277505,0.00237425,0.00305664
PEbrejo,0.45,2.932232811645801,0.00257432,0.00291152,0.00222316,0.00241722,0.00249883,0.00286042,0.00258957,0.00230178,0.00221994,0.00230404
PEbrejo,0.3999999999999999,3.2370968970987657,0.00236605,0.00269184,0.00242827,0.00249133,0.0025067,0.00268205,0.00261903,0.00262445,0.00271322,0.00252776
PEbrejo,0.34999999999999987,3.625082768572615,0.00247517,0.00299127,0.00299313,0.00243395,0.00220861,0.00254455,0.00232563,0.00278132,0.00242045,0.00260889
PEbrejo,0.29999999999999993,4.093664551421332,0.00250419,0.0024081,0.00226431,0.00293999,0.0027671,0.00259913,0.00253813,0.00216256,0.00224793,0.00247357
PEbrejo,0.2499999999999999,4.674737800104173,0.00228962,0.00221158,0.00235754,0.00222274,0.00241409,0.00232891,0.00239707,0.0023652,0.00216276,0.00242131
PEbrejo,0.19999999999999996,5.4354870363533,0.00234993,0.00229144,0.00251665,0.00225882,0.00230487,0.00222377,0.0021869,0.00253743,0.00242099,0.00242334
PEbrejo,0.1499999999999999,6.5680615313792705,0.00223712,0.0021776,0.00205994,0.0022973,0.00234024,0.00222551,0.00245573,0.00216544,0.00222143,0.00208376
PEbrejo,0.09999999999999988,8.451968221115186,0.00195344,0.00212491,0.00197651,0.00198623,0.00219349,0.00214885,0.00190863,0.00211176,0.00191484,0.00206381
PEbrejo,0.05,12.6093882512859,0.00171411,0.00184215,0.00177877,0.0017022,0.00169369,0.00171156,0.00176508,0.00164401,0.00173546,0.00179672
