SiteCode,k,d,1,2,3,4,5,6,7,8,9,10
PEcabo2,0.99,0.6512119898631115,0.00154486,0.00172137,0.00148491,0.00161806,0.00196735,0.00183776,0.0014421,0.00152611,0.00155857,0.0017171
PEcabo2,0.95,0.9144116701894172,0.00155513,0.0015901,0.00178269,0.00182234,0.00182012,0.00146329,0.00155541,0.00182553,0.00170348,0.00167104
PEcabo2,0.8999999999999999,1.124027796173526,0.00156013,0.00184156,0.00151818,0.00164262,0.00158782,0.00160923,0.00163644,0.00172574,0.00166405,0.00162365
PEcabo2,0.85,1.2959430119442228,0.00168118,0.00177289,0.00179014,0.00205088,0.00180746,0.00146362,0.00158746,0.00172791,0.00149438,0.00172745
PEcabo2,0.7999999999999999,1.4721034731144995,0.00466171,0.00521781,0.00486288,0.00478099,0.00487726,0.00463511,0.00468921,0.00402529,0.00461268,0.00462021
PEcabo2,0.75,1.6349808137679405,0.00461718,0.00458884,0.00503211,0.00468302,0.00510186,0.00504022,0.00444161,0.00454349,0.00481728,0.00407084
PEcabo2,0.7,1.8088971139483985,0.00468869,0.00500793,0.00458274,0.00452878,0.0051652,0.00496178,0.00485973,0.00437547,0.00471524,0.00574896
PEcabo2,0.6499999999999999,1.9788846177685648,0.00458919,0.00467485,0.00555278,0.00472177,0.00482568,0.0044046,0.00530924,0.00439468,0.0045625,0.00463153
PEcabo2,0.5999999999999999,2.185714524828889,0.00496666,0.00488609,0.00496173,0.00454391,0.00485744,0.00517084,0.0047555,0.00479413,0.00481413,0.004497
PEcabo2,0.5499999999999999,2.4052729564495805,0.00441925,0.00492328,0.00493339,0.00476441,0.0042141,0.00515421,0.00450748,0.00484845,0.00520352,0.00511968
PEcabo2,0.49999999999999994,2.6417200985482294,0.00424944,0.00457526,0.00418562,0.0048226400000000004,0.00472249,0.00483547,0.00485787,0.00454733,0.00466655,0.00496129
PEcabo2,0.45,2.906332574276654,0.00488247,0.00508444,0.00491858,0.00520612,0.0052347,0.00532679,0.00529407,0.00542881,0.00488758,0.00536789
PEcabo2,0.3999999999999999,3.215920429703625,0.00503742,0.0048804,0.00517855,0.00510001,0.00480328,0.00530379,0.00473103,0.00507083,0.00485782,0.0052399
PEcabo2,0.34999999999999987,3.567804459778145,0.00471875,0.00493508,0.00498659,0.00469958,0.00477131,0.0051408,0.00473995,0.00488708,0.00505228,0.004833
PEcabo2,0.29999999999999993,4.025245346698566,0.00521521,0.00488484,0.00548723,0.005153,0.00510436,0.00539933,0.00499794,0.00524901,0.00541785,0.00534002
PEcabo2,0.2499999999999999,4.625341783451891,0.00518684,0.00541095,0.00534514,0.00499812,0.00526145,0.00528601,0.00506206,0.00486704,0.00505414,0.00481306
PEcabo2,0.19999999999999996,5.366531775853928,0.00534115,0.00512113,0.0050603,0.00510978,0.00536985,0.00539526,0.00511522,0.00543842,0.00507883,0.00494584
PEcabo2,0.1499999999999999,6.484523477627745,0.00477274,0.00526284,0.00516346,0.0047384,0.0050607,0.00521367,0.00533113,0.00534635,0.00549696,0.00511251
PEcabo2,0.09999999999999988,8.347957991795617,0.00469342,0.00501326,0.00466155,0.00504391,0.00483076,0.00484053,0.00476054,0.00495345,0.00487423,0.00471184
PEcabo2,0.05,12.599817953450165,0.00422353,0.0041758,0.0043442,0.00435106,0.00423321,0.00410919,0.00430226,0.00451498,0.00407449,0.00412127
