SiteCode,k,d,1,2,3,4,5,6,7,8,9,10
PEcaru1,0.99,0.6830684139905762,0.00253275,0.00274028,0.00269423,0.00256484,0.00286233,0.00251671,0.0027133,0.00260865,0.00295845,0.00248793
PEcaru1,0.95,0.9631340518418618,0.00279515,0.00249264,0.00277627,0.00240608,0.00248263,0.00297472,0.0022913,0.00264445,0.00273262,0.00283595
PEcaru1,0.8999999999999999,1.1766601972341193,0.00256017,0.00281501,0.0026291,0.00247139,0.00259132,0.00270481,0.002454,0.00248177,0.00249272,0.00241166
PEcaru1,0.85,1.3684253808606226,0.00253621,0.00272265,0.00257217,0.00243037,0.00243593,0.00265155,0.00252347,0.00247996,0.00276149,0.00249917
PEcaru1,0.7999999999999999,1.5487648495223036,0.00669178,0.00718076,0.00631671,0.00772412,0.00635121,0.00684263,0.00626723,0.00722679,0.00662079,0.00703476
PEcaru1,0.75,1.7270079341014182,0.00601363,0.00740972,0.0066418,0.00761258,0.0064307,0.00690248,0.00747448,0.00679027,0.0072162,0.00678155
PEcaru1,0.7,1.891272019570844,0.00700887,0.00678304,0.00625562,0.00670479,0.00691503,0.00709302,0.00705924,0.00624349,0.00667536,0.00751441
PEcaru1,0.6499999999999999,2.0860281801023817,0.00608178,0.00634439,0.00668224,0.00648129,0.00689836,0.0068361,0.00651708,0.0072564,0.00641881,0.00648144
PEcaru1,0.5999999999999999,2.3000941583793426,0.0077596,0.00749577,0.00662315,0.00674653,0.00806497,0.00678265,0.00702212,0.00777829,0.00671229,0.00619225
PEcaru1,0.5499999999999999,2.4981104011863184,0.00649613,0.00788759,0.00584109,0.00646674,0.00701077,0.00657664,0.00747467,0.00691348,0.00658898,0.00730142
PEcaru1,0.49999999999999994,2.759331451485537,0.00716378,0.00694117,0.00608964,0.00700491,0.00695117,0.00663441,0.0073464,0.00685282,0.006789,0.00658917
PEcaru1,0.45,3.0545492044029987,0.00590966,0.00544495,0.00525562,0.00608626,0.0058103,0.00602558,0.00641067,0.00619585,0.00531471,0.00564246
PEcaru1,0.3999999999999999,3.39240394194707,0.00579464,0.00556731,0.0057988,0.00538759,0.00565212,0.0059837,0.00638565,0.00540786,0.00572559,0.00629144
PEcaru1,0.34999999999999987,3.7872617218296862,0.00604001,0.00641846,0.00575312,0.00572612,0.00608197,0.00557999,0.00563114,0.0061139,0.00533391,0.00577751
PEcaru1,0.29999999999999993,4.244184590531015,0.00593989,0.00524621,0.00535859,0.00554385,0.00548225,0.0055988,0.00511315,0.00503622,0.00493414,0.00581556
PEcaru1,0.2499999999999999,4.864642765989921,0.00560712,0.00569678,0.00528885,0.00565096,0.00554875,0.00623859,0.00600434,0.00542761,0.00536299,0.00543145
PEcaru1,0.19999999999999996,5.646345252331965,0.0053106,0.00534857,0.0056415,0.00564921,0.00534462,0.0057202,0.00556334,0.00543847,0.00562402,0.00562069
PEcaru1,0.1499999999999999,6.86681501581164,0.00530641,0.00506936,0.0053987,0.00545233,0.00535275,0.00520725,0.00522658,0.00561393,0.00515974,0.00545835
PEcaru1,0.09999999999999988,8.75119015076344,0.00476329,0.00466177,0.00491086,0.00480177,0.004496,0.00466746,0.00480966,0.00486133,0.00493776,0.00451629
PEcaru1,0.05,13.105564156024238,0.00420856,0.00427159,0.00425564,0.00445869,0.00432842,0.00431102,0.00431896,0.00461907,0.00447141,0.0042715
