SiteCode,k,d,1,2,3,4,5,6,7,8,9,10
PEmata2,0.99,0.7631103359800421,0.00300848,0.00304766,0.0031413,0.00316885,0.00326092,0.0030529,0.00317571,0.00292726,0.00290027,0.00292421
PEmata2,0.95,1.0665854238583503,0.00262963,0.00320212,0.00310414,0.0029249,0.00324704,0.00332669,0.00328439,0.00332412,0.00327264,0.00311022
PEmata2,0.8999999999999999,1.316189645410161,0.00355264,0.00324733,0.00303343,0.00321223,0.00331105,0.00300622,0.00300752,0.00334624,0.00318003,0.00310334
PEmata2,0.85,1.5196899550858012,0.00753479,0.00808329,0.00822439,0.00905758,0.00816726,0.00802649,0.00838227,0.00973524,0.0083879,0.00880166
PEmata2,0.7999999999999999,1.7156578315330544,0.00878466,0.00778598,0.00942734,0.0089332,0.0076806,0.00893337,0.00836546,0.00787364,0.00950595,0.00866214
PEmata2,0.75,1.9198595818603357,0.00952098,0.00785372,0.00796062,0.00874798,0.00866384,0.00789361,0.00924543,0.00789719,0.00749542,0.00838669
PEmata2,0.7,2.131430414561218,0.0102059,0.00841709,0.00849836,0.00807716,0.00827499,0.00934127,0.00931428,0.00953269,0.0097718,0.00921046
PEmata2,0.6499999999999999,2.3292196576365503,0.00890871,0.00793285,0.00905694,0.00813543,0.00842712,0.00843324,0.00804009,0.00928331,0.00922585,0.00790878
PEmata2,0.5999999999999999,2.566770788704294,0.00932925,0.00787603,0.0071031,0.00815097,0.00840105,0.00945615,0.00804435,0.00827057,0.00815026,0.00825773
PEmata2,0.5499999999999999,2.80924958393789,0.00853595,0.00918436,0.00804308,0.00848249,0.0086648,0.00839364,0.00915453,0.00890597,0.00824402,0.0070591
PEmata2,0.49999999999999994,3.1030585150842436,0.00723279,0.00823123,0.00717856,0.00770547,0.0078295,0.00770505,0.00702437,0.0076865,0.00793921,0.00718072
PEmata2,0.45,3.3842832716259035,0.00668928,0.00788442,0.00747337,0.00761793,0.00716248,0.0066634,0.0070959,0.00690724,0.00695585,0.00843296
PEmata2,0.3999999999999999,3.785942184370291,0.00803275,0.00731124,0.00693489,0.00826231,0.0077794,0.00718011,0.00724623,0.00731251,0.00786377,0.00726571
PEmata2,0.34999999999999987,4.215013147291941,0.00831444,0.00734952,0.00726504,0.00712856,0.00725958,0.00620169,0.00649082,0.00722771,0.00759234,0.00722759
PEmata2,0.29999999999999993,4.767411050654524,0.00676722,0.00725587,0.00711301,0.00667931,0.00698519,0.0066175,0.00721763,0.00738842,0.00746106,0.00738622
PEmata2,0.2499999999999999,5.3940759774219735,0.00676058,0.00646767,0.00678553,0.00701096,0.00701679,0.00741136,0.00703628,0.00702022,0.00695909,0.00650425
PEmata2,0.19999999999999996,6.349577766529586,0.00679126,0.00637785,0.00697541,0.00643882,0.00672706,0.00683571,0.00663186,0.00652166,0.00727445,0.00648723
PEmata2,0.1499999999999999,7.657010779697891,0.00592135,0.00640955,0.00676519,0.00681031,0.00650381,0.00639815,0.00630807,0.00646621,0.00639378,0.00652982
PEmata2,0.09999999999999988,9.837463483129268,0.00597313,0.00638111,0.00604389,0.00614333,0.00621684,0.00585576,0.00617459,0.00618886,0.00624686,0.00618156
PEmata2,0.05,14.699845544857032,0.00552454,0.00527457,0.00547302,0.00537866,0.00522426,0.00542027,0.00548135,0.0053832,0.00545236,0.0052556
