SiteCode,k,d,1,2,3,4,5,6,7,8,9,10
PEsvfer,0.99,0.6890223651886345,0.00390409,0.00408534,0.00394343,0.00410089,0.00404261,0.00377265,0.00426665,0.00412295,0.00401415,0.00389715
PEsvfer,0.95,0.9732073746540554,0.00402943,0.00392838,0.00401617,0.00369917,0.00401027,0.00384795,0.00404096,0.00388448,0.0043972,0.00392198
PEsvfer,0.8999999999999999,1.195011860796628,0.00365515,0.00387665,0.00421388,0.00390655,0.00391688,0.00406909,0.00385527,0.00390609,0.00425826,0.0036584
PEsvfer,0.85,1.3762825579976736,0.00408506,0.00417683,0.00367775,0.00323351,0.00400687,0.00375189,0.00353669,0.00401112,0.0039307,0.00371996
PEsvfer,0.7999999999999999,1.5693617572488343,0.0101679,0.0114998,0.0109648,0.0106686,0.011432,0.0108849,0.0117908,0.0110471,0.0104598,0.0107055
PEsvfer,0.75,1.7386835022556244,0.0108689,0.0102043,0.0107665,0.0109993,0.0119599,0.0101749,0.011415,0.00940431,0.0108903,0.0102498
PEsvfer,0.7,1.9154204061679792,0.010035,0.0101298,0.010994,0.0118944,0.0107411,0.0109672,0.0108865,0.0115921,0.0111977,0.0102254
PEsvfer,0.6499999999999999,2.1146921034084154,0.0108633,0.0106078,0.00990329,0.010956,0.0111291,0.0118089,0.0105247,0.0107616,0.0100491,0.0114693
PEsvfer,0.5999999999999999,2.319221943181542,0.0109287,0.0111557,0.0104034,0.0103149,0.0098947,0.0108299,0.00952396,0.0108241,0.0104115,0.010586
PEsvfer,0.5499999999999999,2.547634089454335,0.0105858,0.011355,0.0110105,0.0116481,0.0108478,0.0105425,0.0106259,0.0107058,0.0114475,0.0115629
PEsvfer,0.49999999999999994,2.804863526779549,0.0119811,0.0110686,0.00967305,0.0112938,0.00993898,0.010338,0.0116111,0.0114163,0.0104225,0.0107432
PEsvfer,0.45,3.092540860963079,0.00944239,0.00948785,0.00862079,0.00892872,0.00847659,0.00968086,0.00995856,0.0110396,0.00959773,0.00910626
PEsvfer,0.3999999999999999,3.4277176090560544,0.00859887,0.010653,0.0082042,0.0096797,0.00893279,0.00969467,0.00934826,0.00948496,0.00879724,0.00940914
PEsvfer,0.34999999999999987,3.838627578675181,0.00890797,0.00873012,0.00928784,0.00834633,0.00979712,0.0090121,0.0103925,0.0106599,0.0109109,0.00895039
PEsvfer,0.29999999999999993,4.2855888184424735,0.00836915,0.00756284,0.00779844,0.00755384,0.00808151,0.00727788,0.00735897,0.00829052,0.00845183,0.00837991
PEsvfer,0.2499999999999999,4.940390132211336,0.00818946,0.00858144,0.00851751,0.00778195,0.00820997,0.00797317,0.00767497,0.0074732,0.00758141,0.0079202
PEsvfer,0.19999999999999996,5.710082556290551,0.0070345,0.00675482,0.00686921,0.00767447,0.00722758,0.00760179,0.00669742,0.00735904,0.00712824,0.00732929
PEsvfer,0.1499999999999999,6.966942519683296,0.00818846,0.0068722,0.00755458,0.00720461,0.00724281,0.00702006,0.00703019,0.007005,0.00707329,0.00699336
PEsvfer,0.09999999999999988,8.897501525467662,0.00606,0.00628084,0.00631976,0.00633414,0.00657473,0.00622969,0.00634907,0.00640135,0.00667457,0.0064978
PEsvfer,0.05,13.359498769056822,0.00493798,0.00467383,0.00510211,0.00457405,0.00499246,0.00505963,0.00487419,0.00485544,0.00504904,0.00465212
