SiteCode,k,d,1,2,3,4,5,6,7,8,9,10
PRanto9,0.99,0.6456311921751138,0.00412881,0.00405668,0.00414994,0.00410888,0.00396963,0.00424065,0.00439516,0.00418598,0.00424704,0.00450216
PRanto9,0.95,0.9097234124897784,0.00459431,0.00423479,0.00408316,0.00432067,0.00434493,0.00397612,0.00393057,0.00400018,0.00416902,0.0043432
PRanto9,0.8999999999999999,1.1071198675566367,0.00447995,0.00385804,0.00427412,0.0039534,0.00394322,0.00438885,0.00385951,0.00416779,0.00430208,0.00420356
PRanto9,0.85,1.290197193534938,0.00410808,0.00428999,0.00400424,0.00388043,0.00446244,0.00383788,0.00433899,0.0041229,0.0042244200000000004,0.00401059
PRanto9,0.7999999999999999,1.4587610561944164,0.0115824,0.0115218,0.0114664,0.0106959,0.0114204,0.0113209,0.0117664,0.0124222,0.0117798,0.0112793
PRanto9,0.75,1.6204835886949671,0.0121272,0.0120967,0.0119768,0.0118018,0.0101562,0.0113026,0.0128379,0.0125089,0.0126761,0.0112514
PRanto9,0.7,1.7969342708595388,0.0121095,0.01106,0.0117693,0.0116544,0.0112896,0.0112498,0.0122462,0.010618,0.0115259,0.0117495
PRanto9,0.6499999999999999,1.9697813142955736,0.0126045,0.0116733,0.0119974,0.0118705,0.0115935,0.010957,0.0110631,0.0112528,0.0125159,0.0123054
PRanto9,0.5999999999999999,2.169081315148345,0.0115799,0.0112515,0.0106244,0.0116744,0.011129,0.0117301,0.0116608,0.0116756,0.0105637,0.0110284
PRanto9,0.5499999999999999,2.370013325853534,0.0122963,0.012114,0.0104924,0.0128648,0.0114404,0.0117204,0.0116391,0.0119925,0.0112416,0.0116328
PRanto9,0.49999999999999994,2.614203543837858,0.0118337,0.0104175,0.0106631,0.0119314,0.0122415,0.0118108,0.0107312,0.0111521,0.0114175,0.0111265
PRanto9,0.45,2.874762761097557,0.00980681,0.00912604,0.00902416,0.0103569,0.00992781,0.00967888,0.00922261,0.00975125,0.010213,0.00911662
PRanto9,0.3999999999999999,3.1803475815847575,0.0107144,0.0100019,0.00961869,0.00967362,0.0100921,0.00997406,0.0102847,0.0105381,0.0100386,0.00989551
PRanto9,0.34999999999999987,3.546475926216502,0.00941555,0.0107687,0.010467,0.0106307,0.00989354,0.0114214,0.00989287,0.0104742,0.00965709,0.00993931
PRanto9,0.29999999999999993,4.010568404039618,0.00973824,0.00954617,0.00938841,0.0103315,0.01009,0.0100017,0.00974062,0.0102062,0.00889925,0.00900277
PRanto9,0.2499999999999999,4.595577529038353,0.00707283,0.00829345,0.00746606,0.0070159,0.00855859,0.00831422,0.00867265,0.00857457,0.00760746,0.00829716
PRanto9,0.19999999999999996,5.344556716615787,0.00798177,0.0076707,0.00716715,0.00793143,0.00728252,0.00701114,0.00785852,0.0075494,0.00776761,0.00751148
PRanto9,0.1499999999999999,6.457570048476135,0.00597339,0.00622857,0.00670642,0.00703969,0.00742749,0.00661852,0.00671262,0.00631852,0.0063528,0.0065241
PRanto9,0.09999999999999988,8.325359360377925,0.00619195,0.00597363,0.0057329,0.00584427,0.00498321,0.00578752,0.00564606,0.00604354,0.00599945,0.00574557
PRanto9,0.05,12.571769966561911,0.004474,0.00461265,0.00418703,0.00472308,0.00474364,0.00472814,0.00449157,0.00413628,0.00461783,0.00461272
