SiteCode,k,d,1,2,3,4,5,6,7,8,9,10
PRdiam3,0.99,0.7870536054789175,0.00260172,0.00276973,0.00243915,0.00260352,0.00255809,0.00263601,0.00254215,0.00260744,0.00232044,0.00262497
PRdiam3,0.95,1.1210750431992886,0.00245513,0.00250346,0.00248875,0.00232555,0.00265746,0.00273665,0.00220357,0.00263571,0.00210633,0.00238532
PRdiam3,0.8999999999999999,1.3759387771215197,0.00235094,0.00261407,0.00245569,0.00234617,0.00282132,0.00287444,0.00225512,0.00261007,0.00240351,0.00267507
PRdiam3,0.85,1.5961789221837446,0.00676469,0.00589037,0.00612752,0.00764923,0.007444,0.00658972,0.00725608,0.00779996,0.00671573,0.00761031
PRdiam3,0.7999999999999999,1.7968846317707028,0.00677569,0.00571379,0.00622539,0.00613554,0.00676227,0.0070519,0.00653462,0.00671693,0.00667631,0.00757189
PRdiam3,0.75,2.00007803864713,0.00632099,0.00623353,0.00644383,0.00708423,0.00667355,0.00650314,0.00717434,0.00716888,0.00641054,0.00729052
PRdiam3,0.7,2.218167714698795,0.0064895,0.00720574,0.0074833,0.00740984,0.0067574,0.00642237,0.0065179,0.00695086,0.00698057,0.00678121
PRdiam3,0.6499999999999999,2.447454443808581,0.00613243,0.00686387,0.00664786,0.00725664,0.00593551,0.00741603,0.00620242,0.00716464,0.00662404,0.0072214
PRdiam3,0.5999999999999999,2.6724940304652876,0.00748443,0.00695104,0.00731924,0.00799639,0.00773813,0.00621022,0.00741951,0.00682762,0.00611454,0.0067849
PRdiam3,0.5499999999999999,2.94447156829187,0.00477021,0.00557091,0.00487123,0.00561172,0.00512829,0.00499511,0.00618387,0.00573601,0.00556684,0.00476488
PRdiam3,0.49999999999999994,3.248527229565177,0.00580878,0.00602612,0.00520078,0.0053976,0.00522704,0.0058185,0.00572094,0.00589799,0.00509375,0.00477229
PRdiam3,0.45,3.5770586530231707,0.00500107,0.00526671,0.00509326,0.00594952,0.00498745,0.00663097,0.00511753,0.00524975,0.00609542,0.00459711
PRdiam3,0.3999999999999999,3.941962966968464,0.00523617,0.00550524,0.00601953,0.00529571,0.00593265,0.00583916,0.00477064,0.0051949,0.00571505,0.00558972
PRdiam3,0.34999999999999987,4.400741977374868,0.00397486,0.0045285,0.00459474,0.00482701,0.00432948,0.00482331,0.00455432,0.00444911,0.00506871,0.00455225
PRdiam3,0.29999999999999993,4.960003089901026,0.00437287,0.00431621,0.00410823,0.00514318,0.00478833,0.00439015,0.00446404,0.00478135,0.00462875,0.0046187
PRdiam3,0.2499999999999999,5.699136405864761,0.00455643,0.00427201,0.00374443,0.00424777,0.00401849,0.00424175,0.00409063,0.0039828,0.00435751,0.0040029
PRdiam3,0.19999999999999996,6.62569821785029,0.00448913,0.00415262,0.00411741,0.00361834,0.00406676,0.0039501,0.00418732,0.00449691,0.00367186,0.00394116
PRdiam3,0.1499999999999999,8.032459144309446,0.00393311,0.00402106,0.00403148,0.00372097,0.00438969,0.00408527,0.00406185,0.00382695,0.00395264,0.0037417
PRdiam3,0.09999999999999988,10.212003476978277,0.00353653,0.00340095,0.00362268,0.00349521,0.00353832,0.00344599,0.0033016,0.00333005,0.00352586,0.00341241
PRdiam3,0.05,15.56907512090435,0.00273009,0.00297117,0.00292618,0.00283163,0.00296719,0.00275537,0.00297059,0.00292868,0.00301583,0.00305905
