SiteCode,k,d,1,2,3,4,5,6,7,8,9,10
PRipir,0.99,0.6413839146038824,7.50501e-4,5.66471e-4,6.22113e-4,6.48869e-4,7.23218e-4,6.15998e-4,5.68158e-4,5.92833e-4,6.26154e-4,4.96702e-4
PRipir,0.95,0.9177810236257404,7.2147e-4,6.48212e-4,6.72725e-4,6.1581e-4,6.37166e-4,5.65575e-4,5.75417e-4,6.67305e-4,4.90131e-4,6.27482e-4
PRipir,0.8999999999999999,1.1247617287050993,5.41199e-4,7.84904e-4,6.84034e-4,5.58158e-4,5.76107e-4,6.95088e-4,5.60739e-4,6.07541e-4,6.79246e-4,6.12647e-4
PRipir,0.85,1.2979878379541878,6.35702e-4,6.74147e-4,6.8568e-4,6.12883e-4,6.93845e-4,5.70981e-4,6.60887e-4,7.11299e-4,7.9121e-4,8.44966e-4
PRipir,0.7999999999999999,1.4643754408947631,0.00217646,0.00193585,0.00196823,0.00178561,0.00197366,0.00195883,0.00206678,0.00190017,0.00182793,0.00216734
PRipir,0.75,1.6315528982595462,0.00195838,0.00190633,0.00215295,0.00198857,0.00216336,0.00212146,0.00216035,0.00167893,0.00200596,0.00208396
PRipir,0.7,1.81247205644621,0.00173538,0.00192045,0.00204113,0.00181406,0.00194835,0.00198495,0.00206748,0.00186387,0.00189195,0.00199575
PRipir,0.6499999999999999,1.988853086241656,0.00214337,0.0020725,0.00210718,0.00197435,0.0021923,0.00194604,0.00198898,0.00188567,0.00214548,0.0019848
PRipir,0.5999999999999999,2.1874409575832803,0.00215352,0.00203662,0.0020436,0.00185348,0.00192981,0.0017163,0.00202996,0.00193882,0.00169545,0.00203342
PRipir,0.5499999999999999,2.3985492813656073,0.00206681,0.00187959,0.00189457,0.00221081,0.00202411,0.0019058,0.0020649,0.00222003,0.0020308,0.00205367
PRipir,0.49999999999999994,2.6405210049457923,0.00200647,0.00200744,0.00185965,0.0019609,0.00209175,0.00201079,0.00194331,0.0018779,0.001871,0.0020935
PRipir,0.45,2.9034279245918713,0.00266673,0.00281775,0.00262583,0.00310908,0.00256118,0.00284374,0.00271364,0.00259746,0.00279363,0.00288135
PRipir,0.3999999999999999,3.2126800676532743,0.00274491,0.00261264,0.00275089,0.00269811,0.00296478,0.00264996,0.00272309,0.00292812,0.00257888,0.00271243
PRipir,0.34999999999999987,3.578032410980876,0.00257487,0.00276175,0.00263497,0.00264356,0.00282872,0.00275407,0.00265024,0.002774,0.00289831,0.0028444
PRipir,0.29999999999999993,4.052122670050651,0.00273562,0.00272961,0.00270999,0.00262851,0.00282222,0.00277163,0.00256545,0.00267904,0.00258032,0.00270525
PRipir,0.2499999999999999,4.633334154449056,0.00292909,0.00288767,0.00287461,0.00294093,0.00299905,0.00289433,0.00295451,0.00304219,0.00303233,0.00303199
PRipir,0.19999999999999996,5.322351813860518,0.00299755,0.00285105,0.00314421,0.00303472,0.00308855,0.0029725,0.00306234,0.00278173,0.00290255,0.00298998
PRipir,0.1499999999999999,6.543586637859469,0.00306453,0.00316847,0.00317311,0.00299552,0.00314363,0.00317369,0.00312831,0.00291058,0.00311904,0.00304918
PRipir,0.09999999999999988,8.309849894277457,0.00297992,0.00304297,0.00304479,0.00304043,0.00319524,0.00292241,0.00279571,0.00314659,0.00303569,0.00306487
PRipir,0.05,12.443588656612407,0.00266191,0.00264617,0.00292327,0.00274559,0.00287463,0.00274702,0.00271414,0.00265801,0.00270677,0.00267927
