SiteCode,k,d,1,2,3,4,5,6,7,8,9,10
PRrico3,0.99,0.7450905688046506,0.00203818,0.00190078,0.00194429,0.00215958,0.00201659,0.00198041,0.00210299,0.00203192,0.00190565,0.00196975
PRrico3,0.95,1.07575888185584,0.00197718,0.00186929,0.00222856,0.0017786,0.00185234,0.0021219,0.00201174,0.00209172,0.00188002,0.00198413
PRrico3,0.8999999999999999,1.3041258602742694,0.00194537,0.00200385,0.00180133,0.00208849,0.00199238,0.00193475,0.00192302,0.00199458,0.00186736,0.00195711
PRrico3,0.85,1.5136007349023657,0.00430838,0.00417787,0.00396326,0.00414639,0.0035795000000000002,0.00434904,0.0041879,0.00430233,0.00369338,0.00412412
PRrico3,0.7999999999999999,1.711043565984845,0.00418208,0.00393196,0.00408124,0.00408624,0.00400689,0.00397382,0.00436326,0.0042437,0.00397038,0.00425009
PRrico3,0.75,1.90122171554324,0.0037874,0.00447574,0.00387749,0.00430835,0.0042477,0.0041416,0.00463487,0.00403553,0.00468734,0.00409172
PRrico3,0.7,2.108801148595138,0.00408818,0.00447937,0.00430667,0.00411732,0.00404982,0.00368396,0.00443767,0.00420065,0.00469624,0.0039919
PRrico3,0.6499999999999999,2.310116358559642,0.00396859,0.00424795,0.00400242,0.00412066,0.00408457,0.00422248,0.00455647,0.00433588,0.00447722,0.00377978
PRrico3,0.5999999999999999,2.5421295368852372,0.0045085,0.00403354,0.00425126,0.00432432,0.00386416,0.0041832,0.00461751,0.00421167,0.00385876,0.00413206
PRrico3,0.5499999999999999,2.7924286020100983,0.00429666,0.00430175,0.00425865,0.00413834,0.00391161,0.00373765,0.00382757,0.00383677,0.00482067,0.00427821
PRrico3,0.49999999999999994,3.0683036211141097,0.00565621,0.00515157,0.00559069,0.00511516,0.00603384,0.00555679,0.00558591,0.0052942,0.0058118,0.00598386
PRrico3,0.45,3.386953210031003,0.00548371,0.00533501,0.00535602,0.00529076,0.00532402,0.00529772,0.00545957,0.00560105,0.00529837,0.00533499
PRrico3,0.3999999999999999,3.7565596952797553,0.00484104,0.00564234,0.00558873,0.00582481,0.00594278,0.0056581,0.00500303,0.00523111,0.00536107,0.00539863
PRrico3,0.34999999999999987,4.182906259836759,0.0051933,0.00537888,0.005238,0.00537221,0.00566073,0.00538892,0.00528909,0.00541596,0.00543865,0.00549375
PRrico3,0.29999999999999993,4.71637090746631,0.00588791,0.00579388,0.00567306,0.00598713,0.00598343,0.00592133,0.00578419,0.00607911,0.00582491,0.00565222
PRrico3,0.2499999999999999,5.3844695684358035,0.00574624,0.00589109,0.00595406,0.00585837,0.00565281,0.00584085,0.00554244,0.00587318,0.00601195,0.00599638
PRrico3,0.19999999999999996,6.29476935287716,0.0060884,0.00598273,0.00619677,0.00610892,0.00599274,0.00551727,0.00590199,0.00604657,0.00563533,0.00605468
PRrico3,0.1499999999999999,7.583489751520318,0.0059866,0.00547156,0.00601492,0.00605537,0.00557226,0.0056564,0.00610324,0.00561424,0.00559356,0.00554156
PRrico3,0.09999999999999988,9.658411931309685,0.00599946,0.00585186,0.00579176,0.00546443,0.00539739,0.00562194,0.00550936,0.00529597,0.00573894,0.00595265
PRrico3,0.05,14.571067406922957,0.00551794,0.00527344,0.00532455,0.0053371,0.005286,0.00461364,0.00534409,0.00513242,0.00563578,0.00560693
