SiteCode,k,d,1,2,3,4,5,6,7,8,9,10
PRtele,0.99,0.7905192986177606,0.00443821,0.00499405,0.00492447,0.00512741,0.00531872,0.00521844,0.00476433,0.00510858,0.0052249,0.00532649
PRtele,0.95,1.1292709824446656,0.00515602,0.00570804,0.00511397,0.00496011,0.00510879,0.00521226,0.00516976,0.00500471,0.00537116,0.00491402
PRtele,0.8999999999999999,1.380529045231786,0.00464704,0.00504905,0.00508432,0.00506468,0.00486708,0.00505481,0.00541068,0.00505757,0.00532381,0.0053501
PRtele,0.85,1.5947461801499894,0.014054,0.0164628,0.0138322,0.0126346,0.0142751,0.0148659,0.0141165,0.0141743,0.0122352,0.0132139
PRtele,0.7999999999999999,1.804911907924658,0.0147593,0.0126609,0.0137793,0.0162302,0.0145542,0.0147247,0.012374,0.0149596,0.0148659,0.0133031
PRtele,0.75,2.0143231613243593,0.015482,0.014132,0.0152366,0.0142074,0.0127259,0.014838,0.0123238,0.0137398,0.0136701,0.0155075
PRtele,0.7,2.2256974509216314,0.0147617,0.0131641,0.0145066,0.015764,0.013038,0.0156173,0.0137016,0.0147292,0.0138003,0.0148341
PRtele,0.6499999999999999,2.4488545755377,0.0143721,0.0138124,0.0127449,0.0154128,0.0125679,0.0136796,0.0157527,0.013405,0.0137216,0.0139773
PRtele,0.5999999999999999,2.6964314685950033,0.0142512,0.0139274,0.0145229,0.0142583,0.015086,0.0149483,0.0152439,0.0145527,0.013943,0.0128986
PRtele,0.5499999999999999,2.956872766633472,0.0105651,0.0126535,0.0117453,0.0104294,0.0120054,0.0128133,0.0115922,0.0128421,0.0105405,0.0109865
PRtele,0.49999999999999994,3.255266691495866,0.0115745,0.0118378,0.0123541,0.0136696,0.0119804,0.0123495,0.0117911,0.0105635,0.0125513,0.010358
PRtele,0.45,3.576401475961714,0.012809,0.0113269,0.0118536,0.0114338,0.0119716,0.0124928,0.012081,0.0114848,0.0121304,0.012347
PRtele,0.3999999999999999,3.957446682446768,0.0115345,0.0103119,0.0128576,0.0110486,0.0112572,0.0112581,0.0122404,0.0110804,0.0122181,0.0124066
PRtele,0.34999999999999987,4.416217659081869,0.00791668,0.00914954,0.00884632,0.00945921,0.0101602,0.0096975,0.00929345,0.00883961,0.00896604,0.0080745
PRtele,0.29999999999999993,4.974646312443535,0.00960898,0.00888347,0.00866117,0.00929542,0.00804351,0.00888665,0.00918903,0.00925592,0.0104522,0.00948094
PRtele,0.2499999999999999,5.7167468860893775,0.00675276,0.00794767,0.00733292,0.00811373,0.00771317,0.00811445,0.00863008,0.00694419,0.00750809,0.00772962
PRtele,0.19999999999999996,6.613002167944907,0.00704856,0.00755643,0.00751379,0.00791886,0.00747762,0.00737617,0.00727978,0.00831964,0.00700124,0.00766252
PRtele,0.1499999999999999,7.915560931673415,0.00627846,0.00662698,0.00633649,0.00694345,0.0066499,0.00717523,0.00617765,0.00641095,0.00644487,0.00754692
PRtele,0.09999999999999988,10.221208016549587,0.00547324,0.00557556,0.0057384,0.00591041,0.0058548,0.00575133,0.00613158,0.00549597,0.0053883,0.00601451
PRtele,0.05,15.298562399997833,0.00478154,0.00473471,0.00433276,0.00500523,0.00451228,0.0050064,0.00511402,0.0047477,0.0049926,0.0048746
