SiteCode,k,d,1,2,3,4,5,6,7,8,9,10
PRtiba1,0.99,0.6637174981858572,0.00402952,0.00415124,0.00439867,0.00443913,0.00434508,0.00439706,0.00461092,0.00445093,0.00419292,0.00458757
PRtiba1,0.95,0.9408027192146076,0.00432293,0.0041118,0.0040546,0.00409924,0.00406971,0.00435271,0.0042721,0.00425724,0.00418196,0.0044991
PRtiba1,0.8999999999999999,1.1533355728439398,0.00455112,0.00387726,0.00429451,0.00399554,0.00386876,0.00451101,0.00393457,0.00412065,0.00450316,0.00415039
PRtiba1,0.85,1.3353991755988888,0.00445535,0.00428218,0.00462959,0.00415038,0.00421456,0.00414507,0.00448199,0.00436264,0.00430404,0.00402273
PRtiba1,0.7999999999999999,1.508083255366179,0.0108609,0.0111405,0.0110798,0.0113418,0.0104706,0.0114496,0.0110728,0.0105705,0.010832,0.0101915
PRtiba1,0.75,1.6845792592055284,0.0112572,0.0110282,0.0109048,0.0113171,0.0116888,0.0111203,0.0109762,0.0107534,0.0100167,0.011366
PRtiba1,0.7,1.8574920577149252,0.011106,0.0118437,0.0116191,0.0103359,0.0109328,0.0115217,0.010797,0.0103584,0.0100929,0.0105141
PRtiba1,0.6499999999999999,2.041280506074917,0.0102826,0.0110843,0.0105974,0.0107328,0.0110726,0.0109467,0.010294,0.0101586,0.010282,0.0107159
PRtiba1,0.5999999999999999,2.252070682774451,0.0100972,0.0113678,0.010083,0.0105102,0.0110588,0.0112673,0.0110668,0.0102111,0.0104614,0.0107528
PRtiba1,0.5499999999999999,2.4649607514010397,0.0117587,0.0105096,0.0105949,0.010948,0.0108724,0.0106084,0.0104936,0.0116036,0.0103572,0.0106508
PRtiba1,0.49999999999999994,2.7011905858577454,0.0104165,0.0102157,0.0105602,0.0115229,0.0101683,0.0104135,0.0109841,0.0112391,0.0113126,0.0111251
PRtiba1,0.45,2.9727130634829595,0.0116634,0.0123971,0.0116335,0.0121666,0.0116398,0.0113206,0.0116963,0.0116505,0.0123776,0.0119961
PRtiba1,0.3999999999999999,3.320539030907452,0.0112488,0.0117035,0.0119811,0.0119049,0.0118311,0.012073,0.0115515,0.0120486,0.0124064,0.0112459
PRtiba1,0.34999999999999987,3.7023528197747977,0.0126301,0.0120091,0.0121919,0.0114248,0.0111663,0.0118015,0.0117486,0.0118956,0.0118807,0.0114352
PRtiba1,0.29999999999999993,4.158282329923393,0.011454,0.0117798,0.0113594,0.0116601,0.0122364,0.0127744,0.0125151,0.0114662,0.0123499,0.0114466
PRtiba1,0.2499999999999999,4.745483735852558,0.0122616,0.0116481,0.0121404,0.0119999,0.0128602,0.0126002,0.0123142,0.0119402,0.01192,0.0125281
PRtiba1,0.19999999999999996,5.505775803489269,0.012268,0.0130741,0.0112176,0.0125992,0.0122718,0.0130333,0.0129133,0.0126454,0.012210499999999999,0.0127626
PRtiba1,0.1499999999999999,6.736723094918282,0.0125102,0.0131821,0.0122838,0.0119558,0.0122434,0.0118913,0.0126016,0.012771,0.0125342,0.0126626
PRtiba1,0.09999999999999988,8.712114269577857,0.0125485,0.0133191,0.0124391,0.0129813,0.0131556,0.0126202,0.0124138,0.0130431,0.0123479,0.013591
PRtiba1,0.05,12.81208287559298,0.0120403,0.0122491,0.0124863,0.0119096,0.0125577,0.0125529,0.0122455,0.0126563,0.0122488,0.012375
