SiteCode,k,d,1,2,3,4,5,6,7,8,9,10
PRvent,0.99,0.7225609970822301,0.00432072,0.00406655,0.00448222,0.00403328,0.00403771,0.0044365,0.00434243,0.00409207,0.00412811,0.00423716
PRvent,0.95,1.0222332173351725,0.00410193,0.00413199,0.00413479,0.00428762,0.00434434,0.0041691,0.00448369,0.00421372,0.00438167,0.00470489
PRvent,0.8999999999999999,1.247857854534552,0.00429315,0.00438982,0.00480772,0.00396493,0.00397146,0.00458502,0.00470798,0.00403894,0.00423562,0.00418359
PRvent,0.85,1.4454524978584278,0.0118817,0.0115585,0.0115786,0.0113875,0.0115659,0.0112682,0.0112461,0.01181,0.012125,0.0118641
PRvent,0.7999999999999999,1.640056418750866,0.0117244,0.0127866,0.0116612,0.0106326,0.0114076,0.0105549,0.0115634,0.011144,0.0129732,0.012284
PRvent,0.75,1.8367015180973167,0.0117416,0.0106751,0.0123682,0.0111331,0.0121399,0.011273,0.0116058,0.011842,0.0127266,0.0120009
PRvent,0.7,2.0167432263343232,0.0122743,0.0104766,0.0112513,0.0112502,0.0108883,0.0122054,0.0121844,0.0122291,0.011619,0.0109878
PRvent,0.6499999999999999,2.2038463837944047,0.012652,0.0119585,0.011182,0.0111623,0.0106513,0.011388,0.0119262,0.0116356,0.0117762,0.0116121
PRvent,0.5999999999999999,2.428938988310504,0.0121215,0.0121643,0.0126854,0.0112454,0.011453,0.0117048,0.0112134,0.0120745,0.0116344,0.0115775
PRvent,0.5499999999999999,2.673818432729353,0.0114822,0.0117496,0.0113632,0.0119077,0.0114407,0.0130615,0.0108749,0.0125663,0.0115081,0.0126909
PRvent,0.49999999999999994,2.933181533767519,0.015204,0.0143356,0.0140846,0.0147717,0.0146791,0.0145814,0.0143595,0.0145056,0.0149945,0.0139834
PRvent,0.45,3.2467106819478384,0.0151548,0.0148463,0.0145051,0.0147005,0.0155527,0.0150956,0.0150668,0.0142808,0.0148427,0.0147058
PRvent,0.3999999999999999,3.6004380810359815,0.0149745,0.0144067,0.0144882,0.0147724,0.0142278,0.0140137,0.0147799,0.0142902,0.0146895,0.015631
PRvent,0.34999999999999987,3.97923725215799,0.0155766,0.0155811,0.0150432,0.0146585,0.0147845,0.0141596,0.0144154,0.0140622,0.0151744,0.0151661
PRvent,0.29999999999999993,4.493098782120029,0.0156158,0.0162894,0.0161401,0.0160539,0.0166126,0.0162705,0.0150399,0.0156655,0.016045,0.0157011
PRvent,0.2499999999999999,5.124241964945812,0.014919,0.0151897,0.0154906,0.0157079,0.016349,0.0167937,0.0167991,0.0152475,0.0152026,0.0163779
PRvent,0.19999999999999996,5.977951591712043,0.0159036,0.016362,0.0160546,0.0158664,0.0168472,0.0164521,0.0163908,0.0163051,0.0158633,0.0168741
PRvent,0.1499999999999999,7.241343640137603,0.0170907,0.0157526,0.0156343,0.0163412,0.0168029,0.0174066,0.016843,0.0154699,0.0168099,0.0167696
PRvent,0.09999999999999988,9.294930748029453,0.0157884,0.0170245,0.0155035,0.0157828,0.0163167,0.0163733,0.0160325,0.0156431,0.0165132,0.0157578
PRvent,0.05,13.794073425070334,0.013852,0.0138856,0.0144278,0.0140612,0.0138028,0.0140367,0.0144829,0.0138813,0.0151701,0.0137558
