SiteCode,k,d,1,2,3,4,5,6,7,8,9,10
RJpnrj,0.99,0.6584972853813602,0.00168744,0.00174217,0.00162711,0.00163153,0.00171121,0.00171142,0.0015784,0.00165097,0.00175898,0.0016357
RJpnrj,0.95,0.9338984246694674,0.00177407,0.00167615,0.00163074,0.00166619,0.00172499,0.00164818,0.00166465,0.00173026,0.00165947,0.00159261
RJpnrj,0.8999999999999999,1.15010670201773,0.00179163,0.00170384,0.00162876,0.00167337,0.0016251,0.00155299,0.00158373,0.00166374,0.00157873,0.0016717
RJpnrj,0.85,1.3305613621197825,0.00163952,0.00170579,0.00172992,0.00153195,0.0017489,0.00168492,0.00169169,0.0015228,0.00168167,0.00172693
RJpnrj,0.7999999999999999,1.4952059071399175,0.00376516,0.0037393,0.00380356,0.00392318,0.00398283,0.00379208,0.00389686,0.00388827,0.00393602,0.00378143
RJpnrj,0.75,1.672620105530979,0.00370512,0.00349118,0.0038367,0.00382602,0.00392344,0.00402544,0.00386776,0.00378521,0.00374464,0.00356732
RJpnrj,0.7,1.8427498476207376,0.00410233,0.00413625,0.00375288,0.00419992,0.00389248,0.00390579,0.00384984,0.00352388,0.00379614,0.0040133
RJpnrj,0.6499999999999999,2.033682128086911,0.00369149,0.00340256,0.0036941,0.00381182,0.00401297,0.00384375,0.003616,0.00365149,0.00395079,0.00412504
RJpnrj,0.5999999999999999,2.244695999620414,0.00387882,0.00345943,0.00412805,0.00397805,0.0037714,0.00384264,0.00376605,0.00396478,0.00354958,0.00406755
RJpnrj,0.5499999999999999,2.446297894851719,0.00392304,0.00385403,0.00378061,0.00393912,0.00393363,0.00369065,0.00398498,0.00390238,0.00370725,0.00407567
RJpnrj,0.49999999999999994,2.716081487867872,0.00375245,0.00381362,0.00410919,0.0037248,0.00386341,0.00408938,0.00394859,0.00388538,0.00375603,0.00382262
RJpnrj,0.45,2.9844175188979616,0.00470981,0.00496045,0.00468281,0.00486488,0.00486653,0.00457195,0.00471791,0.00475544,0.00470074,0.0049001
RJpnrj,0.3999999999999999,3.2826086630079785,0.00492986,0.00460514,0.00456736,0.00464801,0.00487293,0.00467222,0.00500477,0.00469869,0.00466301,0.00462858
RJpnrj,0.34999999999999987,3.678704694317492,0.00479324,0.00433476,0.00480722,0.00441794,0.00483192,0.00453269,0.0043839,0.00499036,0.00455789,0.00454879
RJpnrj,0.29999999999999993,4.154884323291684,0.0050183,0.00456057,0.00501727,0.00475996,0.00475363,0.0047274,0.00462954,0.00483412,0.0043365,0.00476539
RJpnrj,0.2499999999999999,4.7848975899905914,0.00484936,0.00469793,0.00511585,0.00482318,0.00464608,0.00470565,0.00496835,0.00472349,0.00504965,0.00459159
RJpnrj,0.19999999999999996,5.484291744234389,0.0049038,0.00524773,0.00502012,0.00488387,0.0045303,0.00480835,0.00519197,0.0046695,0.0052465,0.00492708
RJpnrj,0.1499999999999999,6.6532970523162245,0.00496573,0.00490336,0.00504878,0.0049022,0.00507833,0.0048898,0.00455685,0.00491728,0.0046927,0.0047499
RJpnrj,0.09999999999999988,8.51034844944612,0.00458655,0.0048666,0.00457895,0.00455129,0.00492165,0.00474965,0.00471735,0.00470393,0.0045039,0.00458733
RJpnrj,0.05,12.825433499462273,0.004152,0.00440457,0.00418121,0.00435723,0.00412524,0.00415674,0.00437797,0.00424714,0.00434737,0.00411107
