SiteCode,k,d,1,2,3,4,5,6,7,8,9,10
RScach1,0.99,0.6549464765939336,0.00119298,0.00126534,0.00127663,0.00122296,0.00135882,0.00124304,0.00116355,0.00135971,0.00132973,0.00132999
RScach1,0.95,0.92262456741566,0.00111529,0.00127141,0.00130048,0.00100179,0.00133796,0.00129647,0.0011582,0.0012134,0.0012596,0.00136709
RScach1,0.8999999999999999,1.1335261856859535,0.00124345,0.00104534,0.00140983,0.0011382,0.0012815,0.00128315,0.0011842,0.00123372,0.00137115,0.0011052
RScach1,0.85,1.307859602153871,0.00122147,0.00119656,0.00111151,0.00101691,0.00119491,0.00123173,0.00108893,0.00115799,0.00118254,0.00129284
RScach1,0.7999999999999999,1.4845882592941069,0.00252239,0.00225592,0.00224758,0.0024649,0.00247526,0.00240116,0.00221623,0.00246524,0.00222261,0.00271569
RScach1,0.75,1.6520957215716556,0.00237671,0.00222492,0.00233443,0.00267611,0.00220028,0.00236335,0.00236847,0.00234583,0.00234255,0.00235316
RScach1,0.7,1.8227293005409864,0.00238199,0.00251654,0.00246448,0.00230665,0.00251418,0.00231927,0.00246968,0.00228038,0.00237233,0.00240701
RScach1,0.6499999999999999,2.0137654786006833,0.00230531,0.00252141,0.0026161,0.00254817,0.00274889,0.00253658,0.00272289,0.00253429,0.00262184,0.00229779
RScach1,0.5999999999999999,2.2072759991413444,0.00243899,0.0027415,0.00250007,0.00259589,0.00257842,0.0025008,0.00245295,0.00239098,0.00247095,0.00228371
RScach1,0.5499999999999999,2.4183923493074815,0.00263263,0.00226984,0.00252488,0.00251566,0.00250401,0.0025785,0.00257184,0.0025288,0.00228563,0.0022314
RScach1,0.49999999999999994,2.655934442382825,0.00252512,0.00234813,0.00251798,0.0024789,0.00251509,0.00227987,0.00230444,0.00238523,0.00236325,0.00244221
RScach1,0.45,2.9229997300035353,0.00351407,0.00324896,0.00338041,0.00333805,0.00333308,0.00347599,0.00331959,0.00332309,0.00339612,0.00322923
RScach1,0.3999999999999999,3.24906056807847,0.00367746,0.00329464,0.00349653,0.003237,0.00320291,0.00330034,0.00322525,0.00326042,0.0033069,0.00329516
RScach1,0.34999999999999987,3.621392684709889,0.0035004,0.00341298,0.00337667,0.00313503,0.00318983,0.00341672,0.00353927,0.00344912,0.00312875,0.00331253
RScach1,0.29999999999999993,4.0827751238570364,0.00328897,0.00328083,0.00343147,0.00316126,0.00317696,0.00320974,0.00303058,0.00314887,0.00340861,0.00342459
RScach1,0.2499999999999999,4.676640462563089,0.00360617,0.00334065,0.00340183,0.0035605,0.00352758,0.0036113,0.00344282,0.00370821,0.00349649,0.0035745
RScach1,0.19999999999999996,5.464194418993506,0.00376402,0.00351774,0.00339566,0.00367288,0.00359255,0.00352321,0.0034535,0.0035119,0.00344204,0.00350535
RScach1,0.1499999999999999,6.6258360286540485,0.00374609,0.0038317,0.00347764,0.00355928,0.00363756,0.00377908,0.00359716,0.00355476,0.00351193,0.00365587
RScach1,0.09999999999999988,8.42902586714783,0.0035736,0.0035851,0.00378712,0.00356892,0.00357724,0.00347326,0.00359366,0.00365959,0.00356885,0.00372414
RScach1,0.05,12.524091092074851,0.00329489,0.00319002,0.00317445,0.00319777,0.00339143,0.00322853,0.00345165,0.00315104,0.00334834,0.00311209
