SiteCode,k,d,1,2,3,4,5,6,7,8,9,10
RScama,0.99,0.5458806597447023,8.65422e-4,8.60994e-4,8.50181e-4,8.90477e-4,8.31334e-4,8.53281e-4,9.32042e-4,8.18262e-4,8.28774e-4,8.45366e-4
RScama,0.95,0.7696661368151119,8.44672e-4,7.92146e-4,9.23172e-4,8.94218e-4,8.64786e-4,8.21661e-4,8.47351e-4,8.10464e-4,7.89872e-4,8.62898e-4
RScama,0.8999999999999999,0.9362612718319686,7.37951e-4,8.86051e-4,8.02387e-4,8.53137e-4,8.41037e-4,8.44306e-4,8.0401e-4,7.22341e-4,7.87874e-4,7.72697e-4
RScama,0.85,1.0865436633178924,7.70972e-4,7.24854e-4,7.89526e-4,8.40379e-4,8.07822e-4,8.2065e-4,7.46996e-4,8.2689e-4,8.59961e-4,8.24862e-4
RScama,0.7999999999999999,1.2314440813561347,0.00104003,7.04725e-4,8.20267e-4,8.9029e-4,7.95779e-4,8.07389e-4,8.49986e-4,7.57528e-4,7.53429e-4,9.3198e-4
RScama,0.75,1.366058963442386,8.20631e-4,7.39272e-4,6.75661e-4,7.93862e-4,8.22911e-4,7.72831e-4,7.18179e-4,8.47449e-4,8.70479e-4,7.20698e-4
RScama,0.7,1.5073889797891362,0.00297684,0.0028335,0.00259729,0.00265888,0.00267711,0.00277876,0.00247567,0.00279866,0.00252243,0.00277092
RScama,0.6499999999999999,1.6688613960250462,0.00283591,0.00268477,0.00289742,0.00281794,0.00284785,0.00298763,0.00262299,0.00284174,0.00292314,0.0026859
RScama,0.5999999999999999,1.8424800615431864,0.00261095,0.00278498,0.00280167,0.00281777,0.00278068,0.00261102,0.00259299,0.00266283,0.00288425,0.00292885
RScama,0.5499999999999999,1.9993650971028776,0.0025785,0.0027666,0.00264624,0.00284984,0.00265741,0.00265526,0.00278361,0.00288359,0.00301645,0.00273086
RScama,0.49999999999999994,2.2143964223404646,0.00282919,0.00267473,0.0028464,0.00256019,0.00285588,0.00248325,0.00258647,0.00306438,0.00284003,0.0030693
RScama,0.45,2.4398291149935045,0.00280144,0.00257808,0.00271483,0.00262792,0.00250574,0.00267088,0.00271318,0.00285118,0.00267076,0.00257091
RScama,0.3999999999999999,2.6867481897826173,0.00281534,0.00279002,0.00290282,0.00299197,0.00267828,0.00273524,0.00262549,0.0026502,0.00277053,0.00274742
RScama,0.34999999999999987,3.021227545258804,0.00362138,0.00325566,0.00354542,0.00354156,0.00378105,0.00379825,0.00365356,0.00342873,0.00385872,0.0035437
RScama,0.29999999999999993,3.370220073497551,0.00373145,0.00347713,0.00345989,0.00365498,0.00369657,0.00337572,0.00394357,0.00375998,0.00342996,0.00375523
RScama,0.2499999999999999,3.883057162185729,0.00353431,0.00377765,0.00355643,0.00390525,0.00359631,0.00363904,0.00346356,0.00360715,0.00355471,0.00344794
RScama,0.19999999999999996,4.563499436352811,0.00388552,0.0037919,0.00375957,0.00385538,0.00370734,0.00359613,0.00345463,0.00378843,0.00357765,0.00359397
RScama,0.1499999999999999,5.426917196043404,0.00346525,0.00363207,0.00379251,0.00398683,0.00356449,0.00382016,0.00375802,0.00380632,0.00346414,0.00391764
RScama,0.09999999999999988,7.005645092226915,0.00372394,0.00383558,0.00360285,0.00324383,0.00356756,0.00404003,0.00362518,0.00371187,0.00380812,0.00339318
RScama,0.05,10.448115131354871,0.0028582,0.00273345,0.00293336,0.00310149,0.00270487,0.00289568,0.00266257,0.00297149,0.0029122,0.00279876
