SiteCode,k,d,1,2,3,4,5,6,7,8,9,10
RScamb1,0.99,0.7502825415563913,0.00142581,0.00129787,0.00146042,0.00131868,0.00148469,0.00142627,0.00148913,0.00155477,0.00159908,0.00137267
RScamb1,0.95,1.0605501222327065,0.00139053,0.00135509,0.00150045,0.00139807,0.001558,0.00135546,0.00143789,0.0013835,0.00139327,0.00154451
RScamb1,0.8999999999999999,1.2995372506464244,0.00140532,0.00153295,0.00138678,0.00130582,0.00149466,0.00142723,0.00142499,0.00147054,0.00146705,0.00149318
RScamb1,0.85,1.5014072787845305,0.00213562,0.00273494,0.00209973,0.00231761,0.00245469,0.00214753,0.0020948,0.00207477,0.00261518,0.00180962
RScamb1,0.7999999999999999,1.7059309039878263,0.00237986,0.0019657,0.00221403,0.00216937,0.00212069,0.00227508,0.00242777,0.00209042,0.00217235,0.0022861
RScamb1,0.75,1.9006614502432184,0.00243597,0.00212314,0.0025246,0.00243539,0.00216633,0.00229602,0.00221512,0.00235776,0.00264239,0.00204841
RScamb1,0.7,2.0887625296642636,0.00213507,0.00243443,0.0022179,0.00245694,0.0023843,0.00217096,0.00205857,0.00234763,0.00272798,0.00246746
RScamb1,0.6499999999999999,2.3003394884580968,0.00239551,0.00231762,0.00247663,0.0024844,0.00207239,0.00223977,0.00223377,0.00240097,0.00242857,0.00243344
RScamb1,0.5999999999999999,2.515119355453608,0.00244157,0.00228056,0.00228359,0.00233239,0.00215496,0.00264065,0.00214221,0.00217537,0.00222226,0.00234408
RScamb1,0.5499999999999999,2.778460766066926,0.00219064,0.00210072,0.00239744,0.00202493,0.00231342,0.00262559,0.00226785,0.00249116,0.0024624,0.00202996
RScamb1,0.49999999999999994,3.0533068549238167,0.0026745,0.00300573,0.0030103,0.00318111,0.00303799,0.00281419,0.00304477,0.00293623,0.00280016,0.00267411
RScamb1,0.45,3.3584296783918197,0.00313991,0.0031552,0.00296858,0.00289201,0.00287592,0.00296206,0.0030906,0.00284429,0.00328011,0.00284985
RScamb1,0.3999999999999999,3.7107333176635784,0.00287697,0.00316239,0.00297984,0.00290158,0.00269644,0.00302864,0.00307087,0.00284337,0.00292312,0.00294193
RScamb1,0.34999999999999987,4.144317263426267,0.00284864,0.00275218,0.00292014,0.00294675,0.00293302,0.00284809,0.00287693,0.00301433,0.00319793,0.00277958
RScamb1,0.29999999999999993,4.666511432179452,0.00310446,0.00311446,0.00315463,0.00307058,0.00315058,0.00329318,0.00313049,0.0030949,0.00299348,0.00300817
RScamb1,0.2499999999999999,5.333896202691172,0.00306489,0.00319493,0.00325314,0.00315974,0.00298676,0.00303717,0.00288362,0.00325807,0.003115,0.00302378
RScamb1,0.19999999999999996,6.242493364990268,0.00306534,0.00292332,0.003067,0.00303754,0.00321682,0.00316596,0.00341473,0.00316814,0.0032901,0.00303168
RScamb1,0.1499999999999999,7.553721201859255,0.00325484,0.00295487,0.0032489,0.00322955,0.00306109,0.00323709,0.00303685,0.00298776,0.00309334,0.00293934
RScamb1,0.09999999999999988,9.681578231044472,0.00308115,0.0029985,0.00308241,0.00304802,0.00286763,0.00297991,0.00295378,0.00293068,0.00276243,0.00303362
RScamb1,0.05,14.331475595997992,0.00277665,0.00278572,0.00273743,0.00275356,0.0027512,0.00281255,0.00278094,0.00278536,0.00270508,0.00270853
