SiteCode,k,d,1,2,3,4,5,6,7,8,9,10
RScris,0.99,0.5464303071205399,2.3789e-4,3.15965e-4,2.77376e-4,2.53913e-4,2.62155e-4,2.77973e-4,2.58845e-4,3.05717e-4,2.76261e-4,2.54097e-4
RScris,0.95,0.7763159031690188,2.3156e-4,2.46688e-4,2.94517e-4,2.37819e-4,2.6616e-4,2.61745e-4,2.71966e-4,2.575e-4,2.7201e-4,1.90843e-4
RScris,0.8999999999999999,0.9561537278111828,2.55182e-4,2.74882e-4,2.86354e-4,2.416e-4,2.96205e-4,2.0749e-4,1.68083e-4,2.58897e-4,2.64228e-4,2.83226e-4
RScris,0.85,1.1002978974308577,2.47427e-4,2.75916e-4,2.30179e-4,3.15214e-4,2.221e-4,3.04943e-4,2.83233e-4,2.54626e-4,2.30913e-4,2.2138e-4
RScris,0.7999999999999999,1.2462272924990916,2.67848e-4,2.697e-4,2.69421e-4,3.15369e-4,2.32505e-4,2.9619e-4,2.4617e-4,2.87857e-4,1.81223e-4,3.21499e-4
RScris,0.75,1.38570299441645,2.72299e-4,3.19901e-4,2.61715e-4,2.29387e-4,2.12408e-4,2.96345e-4,3.13544e-4,2.5241e-4,2.56078e-4,2.41036e-4
RScris,0.7,1.534533179591254,5.66986e-4,5.33189e-4,5.66611e-4,4.4461e-4,5.51584e-4,5.81224e-4,5.52112e-4,5.48951e-4,5.98477e-4,5.69778e-4
RScris,0.6499999999999999,1.681088743584572,4.94498e-4,5.32317e-4,5.90231e-4,4.98309e-4,4.40217e-4,5.03397e-4,5.41194e-4,5.92154e-4,4.86109e-4,5.3216e-4
RScris,0.5999999999999999,1.8574862703751769,5.18446e-4,6.52116e-4,6.10562e-4,5.29468e-4,5.12383e-4,5.43331e-4,5.99163e-4,5.13966e-4,5.3807e-4,5.10281e-4
RScris,0.5499999999999999,2.0378824050315063,5.48872e-4,6.34807e-4,4.81511e-4,6.38076e-4,5.59878e-4,5.02059e-4,5.88864e-4,5.62839e-4,4.83772e-4,3.94157e-4
RScris,0.49999999999999994,2.2414373209072775,6.94468e-4,5.03573e-4,5.12645e-4,5.50811e-4,5.34245e-4,5.61462e-4,5.10434e-4,5.14636e-4,4.52627e-4,4.93193e-4
RScris,0.45,2.474732784010559,4.47037e-4,6.60946e-4,5.93144e-4,5.56559e-4,5.81366e-4,6.28063e-4,5.89509e-4,6.09045e-4,5.04621e-4,6.22384e-4
RScris,0.3999999999999999,2.7200034465996783,5.49323e-4,5.54899e-4,5.79753e-4,4.58828e-4,5.35583e-4,5.9735e-4,5.15571e-4,5.8407e-4,5.41342e-4,5.51307e-4
RScris,0.34999999999999987,3.0478442599004487,7.4139e-4,7.6967e-4,7.04325e-4,6.23697e-4,8.29987e-4,6.83134e-4,7.80608e-4,7.15807e-4,6.55546e-4,8.02612e-4
RScris,0.29999999999999993,3.479672491428717,7.16021e-4,7.44403e-4,7.15067e-4,6.98802e-4,7.23746e-4,7.75496e-4,6.79586e-4,7.64387e-4,6.65833e-4,7.58821e-4
RScris,0.2499999999999999,3.928912630912933,6.60442e-4,6.83815e-4,6.44363e-4,7.31849e-4,7.32364e-4,7.33653e-4,7.39779e-4,7.87721e-4,6.91057e-4,7.26036e-4
RScris,0.19999999999999996,4.570342452342657,7.33585e-4,7.16825e-4,7.75642e-4,7.35295e-4,7.5375e-4,6.77343e-4,7.66952e-4,7.42584e-4,7.22498e-4,7.66182e-4
RScris,0.1499999999999999,5.560594487580301,0.00078129200000000005,7.65968e-4,7.90699e-4,7.73596e-4,7.18108e-4,7.44232e-4,7.03643e-4,7.25093e-4,7.62822e-4,7.95861e-4
RScris,0.09999999999999988,7.149770042301537,6.94479e-4,6.98752e-4,7.34421e-4,7.02375e-4,6.97625e-4,7.37442e-4,7.20177e-4,7.2209e-4,6.71881e-4,7.67343e-4
RScris,0.05,10.659049632975576,6.28206e-4,6.69246e-4,6.64306e-4,6.22411e-4,6.38468e-4,6.80349e-4,6.28807e-4,6.40778e-4,6.61675e-4,6.4781e-4
