SiteCode,k,d,1,2,3,4,5,6,7,8,9,10
RSfaxi,0.99,0.7306506541847501,0.00217192,0.00202615,0.00225814,0.00187124,0.00197086,0.00224044,0.00219626,0.00212876,0.00194684,0.00199328
RSfaxi,0.95,1.0453537608199992,0.00221239,0.00199153,0.00220865,0.00209607,0.00196205,0.00187029,0.00224091,0.00197711,0.00206621,0.00211719
RSfaxi,0.8999999999999999,1.2872945220994945,0.00205423,0.00221113,0.00201959,0.0024142,0.00196196,0.00204266,0.0020011,0.00184544,0.00204739,0.00196088
RSfaxi,0.85,1.4890753686128175,0.00603371,0.00574099,0.00529753,0.0057851,0.00573078,0.00582645,0.00536067,0.0053484,0.00548209,0.00474894
RSfaxi,0.7999999999999999,1.67011683625487,0.00643348,0.00604061,0.00575085,0.00536432,0.00548929,0.00506807,0.0060237,0.00608273,0.00617614,0.00544828
RSfaxi,0.75,1.8685906481829744,0.00622508,0.00546131,0.00552479,0.00602755,0.00550501,0.00638313,0.00622363,0.00627808,0.00527597,0.00583444
RSfaxi,0.7,2.0578941025232145,0.00626684,0.0063465,0.00611872,0.00647489,0.00594988,0.00630077,0.00549768,0.00548042,0.00626688,0.00483739
RSfaxi,0.6499999999999999,2.2608173381869223,0.00579818,0.00608916,0.00617455,0.00535498,0.00621178,0.0062921,0.00524724,0.00581753,0.00605448,0.00593432
RSfaxi,0.5999999999999999,2.494713450391612,0.00516603,0.00527101,0.00574974,0.00579999,0.00603527,0.00617725,0.00605288,0.00575507,0.00554539,0.00546751
RSfaxi,0.5499999999999999,2.731092922438623,0.00494587,0.00633769,0.00647894,0.00661698,0.00597042,0.00541414,0.00559627,0.00641057,0.00604091,0.00521761
RSfaxi,0.49999999999999994,3.0173151006187573,0.00533473,0.00438594,0.00473697,0.00478057,0.00465015,0.00397116,0.00411879,0.00482316,0.00449913,0.0043342
RSfaxi,0.45,3.328183925772397,0.00416383,0.00499986,0.00532867,0.00419758,0.004286,0.00497152,0.00487859,0.00459713,0.00425467,0.00460817
RSfaxi,0.3999999999999999,3.6433323702448033,0.00487717,0.00452411,0.00440264,0.00489175,0.00518458,0.00448832,0.00421583,0.00526533,0.00462353,0.00416996
RSfaxi,0.34999999999999987,4.094844348729724,0.00476159,0.004206,0.00525529,0.00474827,0.00443229,0.00459907,0.00473857,0.00462147,0.00506226,0.00414488
RSfaxi,0.29999999999999993,4.655695825832848,0.0040639,0.00371341,0.00409285,0.00408736,0.00388025,0.00366347,0.00369962,0.00385514,0.00384693,0.00408569
RSfaxi,0.2499999999999999,5.216293253632257,0.00395461,0.00441389,0.00391142,0.00424815,0.00395052,0.00411506,0.00376671,0.00427125,0.00375473,0.00402109
RSfaxi,0.19999999999999996,6.1990711786422414,0.00328522,0.00370634,0.00359864,0.00380104,0.00326447,0.00361712,0.00397059,0.0035152,0.00381577,0.00370732
RSfaxi,0.1499999999999999,7.379842287535464,0.00316363,0.00343454,0.00337126,0.00338449,0.00302388,0.00358126,0.0036085,0.00313353,0.00347027,0.00335462
RSfaxi,0.09999999999999988,9.45938664242295,0.00322056,0.00301053,0.00312038,0.00328869,0.00324233,0.00315009,0.00321399,0.00309896,0.00322124,0.00318802
RSfaxi,0.05,14.167905404233297,0.0028039,0.00245834,0.0026352,0.00285654,0.00268969,0.00272879,0.00266902,0.00271494,0.00271288,0.0026214
